stop_id,stop_city
798813,Edgartown
798898,Tisbury
798862,Oak Bluffs
798788,Oak Bluffs
798880,Chilmark
798814,Edgartown
798836,Edgartown
798887,Oak Bluffs
798850,West Tisbury
798812,Edgartown
798841,Edgartown
798794,Oak Bluffs
798825,West Tisbury
798829,Edgartown
798881,Oak Bluffs
798846,Oak Bluffs
798883,Tisbury
798844,Tisbury
798901,West Tisbury
798801,Chilmark
807043,Oak Bluffs
798793,Chilmark
798897,Tisbury
798796,Edgartown
798855,Oak Bluffs
798903,West Tisbury
798830,West Tisbury
798888,Edgartown
798832,Oak Bluffs
798791,Oak Bluffs
798808,West Tisbury
798902,West Tisbury
798852,Oak Bluffs
798809,Edgartown
798848,Oak Bluffs
798824,West Tisbury
798858,Edgartown
798802,Chilmark
798790,Aquinnah
798889,Edgartown
798886,Oak Bluffs
798882,Tisbury
798893,Tisbury
798845,Tisbury
798863,Oak Bluffs
798877,West Tisbury
798807,West Tisbury
798875,West Tisbury
798805,Tisbury
798838,Chilmark
798900,Edgartown
798895,Chilmark
798890,Aquinnah
798856,Oak Bluffs
798869,Oak Bluffs
798878,West Tisbury
798874,Edgartown
798833,Oak Bluffs
798894,Oak Bluffs
2382491,Oak Bluffs
798842,Edgartown
798798,Chilmark
798843,Oak Bluffs
798860,West Tisbury
798885,Tisbury
798868,Edgartown
798828,Tisbury
798800,Chilmark
798789,Oak Bluffs
798840,Chilmark
798826,Oak Bluffs
798823,Edgartown
798803,Edgartown
798837,Edgartown
798804,Edgartown
798831,West Tisbury
798849,West Tisbury
798815,Edgartown
798871,Tisbury
798896,Chilmark
798866,Oak Bluffs
798859,West Tisbury
2382490,Oaks Bluffs
798873,Oak Bluffs
798870,Oak Bluffs
798827,Tisbury
798797,Edgartown
2526220,Edgartown
798821,Tisbury
798817,Aquinnah
2382492,Oak Bluffs
798865,Oak Bluffs
798864,Oak Bluffs
2574863,Tisbury
798899,Oak Bluffs
798853,Oak Bluffs
798811,Edgartown
798839,Chilmark
798879,Chilmark
798799,Chilmark
798892,Tisbury
798792,Oak Bluffs
2382493,Oak Bluffs
798876,Tisbury
798834,Aquinnah
798795,Oak Bluffs
798816,Edgartown
798861,Oak Bluffs
798819,Tisbury
798822,Edgartown
798810,Edgartown
798851,Oak Bluffs
798867,Edgartown
798835,Tisbury
798904,West Tisbury
798854,Oak Bluffs
798884,Tisbury
798857,Oak Bluffs
798891,Tisbury
798847,Oak Bluffs
798806,Edgartown
798872,Tisbury
798787,West Tisbury
798820,Tisbury
798818,West Tisbury
