trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,start_pickup_dropoff_window,end_pickup_dropoff_window,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset,tts_stop_headsign,min_arrival_time,max_departure_time
t_2119674_b_34464_tn_0,08:40:00,08:40:00,798803,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_2119674_b_34464_tn_0,08:41:00,08:41:00,798858,2,,0,0,595.144225299094,0,,,,,1,1,,,,,,,,,,,
t_2119674_b_34464_tn_0,08:42:00,08:42:00,798811,3,,0,0,1230.51804939068,0,,,,,1,1,,,,,,,,,,,
t_2119674_b_34464_tn_0,08:43:00,08:43:00,798814,4,,0,0,1571.94596787913,0,,,,,1,1,,,,,,,,,,,
t_2119674_b_34464_tn_0,08:44:00,08:44:00,798823,5,,0,0,3000.1077123547,1,,,,,1,1,,,,,,,,,,,
t_2119674_b_34464_tn_0,08:46:00,08:46:00,798815,6,,0,0,4753.91296226903,0,,,,,1,1,,,,,,,,,,,
t_2119674_b_34464_tn_0,08:50:00,08:50:00,798873,7,,0,0,7563.5437475856,1,,,,,1,1,,,,,,,,,,,
t_2119674_b_34464_tn_0,08:52:00,08:52:00,798866,8,,0,0,8237.92233834922,0,,,,,1,1,,,,,,,,,,,
t_2119674_b_34464_tn_0,08:53:00,08:53:00,798870,9,,0,0,9598.68310973809,0,,,,,1,1,,,,,,,,,,,
t_2119674_b_34464_tn_0,08:55:00,08:55:00,798821,10,,0,0,10806.2695570125,1,,,,,1,1,,,,,,,,,,,
t_2119674_b_34464_tn_0,08:57:00,08:57:00,798871,11,,0,0,11873.8497144058,0,,,,,1,1,,,,,,,,,,,
t_2119674_b_34464_tn_0,09:03:00,09:03:00,798893,12,,0,0,12984.72755241,1,,,,,1,1,,,,,,,,,,,
t_2119675_b_34464_tn_0,11:40:00,11:40:00,798803,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_2119675_b_34464_tn_0,11:41:00,11:41:00,798858,2,,0,0,595.144225299094,0,,,,,1,1,,,,,,,,,,,
t_2119675_b_34464_tn_0,11:42:00,11:42:00,798811,3,,0,0,1230.51804939068,0,,,,,1,1,,,,,,,,,,,
t_2119675_b_34464_tn_0,11:43:00,11:43:00,798814,4,,0,0,1571.94596787913,0,,,,,1,1,,,,,,,,,,,
t_2119675_b_34464_tn_0,11:44:00,11:44:00,798823,5,,0,0,3000.1077123547,1,,,,,1,1,,,,,,,,,,,
t_2119675_b_34464_tn_0,11:46:00,11:46:00,798815,6,,0,0,4753.91296226903,0,,,,,1,1,,,,,,,,,,,
t_2119675_b_34464_tn_0,11:50:00,11:50:00,798873,7,,0,0,7563.5437475856,1,,,,,1,1,,,,,,,,,,,
t_2119675_b_34464_tn_0,11:52:00,11:52:00,798866,8,,0,0,8237.92233834922,0,,,,,1,1,,,,,,,,,,,
t_2119675_b_34464_tn_0,11:53:00,11:53:00,798870,9,,0,0,9598.68310973809,0,,,,,1,1,,,,,,,,,,,
t_2119675_b_34464_tn_0,11:55:00,11:55:00,798821,10,,0,0,10806.2695570125,1,,,,,1,1,,,,,,,,,,,
t_2119675_b_34464_tn_0,11:57:00,11:57:00,798871,11,,0,0,11873.8497144058,0,,,,,1,1,,,,,,,,,,,
t_2119675_b_34464_tn_0,12:03:00,12:03:00,798893,12,,0,0,12984.72755241,1,,,,,1,1,,,,,,,,,,,
t_2119676_b_34464_tn_0,14:40:00,14:40:00,798803,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_2119676_b_34464_tn_0,14:41:00,14:41:00,798858,2,,0,0,595.144225299094,0,,,,,1,1,,,,,,,,,,,
t_2119676_b_34464_tn_0,14:42:00,14:42:00,798811,3,,0,0,1230.51804939068,0,,,,,1,1,,,,,,,,,,,
t_2119676_b_34464_tn_0,14:43:00,14:43:00,798814,4,,0,0,1571.94596787913,0,,,,,1,1,,,,,,,,,,,
t_2119676_b_34464_tn_0,14:44:00,14:44:00,798823,5,,0,0,3000.1077123547,1,,,,,1,1,,,,,,,,,,,
t_2119676_b_34464_tn_0,14:46:00,14:46:00,798815,6,,0,0,4753.91296226903,0,,,,,1,1,,,,,,,,,,,
t_2119676_b_34464_tn_0,14:50:00,14:50:00,798873,7,,0,0,7563.5437475856,1,,,,,1,1,,,,,,,,,,,
t_2119676_b_34464_tn_0,14:52:00,14:52:00,798866,8,,0,0,8237.92233834922,0,,,,,1,1,,,,,,,,,,,
t_2119676_b_34464_tn_0,14:53:00,14:53:00,798870,9,,0,0,9598.68310973809,0,,,,,1,1,,,,,,,,,,,
t_2119676_b_34464_tn_0,14:55:00,14:55:00,798821,10,,0,0,10806.2695570125,1,,,,,1,1,,,,,,,,,,,
t_2119676_b_34464_tn_0,14:57:00,14:57:00,798871,11,,0,0,11873.8497144058,0,,,,,1,1,,,,,,,,,,,
t_2119676_b_34464_tn_0,15:03:00,15:03:00,798893,12,,0,0,12984.72755241,1,,,,,1,1,,,,,,,,,,,
t_2119677_b_34464_tn_0,13:10:00,13:10:00,798893,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_2119677_b_34464_tn_0,13:13:00,13:13:00,798872,2,,0,0,1100.61264871346,0,,,,,1,1,,,,,,,,,,,
t_2119677_b_34464_tn_0,13:15:00,13:15:00,798819,3,,0,0,2215.20720935485,0,,,,,1,1,,,,,,,,,,,
