stop_id,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,position,direction,wheelchair_boarding,tts_stop_name
2382490,,,Sunset Lake,,41.45733931909,-70.561715209146,819,,0,,America/New_York,,,0,
2382491,,,Our Market,,41.457880977255,-70.562163709028,819,,0,,America/New_York,,,0,
2382492,,,New York Avenue and Chestnut Avenue,,41.45895,-70.56648,819,,0,,America/New_York,,,0,
2382493,,,Across from the,,41.459098,-70.566622,819,,0,,America/New_York,,,0,
2526220,375,,Mattakesett Resort,,41.35316,-70.51051,820,,0,,America/New_York,,,0,
2574863,304,,County Road & Edg-VH Road Int.,,41.41577,-70.58169,819,,0,,America/New_York,,,0,
798787,460,,Agricultural Hall,,41.39144,-70.6798,821,,0,,America/New_York,,,0,
798788,300,,Airport Business Park,,41.39423,-70.60187,820,,0,,America/New_York,,,0,
798789,310,,Across from Airport Business Park,,41.39422,-70.60176,820,,0,,America/New_York,,,0,
798790,622,,Aquinnah Town Hall,,41.34259,-70.81176,823,,0,,America/New_York,,,0,
798791,232,,Beach Road at MV Hospital,,41.46136,-70.58186,819,,0,,America/New_York,,,0,
798792,231,,Beach Road across from MV Hospital,,41.46162,-70.58179,819,,0,,America/New_York,,,0,
798793,594,,Beetlebung Corner,,41.34284,-70.74416,822,,0,,America/New_York,,,0,
798794,321,,Big Bridge - Ocean Side,,41.41572,-70.54819,820,,0,,America/New_York,,,0,
798795,296,,Big Bridge - Pond Side,,41.4166,-70.54934,819,,0,,America/New_York,,,0,
798796,386,,Bold Meadow Road,,41.38788,-70.56795,820,,0,,America/New_York,,,0,
798797,385,,Across from Bold Meadow Road,,41.38782,-70.56795,820,,0,,America/New_York,,,0,
798798,552,,Across from Chilmark Comm Center,,41.34266,-70.74241,822,,0,,America/New_York,,,0,
798799,550,,Chilmark Community Center,,41.34254,-70.74248,822,,0,,America/New_York,,,0,
798800,530,,Chilmark Town Parking Lot,,41.36575,-70.72733,822,,0,,America/New_York,,,0,
798801,591,,Chilmark Overlook Inbound,,41.3235,-70.77064,822,,0,,America/New_York,,,0,
798802,592,,Chilmark Overlook Outbound,,41.32356,-70.77061,822,,0,,America/New_York,,,0,
798803,350,,"Church Street, Edgartown",,41.391,-70.51463,820,,0,,America/New_York,,,0,
798804,371,,Across from Crocker Drive,,41.36685,-70.51297,820,,0,,America/New_York,,,0,
798805,161,,Daggett Avenue,,41.46315,-70.60585,818,,0,,America/New_York,,,0,
798806,362,,Deacon Vincent Way,,41.37467,-70.51881,820,,0,,America/New_York,,,0,
798807,461,,Deep Bottom Road,,41.38388,-70.63077,821,,0,,America/New_York,,,0,
798808,462,,Across from Deep Bottom Road,,41.38398,-70.63072,821,,0,,America/New_York,,,0,
798809,330,,Edgartown Park-and-Ride,,41.39433,-70.52897,820,,0,,America/New_York,,,0,
798810,352,,Edgartown Police Station,,41.38768,-70.51919,820,,0,,America/New_York,,,0,
798811,325,,Edg Stop & Shop,,41.39377,-70.52598,820,,0,,America/New_York,,,0,
798812,326,,Across from Edg Stop & Shop,,41.39378,-70.52619,820,,0,,America/New_York,,,0,
798813,316,,Edgartown Post Office,,41.39509,-70.52982,820,,0,,America/New_York,,,0,
798814,333,,Across from Edgartown Post Office,,41.39516,-70.5295,820,,0,,America/New_York,,,0,
798815,305,,Felix Neck,,41.40678,-70.56409,820,,0,,America/New_York,,,0,
798816,306,,Across from Felix Neck,,41.4067118942807,-70.564128046627,820,,0,,America/New_York,,,0,
798817,650,,Gay Head Lighthouse,,41.34663,-70.83645,823,,0,,America/New_York,,,0,
798818,490,,Grange Hall,,41.38018,-70.67478,821,,0,,America/New_York,,,0,
798819,112,,Hillside Village,,41.43867,-70.60833,818,,0,,America/New_York,,,0,
