route_id,direction_id,direction
16697,1,Inbound
16697,0,Outbound
10755,1,Inbound
10755,0,Outbound
10754,1,Inbound
10754,0,Outbound
10753,1,Inbound
10753,0,Outbound
10752,1,Inbound
10752,0,Outbound
10751,1,Inbound
10751,0,Outbound
10750,1,Inbound
10750,0,Outbound
10749,1,Inbound
10749,0,Outbound
10748,1,Inbound
10748,0,Outbound
10747,1,Inbound
10747,0,Outbound
10746,1,Inbound
10746,0,Outbound
10745,1,Inbound
10745,0,Outbound
10743,1,Inbound
10743,0,Outbound
10742,1,Inbound
10742,0,Outbound
10737,0,Loop
10734,1,Inbound
10734,0,Outbound
10733,1,Inbound
10733,0,Outbound
10732,1,Inbound
10732,0,Outbound
10731,1,Inbound
10731,0,Outbound
10730,1,Inbound
10730,0,Outbound
10729,1,Inbound
10729,0,Outbound
