agency_id,route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,min_headway_minutes,eligibility_restricted,continuous_pickup,continuous_drop_off,tts_route_short_name,tts_route_long_name
843,10746,01,Lawrence-Methuen-Haverhill,Bus may be flagged along route except in no-stop zones--see mvrta.com for details.,3,http://www.mvrta.com/routes/route-01/,8f5c35,ffffff,0,,0,1,1,,
843,10747,13,Main Street/North Avenue,Bus may be flagged along route except in no-stop zones--see mvrta.com for details.,3,http://www.mvrta.com/routes/route-13/,f277a0,ffffff,1,,0,1,1,,
843,10749,35,Water Street,Bus may be flagged along route except in no-stop zones--see mvrta.com for details.,3,http://www.mvrta.com/routes/route-35/,722833,ffffff,10,,0,1,1,,
843,10750,36,Holy Family Hospital/Lawrence Street,Bus may be flagged along route except in no-stop zones--see mvrta.com for details.,3,http://www.mvrta.com/routes/route-36/,f7af1e,000000,11,,0,1,1,,
843,10751,37,Beacon Street,Bus may be flagged along route except in no-stop zones--see mvrta.com for details.,3,http://www.mvrta.com/routes/route-37/,676735,ffffff,12,,0,1,1,,
843,10752,39A,Colonial Heights/North Andover Mall,Bus may be flagged along route except in no-stop zones--see mvrta.com for details.,3,http://www.mvrta.com/routes/route-39a/,f27879,ffffff,13,,0,1,1,,
843,10753,39B,North Andover Mall/Phillips Street,Bus may be flagged along route except in no-stop zones--see mvrta.com for details.,3,http://www.mvrta.com/routes/route-39b/,9393b1,ffffff,14,,0,1,1,,
843,10754,40,Methuen Square,Bus may be flagged along route except in no-stop zones--see mvrta.com for details.,3,http://www.mvrta.com/routes/route-40/,28beeb,ffffff,15,,0,1,1,,
843,10755,41,Lawrence-Lowell,Bus may be flagged along route except in no-stop zones--see mvrta.com for details.,3,http://www.mvrta.com/routes/route-41/,cfdf72,000000,16,,0,1,1,,
843,10745,51,Haverhill-Amesbury,Bus may be flagged along route except in no-stop zones--see mvrta.com for details.,3,http://www.mvrta.com/routes/route-51/,fae16c,000000,17,,0,1,1,,
843,10742,54,Amesbury-Newburyport-Salisbury,Bus may be flagged along route except in no-stop zones--see mvrta.com for details.,3,http://www.mvrta.com/routes/route-54/,77ae41,ffffff,18,,0,1,1,,
843,10741,56,NECC Express,,3,http://www.mvrta.com/routes/route-56/,ffffff,000000,19,,0,1,1,,
843,10743,14,Bradford/Ward Hill,Bus may be flagged along route except in no-stop zones--see mvrta.com for details.,3,http://www.mvrta.com/routes/route-14/,a8559a,ffffff,2,,0,1,1,,
843,16697,57,Newburyport Shuttle,,3,http://www.mvrta.com/routes/route-57/,00befd,000000,20,60,0,1,1,,
843,10740,73,Beacon Street Special,,3,,676735,ffffff,21,,0,1,1,,
843,10738,83,Salisbury Beach/Hampton Beach,Bus may be flagged along route except in no-stop zones--see mvrta.com for details.,3,http://www.mvrta.com/routes/route-83/,0875b5,ffffff,22,,0,1,1,,
843,10737,85,Lawrence Downtown Shuttle,Bus may be flagged along route except in no-stop zones--see mvrta.com for details.,3,http://www.mvrta.com/routes/route-85/,ee1e7b,ffffff,23,,0,1,1,,
843,10734,15,Hilldale Avenue/Haverhill Commons,Bus may be flagged along route except in no-stop zones--see mvrta.com for details.,3,http://www.mvrta.com/routes/route-15/,f36c21,ffffff,3,,0,1,1,,
843,10729,16,Washington Street/Westgate Plaza,Bus may be flagged along route except in no-stop zones--see mvrta.com for details.,3,http://www.mvrta.com/routes/route-16/,1c9a9d,ffffff,4,,0,1,1,,
843,10730,18,Riverside,Bus may be flagged along route except in no-stop zones--see mvrta.com for details.,3,http://www.mvrta.com/routes/route-18/,cdb2d4,000000,5,,0,1,1,,
843,10731,21,Andover Shuttle,Bus may be flagged along route except in no-stop zones--see mvrta.com for details.,3,http://www.mvrta.com/routes/route-21/,3150a2,ffffff,6,,0,1,1,,
843,10732,32,Andover,Bus may be flagged along route except in no-stop zones--see mvrta.com for details.,3,http://www.mvrta.com/routes/route-32/,abc162,000000,7,,0,1,1,,
843,10733,33,North Andover,Bus may be flagged along route except in no-stop zones--see mvrta.com for details.,3,http://www.mvrta.com/routes/route-33/,552b7b,ffffff,8,,0,1,1,,
843,10748,34,Prospect Hill,Bus may be flagged along route except in no-stop zones--see mvrta.com for details.,3,http://www.mvrta.com/routes/route-34/,bda793,000000,9,,0,1,1,,
