runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
100000,c_67634_b_78197_d_31,AA-1A,AA-1A,1,5377710,2448774,5377726,2448774
1000000,c_67634_b_78197_d_31,HB-2P,HB-2P,1,5377036,2448845,5377209,2448845
10000000,c_67634_b_78197_d_32,IS-7P,IS-7P,1,5377267,2448845,5377703,2448914
10100000,c_67634_b_78197_d_32,IS-8A,IS-8A,1,5377501,2448862,5377528,2448736
10200000,c_67634_b_78197_d_32,IS-8P,IS-8P,1,5377621,2448736,5377881,2448862
10300000,c_67634_b_78197_d_32,LS-10A,LS-10A,1,5377660,2448919,5377991,2448919
10400000,c_67634_b_78197_d_32,LS-10P,LS-10P,1,5377717,2448919,5377620,2448919
10500000,c_67634_b_78197_d_32,LS-1A,LS-1A,1,5377504,2448919,5377949,2448919
10600000,c_67634_b_78197_d_32,LS-1P,LS-1P,1,5377615,2448919,5377962,2448919
10700000,c_67634_b_78197_d_32,LS-2A,LS-2A,1,5377950,2448919,5377515,2448919
10800000,c_67634_b_78197_d_32,LS-2P,LS-2P,1,5377963,2448919,5377861,2448919
10900000,c_67634_b_78197_d_32,LS-3A,LS-3A,1,5377529,2448919,5377956,2448737
1100000,c_67634_b_78197_d_31,HC-1A,HC-1A,1,5377746,2448845,5377239,2448845
11000000,c_67634_b_78197_d_32,LS-3P,LS-3P,1,5377667,2448919,5377867,2448919
11100000,c_67634_b_78197_d_32,LS-4A,LS-4A,1,5376770,2448919,5377544,2448919
11200000,c_67634_b_78197_d_32,LS-4P,LS-4P,1,5377872,2448919,5377887,2448919
11300000,c_67634_b_78197_d_32,LS-5A,LS-5A,1,5377545,2448784,5377573,2448919
11400000,c_67634_b_78197_d_32,LS-5P,LS-5P,1,5377888,2448784,5377938,2448919
11500000,c_67634_b_78197_d_32,LS-6A,LS-6A,1,5377650,2448919,5377554,2448767
11600000,c_67634_b_78197_d_32,LS-6P,LS-6P,1,5377656,2448919,5377898,2448767
11700000,c_67634_b_78197_d_32,LS-7A,LS-7A,1,5377561,2448919,5377560,2448767
11800000,c_67634_b_78197_d_32,LS-7P,LS-7P,1,5377905,2448919,5377904,2448767
11900000,c_67634_b_78197_d_32,LS-8A,LS-8A,1,5377566,2448767,5377583,2448919
1200000,c_67634_b_78197_d_31,HC-1P,HC-1P,1,5377037,2448845,5377045,2448845
12000000,c_67634_b_78197_d_32,LS-8P,LS-8P,1,5377911,2448767,5377922,2448919
12100000,c_67634_b_78197_d_32,LS-9A,LS-9A,1,5377584,2448919,5377135,2448919
12200000,c_67634_b_78197_d_32,LS-9P,LS-9P,1,5377923,2448919,5377716,2448919
1300000,c_67634_b_78197_d_31,IB-1A,IB-1A,1,5377700,2448862,5378012,2448845
1400000,c_67634_b_78197_d_31,IB-1P,IB-1P,1,5378025,2448845,5377047,2448862
1500000,c_67634_b_78197_d_31,IB-2A,IB-2A,1,5377754,2448914,5377269,2448845
1600000,c_67634_b_78197_d_31,IB-2P,IB-2P,1,5377265,2448845,5377271,2448845
1700000,c_67634_b_78197_d_31,IB-3A,IB-3A,1,5378021,2448845,5378013,2448845
1800000,c_67634_b_78197_d_31,IB-3P,IB-3P,1,5378026,2448845,5378027,2448780
1900000,c_67634_b_78197_d_31,IB-4A,IB-4A,1,5378023,2448845,5378011,2448845
200000,c_67634_b_78197_d_31,AA-1P,AA-1P,1,5377310,2448774,5377318,2448727
2000000,c_67634_b_78197_d_31,IB-4P,IB-4P,1,5378028,2448845,5377346,2448862
2100000,c_67634_b_78197_d_31,IC-1A,IC-1A,1,5377762,2448919,5377768,2448919
2200000,c_67634_b_78197_d_31,IC-1P,IC-1P,1,5377347,2448919,5377353,2448866
2300000,c_67634_b_78197_d_31,IC-2A,IC-2A,1,5377691,2448919,5376794,2448845
2400000,c_67634_b_78197_d_31,IC-2P,IC-2P,1,5377354,2448845,5377357,2448845
2500000,c_67634_b_78197_d_31,IC-3A,IC-3A,1,5377934,2448845,5377775,2448845
2600000,c_67634_b_78197_d_31,IC-3P,IC-3P,1,5377362,2448845,5377368,2448919
2700000,c_67634_b_78197_d_31,IC-4A,IC-4A,1,5377930,2448919,5377686,2448919
2800000,c_67634_b_78197_d_31,IC-4P,IC-4P,1,5377369,2448919,5377372,2448919
2900000,c_67634_b_78197_d_31,IC-5A,IC-5A,1,5377785,2448919,5377784,2448845
300000,c_67634_b_78197_d_31,HA-1A,HA-1A,1,5377727,2448845,5377734,2448845
3000000,c_67634_b_78197_d_31,IC-5P,IC-5P,1,5377374,2448845,5377380,2448919
3100000,c_67634_b_78197_d_31,IC-6A,IC-6A,1,5377935,2448845,5377791,2448845
3200000,c_67634_b_78197_d_31,IC-6P,IC-6P,1,5377381,2448845,5377386,2448866
3300000,c_67634_b_78197_d_31,IC-7A,IC-7A,1,5377936,2448919,5377800,2448866
3400000,c_67634_b_78197_d_31,IC-7P,IC-7P,1,5377391,2448866,5377390,2448919
3500000,c_67634_b_78197_d_31,IC-8A,IC-8A,1,5377931,2448919,5377806,2448919
3600000,c_67634_b_78197_d_31,IC-8P,IC-8P,1,5377394,2448919,5377054,2448845
3700000,c_67634_b_78197_d_31,LA-1A,LA-1A,1,5377807,2448890,5377817,2448919
3800000,c_67634_b_78197_d_31,LA-1P,LA-1P,1,5377057,2448919,5377672,2448890
3900000,c_67634_b_78197_d_31,LA-2A,LA-2A,1,5376810,2448919,5378063,2448919
400000,c_67634_b_78197_d_31,HA-1P,HA-1P,1,5377319,2448845,5377326,2448845
4000000,c_67634_b_78197_d_31,LA-2P,LA-2P,1,5376957,2448919,5376977,2448919
4100000,c_67634_b_78197_d_31,LA-3A,LA-3A,1,5376949,2448919,5377671,2448919
4200000,c_67634_b_78197_d_31,LA-3P,LA-3P,1,5377973,2448919,5377976,2448737
4300000,c_67634_b_78197_d_31,LA-4A,LA-4A,1,5376950,2448919,5376970,2448919
4400000,c_67634_b_78197_d_31,LA-4P,LA-4P,1,5376817,2448919,5378070,2448919
4500000,c_67634_b_78197_d_31,LB-1A,LB-1A,1,5377818,2448858,5377152,2448919
4600000,c_67634_b_78197_d_31,LB-1P,LB-1P,1,5377405,2448919,5377062,2448725
4700000,c_67634_b_78197_d_31,LB-2A,LB-2A,1,5376920,2448919,5376941,2448919
4800000,c_67634_b_78197_d_31,LB-2P,LB-2P,1,5376858,2448919,5377021,2448919
4900000,c_67634_b_78197_d_31,LB-3A,LB-3A,1,5376865,2448799,5377830,2448919
500000,c_67634_b_78197_d_31,HA-2A,HA-2A,1,5377142,2448845,5377146,2448845
5000000,c_67634_b_78197_d_31,LB-3P,LB-3P,1,5377418,2448919,5377065,2448919
5100000,c_67634_b_78197_d_31,LB-4A,LB-4A,1,5376851,2448919,5376872,2448919
5200000,c_67634_b_78197_d_31,LB-4P,LB-4P,1,5376927,2448919,5376948,2448919
5300000,c_67634_b_78197_d_31,LC-1A,LC-1A,1,5377835,2448786,5377854,2448919
5400000,c_67634_b_78197_d_31,LC-1P,LC-1P,1,5377072,2448784,5377424,2448875
5500000,c_67634_b_78197_d_31,LC-2A,LC-2A,1,5376831,2448919,5376844,2448919
5600000,c_67634_b_78197_d_31,LC-2P,LC-2P,1,5376908,2448784,5378079,2448875
5700000,c_67634_b_78197_d_31,LC-3A,LC-3A,1,5376756,2448785,5377839,2448767
5800000,c_67634_b_78197_d_31,LC-3P,LC-3P,1,5377644,2448919,5377091,2448919
5900000,c_67634_b_78197_d_31,LC-4A,LC-4A,1,5376901,2448784,5376916,2448767
600000,c_67634_b_78197_d_31,HA-2P,HA-2P,1,5377026,2448845,5377182,2448845
6000000,c_67634_b_78197_d_31,LC-4P,LC-4P,1,5376825,2448919,5376838,2448919
6100000,c_67634_b_78197_d_31,LD-1A,LD-1A,1,5377016,2448875,5378099,2448919
6200000,c_67634_b_78197_d_31,LD-1P,LD-1P,1,5377434,2448919,5377075,2448919
6300000,c_67634_b_78197_d_31,LD-2A,LD-2A,1,5376887,2448767,5376892,2448767
6400000,c_67634_b_78197_d_31,LD-2P,LD-2P,1,5377003,2448919,5378107,2448919
6500000,c_67634_b_78197_d_31,LD-3A,LD-3A,1,5376757,2448828,5377293,2448919
6600000,c_67634_b_78197_d_31,LD-3P,LD-3P,1,5377076,2448767,5376888,2448828
6700000,c_67634_b_78197_d_31,LD-4A,LD-4A,1,5376996,2448919,5378100,2448919
6800000,c_67634_b_78197_d_31,LD-4P,LD-4P,1,5376879,2448767,5376899,2448767
6900000,c_67634_b_78197_d_31,LE-1A,LE-1A,1,5378085,2448919,5377157,2448919
700000,c_67634_b_78197_d_31,HB-1A,HB-1A,1,5377232,2448845,5377203,2448845
7000000,c_67634_b_78197_d_31,LE-1P,LE-1P,1,5377084,2448919,5377985,2448919
7100000,c_67634_b_78197_d_31,LE-2A,LE-2A,1,5378086,2448919,5376988,2448919
7200000,c_67634_b_78197_d_31,LE-2P,LE-2P,1,5378094,2448919,5376994,2448919
7300000,c_67634_b_78197_d_31,SH-1A,SH-1A,1,5377022,2448930,5377305,2448930
7400000,c_67634_b_78197_d_31,SH-1P,SH-1P,1,5377092,2448930,5377678,2448930
7500000,c_67634_b_78197_d_31,SH-2A,SH-2A,1,5377306,2448862,5377629,2448862
7600000,c_67634_b_78197_d_31,SH-2P,SH-2P,1,5377461,2448862,5377639,2448862
7700000,c_67634_b_78197_d_32,HS-1A,HS-1A,1,5377095,2448845,5377099,2448845
7800000,c_67634_b_78197_d_32,HS-1P,HS-1P,1,5377589,2448845,5377201,2448845
7900000,c_67634_b_78197_d_32,HS-2A,HS-2A,1,5377193,2448845,5377165,2448845
800000,c_67634_b_78197_d_31,HB-1P,HB-1P,1,5377337,2448845,5378001,2448845
8000000,c_67634_b_78197_d_32,HS-2P,HS-2P,1,5377115,2448845,5377996,2448845
8100000,c_67634_b_78197_d_32,HS-3A,HS-3A,1,5377212,2448845,5376803,2448845
8200000,c_67634_b_78197_d_32,HS-3P,HS-3P,1,5377219,2448845,5378006,2448845
8300000,c_67634_b_78197_d_32,HS-4A,HS-4A,1,5377236,2448845,5377224,2448845
8400000,c_67634_b_78197_d_32,HS-4P,HS-4P,1,5378038,2448845,5377230,2448845
8500000,c_67634_b_78197_d_32,HS-5A,HS-5A,1,5377244,2448845,5378044,2448845
8600000,c_67634_b_78197_d_32,HS-5P,HS-5P,1,5377248,2448845,5378037,2448845
8700000,c_67634_b_78197_d_32,IS-1A,IS-1A,1,5376768,2448919,5377472,2448919
8800000,c_67634_b_78197_d_32,IS-1P,IS-1P,1,5377120,2448919,5377101,2448919
8900000,c_67634_b_78197_d_32,IS-2A,IS-2A,1,5377477,2448919,5377480,2448919
900000,c_67634_b_78197_d_31,HB-2A,HB-2A,1,5377739,2448845,5377207,2448845
9000000,c_67634_b_78197_d_32,IS-2P,IS-2P,1,5377102,2448919,5377593,2448919
9100000,c_67634_b_78197_d_32,IS-3A,IS-3A,1,5377481,2448845,5377118,2448919
9200000,c_67634_b_78197_d_32,IS-3P,IS-3P,1,5377596,2448919,5377598,2448845
9300000,c_67634_b_78197_d_32,IS-4A,IS-4A,1,5377486,2448919,5377488,2448845
9400000,c_67634_b_78197_d_32,IS-4P,IS-4P,1,5377599,2448845,5377604,2448866
9500000,c_67634_b_78197_d_32,IS-5A,IS-5A,1,5377491,2448914,5377275,2448845
9600000,c_67634_b_78197_d_32,IS-5P,IS-5P,1,5377260,2448845,5377162,2448845
