stop_id,stop_city
2586284,Lawrence
2454698,Browns Point
2594064,Lawrence
2448735,Andover
2594323,Lawrence
2586377,Lawrence
2594119,Plastow
2594011,Methuen
2559164,Newburyport
2448763,Springfield
2594373,Browns Point
2594030,Andover
2454448,Methuen
2594325,Haverhill
2594330,Methuen
2448811,Lowell
2454486,Andover
3475108,Lawrence
2448764,Springfield
2616260,Newburyport
2448891,Andover
2586309,Lawrence
2594271,Merrimac
2594042,North Andover
2586355,Andover
2594158,Haverhill
2594092,Lawrence
2586202,North Andover
2454444,Dracut
2586388,Amesbury
2586275,Haverhill
2586398,Lawrence
2586381,Lawrence
2594105,Lawrence
2594004,Methuen
2594209,Haverhill
2729452,Haverhill
2454535,Andover
2594050,Methuen
2448868,Haverhill
4147901,Boston
2448793,Andover
2454378,Haverhill
2594204,Lawrence
2454583,Andover
2454567,Lawrence
2594202,Lawrence
2594358,Haverhill
2586179,Haverhill
2594142,Lawrence
2594140,Lawrence
2448814,Lawrence
2594106,Methuen
2448727,Andover
2454470,North Andover
2452899,Haverhill
2454459,Lawrence
2452454,Haverhill
2594009,Haverhill
2454537,Lawrence
3880690,Haverhill
2586435,Lawrence
2586341,Lawrence
2448734,Springfield
3672636,Amesbury
2454641,Amesbury
2586209,Haverhill
2594047,Andover
2448782,Haverhill
2613727,North Andover
2454560,Methuen
2586380,Methuen
2594093,Methuen
2448776,Andover
2454589,Haverhill
2454465,Lawrence
3880678,Haverhill
2454407,Amesbury
2613746,Haverhill
2448848,Boston
2594145,Methuen
2448877,Lowell
2454594,Haverhill
2586378,Lawrence
2448817,Andover
2454585,Andover
2586270,Methuen
2594165,Haverhill
2454432,Lawrence
2454379,Haverhill
2594058,Haverhill
2452470,Methuen
2586445,Lawrence
2594135,Methuen
2448781,Haverhill
2454403,Haverhill
2448892,Andover
2586353,Newburyport
2454703,Newburyport
2448741,Lawrence
2448808,Lawrence
2586352,Haverhill
2454456,Lawrence
2454536,Lawrence
2448789,Springfield
2586277,Haverhill
2594211,Haverhill
2448836,Springfield
4147906,Boston
2594051,Methuen
2454428,Lawrence
2594065,North Andover
2586386,Amesbury
2586384,Amesbury
2448916,Newburyport
2594278,Lawrence
2613725,Lawrence
2594056,Methuen
3880687,Haverhill
4146986,Boston
2586365,Haverhill
2454572,Lawrence
2594027,Haverhill
2586247,Haverhill
2594160,Lawrence
2454402,Haverhill
2586191,Lawrence
3475105,Andover
2454462,Lawrence
2454440,Lawrence
2454413,Amesbury
2586252,Browns Point
2586424,Haverhill
2448761,Lawrence
2594263,Lawrence
2454395,Haverhill
3880679,Haverhill
2586356,Haverhill
2448791,Boston
2586329,Amesbury
2448760,Andover
2594258,Lawrence
2594210,Haverhill
2613738,Lawrence
2448754,Newburyport
2586221,Browns Point
2594099,Methuen
2586450,Haverhill
2448736,Newburyport
2586417,Newburyport
2454561,Lawrence
2448800,Lawrence
4146989,Boston
2448739,North Andover
2586175,Methuen
2594054,North Andover
2594147,Lawrence
2448824,Boston
2454761,Lawrence
2448815,Methuen
2454405,Merrimac
2586217,Haverhill
2454437,Lawrence
2448797,Springfield
2586182,Andover
2448893,Amesbury
2448886,Springfield
2454591,Haverhill
2586206,Haverhill
2594052,Haverhill
2448821,Methuen
2586188,Salisbury Beach
2594347,Methuen
2586279,North Andover
2594181,Lawrence
2586322,Methuen
2448923,Springfield
2448909,Haverhill
2594070,Haverhill
2594015,Lawrence
2448878,Newburyport
2586314,Merrimac
2594180,Lawrence
2454479,Lawrence
2586280,North Andover
2594063,Methuen
2586360,Haverhill
2594001,Lawrence
2448828,Methuen
2594228,Newburyport
2594270,Merrimac
2448918,Springfield
2594084,Haverhill
2586177,Lawrence
2454571,North Andover
2613732,Lawrence
2613742,Haverhill
2448867,Haverhill
2586402,Lawrence
2594207,Haverhill
2454588,North Andover
2586431,Haverhill
2448752,Springfield
2594174,Haverhill
2448846,Lawrence
2594282,Haverhill
2579603,Plastow
2454475,Lawrence
2448881,Springfield
2586403,Andover
2452461,Methuen
2594012,Methuen
2448823,Lowell
2586227,Haverhill
2454400,Haverhill
2448799,North Andover
2594048,North Andover
4146987,Boston
2452455,Haverhill
4147905,Boston
2448740,Haverhill
2454487,Andover
2452894,Springfield
2594199,Lawrence
2586180,Browns Point
2586349,Lawrence
2448768,Lawrence
2594108,Lawrence
2586404,Andover
2448787,Andover
2586449,Lawrence
2454383,Haverhill
2586420,Newburyport
2452463,Methuen
2448928,Lawrence
2454433,Lawrence
2586321,Methuen
2448899,Amesbury
2594170,Haverhill
2448857,Boston
2448749,Haverhill
2454477,Lawrence
