timetable_id,stop_id,stop_sequence,stop_name,connected_routes
3435,2448774,1,Senior Center,21/Andover Shuttle
3435,2448727,2,Chestnut Court,21/Andover Shuttle
3435,2448774,3,Senior Center,21/Andover Shuttle
3435,2448787,4,Main Street & Central Street,"21/Andover Shuttle, 32/Andover"
3435,2448793,5,Andover Commons,21/Andover Shuttle
3435,2448750,6,Shawsheen Plaza,21/Andover Shuttle
3435,2448773,7,Frye Circle,21/Andover Shuttle
3435,2448771,8,Doctors Park,21/Andover Shuttle
3435,2448829,9,YMCA,21/Andover Shuttle
3435,2448875,10,North Andover Mall - Market Basket,"21/Andover Shuttle, 33/North Andover, 39A/Colonial Heights/North Andover Mall, 39B/North Andover Mall/Phillips Street"
3436,2448875,1,North Andover Mall - Market Basket,"21/Andover Shuttle, 33/North Andover, 39A/Colonial Heights/North Andover Mall, 39B/North Andover Mall/Phillips Street"
3436,2448835,2,Doctors Park,"21/Andover Shuttle, 39A/Colonial Heights/North Andover Mall"
3436,2448865,3,Frye Circle,21/Andover Shuttle
3436,2448750,4,Shawsheen Plaza,21/Andover Shuttle
3436,2448911,5,Andover Commons,21/Andover Shuttle
3436,2448891,6,Main Street & Central Street,21/Andover Shuttle
3436,2448774,7,Senior Center,21/Andover Shuttle
3518,2579602,1,Plaistow Walmart,13/Main Street/North Avenue
3518,2579603,2,Plaistow Market Basket,13/Main Street/North Avenue
3518,2448766,3,Stateline Plaza - TJ Maxx,13/Main Street/North Avenue
3518,2448867,4,Monument Square,13/Main Street/North Avenue
3518,2448845,5,Washington Square Transit Center,"01/Lawrence-Methuen-Haverhill, 13/Main Street/North Avenue, 14/Bradford/Ward Hill, 15/Hilldale Avenue/Haverhill Commons, 16/Washington Street/Westgate Plaza, 18/Riverside, 51/Haverhill-Amesbury, 83/Salisbury Beach/Hampton Beach"
3519,2448845,1,Washington Square Transit Center,"01/Lawrence-Methuen-Haverhill, 13/Main Street/North Avenue, 14/Bradford/Ward Hill, 15/Hilldale Avenue/Haverhill Commons, 16/Washington Street/Westgate Plaza, 18/Riverside, 51/Haverhill-Amesbury, 83/Salisbury Beach/Hampton Beach"
3519,2448842,2,Monument Square,13/Main Street/North Avenue
3519,2448825,3,North Avenue & Gas Company Road,13/Main Street/North Avenue
3519,2448766,4,Stateline Plaza - TJ Maxx,13/Main Street/North Avenue
3519,2579602,5,Plaistow Walmart,13/Main Street/North Avenue
3520,2448919,1,Buckley Transportation Center,"01/Lawrence-Methuen-Haverhill, 32/Andover, 34/Prospect Hill, 35/Water Street, 36/Holy Family Hospital/Lawrence Street, 37/Beacon Street, 39A/Colonial Heights/North Andover Mall, 39B/North Andover Mall/Phillips Street, 41/Lawrence-Lowell, 75/Lawrence (Special Employment Service), 83/Salisbury Beach/Hampton Beach, 85/Lawrence Downtown Shuttle"
3520,2448874,2,White Street & Maple St,36/Holy Family Hospital/Lawrence Street
3520,2448812,3,Elm Towers,36/Holy Family Hospital/Lawrence Street
3520,2448860,4,Rita Hall,36/Holy Family Hospital/Lawrence Street
3520,2448861,5,Berkeley Home,36/Holy Family Hospital/Lawrence Street
3520,2448737,6,Holy Family Hospital,36/Holy Family Hospital/Lawrence Street
3521,2448919,1,Buckley Transportation Center,"01/Lawrence-Methuen-Haverhill, 32/Andover, 34/Prospect Hill, 35/Water Street, 36/Holy Family Hospital/Lawrence Street, 37/Beacon Street, 39A/Colonial Heights/North Andover Mall, 39B/North Andover Mall/Phillips Street, 41/Lawrence-Lowell, 75/Lawrence (Special Employment Service), 83/Salisbury Beach/Hampton Beach, 85/Lawrence Downtown Shuttle"
3521,2448874,2,White Street & Maple St,36/Holy Family Hospital/Lawrence Street
3521,2448812,3,Elm Towers,36/Holy Family Hospital/Lawrence Street
3521,2448860,4,Rita Hall,36/Holy Family Hospital/Lawrence Street
3521,2448861,5,Berkeley Home,36/Holy Family Hospital/Lawrence Street
3521,2448737,6,Holy Family Hospital,36/Holy Family Hospital/Lawrence Street
3523,2448737,1,Holy Family Hospital,36/Holy Family Hospital/Lawrence Street
3523,2448889,2,Lawrence Street & Birchwood St,36/Holy Family Hospital/Lawrence Street
3523,2448846,3,Rita Hall,36/Holy Family Hospital/Lawrence Street
3523,2448792,4,Elm Towers,36/Holy Family Hospital/Lawrence Street
3523,2448772,5,White Street & Maple St,36/Holy Family Hospital/Lawrence Street
3523,2448919,6,Buckley Transportation Center,"01/Lawrence-Methuen-Haverhill, 32/Andover, 34/Prospect Hill, 35/Water Street, 36/Holy Family Hospital/Lawrence Street, 37/Beacon Street, 39A/Colonial Heights/North Andover Mall, 39B/North Andover Mall/Phillips Street, 41/Lawrence-Lowell, 75/Lawrence (Special Employment Service), 83/Salisbury Beach/Hampton Beach, 85/Lawrence Downtown Shuttle"
3524,2448737,1,Holy Family Hospital,36/Holy Family Hospital/Lawrence Street
3524,2448889,2,Lawrence Street & Birchwood St,36/Holy Family Hospital/Lawrence Street
3524,2448846,3,Rita Hall,36/Holy Family Hospital/Lawrence Street
3524,2448792,4,Elm Towers,36/Holy Family Hospital/Lawrence Street
3524,2448772,5,White Street & Maple St,36/Holy Family Hospital/Lawrence Street
3524,2448919,6,Buckley Transportation Center,"01/Lawrence-Methuen-Haverhill, 32/Andover, 34/Prospect Hill, 35/Water Street, 36/Holy Family Hospital/Lawrence Street, 37/Beacon Street, 39A/Colonial Heights/North Andover Mall, 39B/North Andover Mall/Phillips Street, 41/Lawrence-Lowell, 75/Lawrence (Special Employment Service), 83/Salisbury Beach/Hampton Beach, 85/Lawrence Downtown Shuttle"
3613,2448919,1,Buckley Transportation Center,"01/Lawrence-Methuen-Haverhill, 32/Andover, 34/Prospect Hill, 35/Water Street, 36/Holy Family Hospital/Lawrence Street, 37/Beacon Street, 39A/Colonial Heights/North Andover Mall, 39B/North Andover Mall/Phillips Street, 41/Lawrence-Lowell, 75/Lawrence (Special Employment Service), 83/Salisbury Beach/Hampton Beach, 85/Lawrence Downtown Shuttle"
3613,2448723,2,S Broadway & Mt Vernon Street,"32/Andover, 75/Lawrence (Special Employment Service), 99/Methuen-Lawrence-Andover to Boston"
3613,2448813,3,Shawsheen Square,32/Andover
3613,2448787,4,Main Street & Central Street,"21/Andover Shuttle, 32/Andover"
3613,2448849,5,Main Street & School Street,32/Andover
3614,2448849,1,Main Street & School Street,32/Andover
3614,2448890,2,Andover Square,32/Andover
3614,2448735,3,N Main Street & Balmoral,"21/Andover Shuttle, 32/Andover, 99/Methuen-Lawrence-Andover to Boston"
3614,2448810,4,S Broadway & Mt Vernon Street,"32/Andover, 75/Lawrence (Special Employment Service), 99/Methuen-Lawrence-Andover to Boston"
3614,2448919,5,Buckley Transportation Center,"01/Lawrence-Methuen-Haverhill, 32/Andover, 34/Prospect Hill, 35/Water Street, 36/Holy Family Hospital/Lawrence Street, 37/Beacon Street, 39A/Colonial Heights/North Andover Mall, 39B/North Andover Mall/Phillips Street, 41/Lawrence-Lowell, 75/Lawrence (Special Employment Service), 83/Salisbury Beach/Hampton Beach, 85/Lawrence Downtown Shuttle"
3615,2448919,1,Buckley Transportation Center,"01/Lawrence-Methuen-Haverhill, 32/Andover, 34/Prospect Hill, 35/Water Street, 36/Holy Family Hospital/Lawrence Street, 37/Beacon Street, 39A/Colonial Heights/North Andover Mall, 39B/North Andover Mall/Phillips Street, 41/Lawrence-Lowell, 75/Lawrence (Special Employment Service), 83/Salisbury Beach/Hampton Beach, 85/Lawrence Downtown Shuttle"
3615,2448723,2,S Broadway & Mt Vernon Street,"32/Andover, 75/Lawrence (Special Employment Service), 99/Methuen-Lawrence-Andover to Boston"
3615,2448813,3,Shawsheen Square,32/Andover
3615,2448787,4,Main Street & Central Street,"21/Andover Shuttle, 32/Andover"
3615,2448849,5,Main Street & School Street,32/Andover
3617,2448849,1,Main Street & School Street,32/Andover
3617,2448890,2,Andover Square,32/Andover
3617,2448735,3,N Main Street & Balmoral,"21/Andover Shuttle, 32/Andover, 99/Methuen-Lawrence-Andover to Boston"
3617,2448810,4,S Broadway & Mt Vernon Street,"32/Andover, 75/Lawrence (Special Employment Service), 99/Methuen-Lawrence-Andover to Boston"
3617,2448919,5,Buckley Transportation Center,"01/Lawrence-Methuen-Haverhill, 32/Andover, 34/Prospect Hill, 35/Water Street, 36/Holy Family Hospital/Lawrence Street, 37/Beacon Street, 39A/Colonial Heights/North Andover Mall, 39B/North Andover Mall/Phillips Street, 41/Lawrence-Lowell, 75/Lawrence (Special Employment Service), 83/Salisbury Beach/Hampton Beach, 85/Lawrence Downtown Shuttle"
3619,2448770,1,Marriott Springhill Suites,37/Beacon Street
3619,2448732,2,Courtyard Marriott,37/Beacon Street
3619,3475107,3,Mt Vernon Street & North Street,37/Beacon Street
3619,3475112,4,Andover Street & Beacon Street,37/Beacon Street
3619,2448923,5,Andover Street & Newton Street,37/Beacon Street
3619,2448919,6,Buckley Transportation Center,"01/Lawrence-Methuen-Haverhill, 32/Andover, 34/Prospect Hill, 35/Water Street, 36/Holy Family Hospital/Lawrence Street, 37/Beacon Street, 39A/Colonial Heights/North Andover Mall, 39B/North Andover Mall/Phillips Street, 41/Lawrence-Lowell, 75/Lawrence (Special Employment Service), 83/Salisbury Beach/Hampton Beach, 85/Lawrence Downtown Shuttle"
3620,2448770,1,Marriott Springhill Suites,37/Beacon Street
3620,2448732,2,Courtyard Marriott,37/Beacon Street
3620,3475107,3,Mt Vernon Street & North Street,37/Beacon Street
3620,3475112,4,Andover Street & Beacon Street,37/Beacon Street
3620,2448923,5,Andover Street & Newton Street,37/Beacon Street
3620,2448919,6,Buckley Transportation Center,"01/Lawrence-Methuen-Haverhill, 32/Andover, 34/Prospect Hill, 35/Water Street, 36/Holy Family Hospital/Lawrence Street, 37/Beacon Street, 39A/Colonial Heights/North Andover Mall, 39B/North Andover Mall/Phillips Street, 41/Lawrence-Lowell, 75/Lawrence (Special Employment Service), 83/Salisbury Beach/Hampton Beach, 85/Lawrence Downtown Shuttle"
3622,2448919,1,Buckley Transportation Center,"01/Lawrence-Methuen-Haverhill, 32/Andover, 34/Prospect Hill, 35/Water Street, 36/Holy Family Hospital/Lawrence Street, 37/Beacon Street, 39A/Colonial Heights/North Andover Mall, 39B/North Andover Mall/Phillips Street, 41/Lawrence-Lowell, 75/Lawrence (Special Employment Service), 83/Salisbury Beach/Hampton Beach, 85/Lawrence Downtown Shuttle"
3622,2448840,2,Andover Street & Newton Street,37/Beacon Street
3622,2448827,3,Andover Street & Beacon Street,"37/Beacon Street, 73/Beacon Street Special"
3622,2448896,4,Mt Vernon Street & North Street,37/Beacon Street
3622,2448770,5,Marriott Springhill Suites,37/Beacon Street
3624,2448919,1,Buckley Transportation Center,"01/Lawrence-Methuen-Haverhill, 32/Andover, 34/Prospect Hill, 35/Water Street, 36/Holy Family Hospital/Lawrence Street, 37/Beacon Street, 39A/Colonial Heights/North Andover Mall, 39B/North Andover Mall/Phillips Street, 41/Lawrence-Lowell, 75/Lawrence (Special Employment Service), 83/Salisbury Beach/Hampton Beach, 85/Lawrence Downtown Shuttle"
3624,2448840,2,Andover Street & Newton Street,37/Beacon Street
3624,2448827,3,Andover Street & Beacon Street,"37/Beacon Street, 73/Beacon Street Special"
3624,2448896,4,Mt Vernon Street & North Street,37/Beacon Street
