timetable_id,route_id,direction_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday,timetable_label,service_notes,direction_label,orientation,start_time,end_time
3435,10731,0,20221031,20231001,1,1,1,1,1,0,0,Andover Shuttle,Weekday,Outbound,horizontal,,
3436,10731,1,20221031,20231001,1,1,1,1,1,0,0,Andover Shuttle,Weekday,Inbound,horizontal,,
3518,10747,1,20221031,20231001,1,1,1,1,1,0,0,Main Street/North Avenue,Weekday,Inbound,horizontal,,
3519,10747,0,20221031,20231001,1,1,1,1,1,0,0,Main Street/North Avenue,Weekday,Outbound,horizontal,,
3520,10750,0,20221031,20231001,1,1,1,1,1,0,0,Holy Family Hospital/Lawrence Street,Weekday,Outbound,horizontal,,
3521,10750,0,20221031,20231001,0,0,0,0,0,1,0,Holy Family Hospital/Lawrence Street,Saturday only,Outbound,horizontal,,
3523,10750,1,20221031,20231001,1,1,1,1,1,0,0,Holy Family Hospital/Lawrence Street,Weekday,Inbound,horizontal,,
3524,10750,1,20221031,20231001,0,0,0,0,0,1,0,Holy Family Hospital/Lawrence Street,Saturday only,Inbound,horizontal,,
3613,10732,0,20221031,20231001,1,1,1,1,1,0,0,Andover,Weekday,Outbound,horizontal,,
3614,10732,1,20221031,20231001,1,1,1,1,1,0,0,Andover,Weekday,Inbound,horizontal,,
3615,10732,0,20221031,20231001,0,0,0,0,0,1,0,Andover,Saturday only,Outbound,horizontal,,
3617,10732,1,20221031,20231001,0,0,0,0,0,1,0,Andover,Saturday only,Inbound,horizontal,,
3619,10751,1,20221031,20231001,1,1,1,1,1,0,0,Beacon Street,Weekday,Inbound,horizontal,,
3620,10751,1,20221031,20231001,0,0,0,0,0,1,0,Beacon Street,Saturday only,Inbound,horizontal,,
3622,10751,0,20221031,20231001,1,1,1,1,1,0,0,Beacon Street,Weekday,Outbound,horizontal,,
3624,10751,0,20221031,20231001,0,0,0,0,0,1,0,Beacon Street,Saturday only,Outbound,horizontal,,
3714,10745,0,20221031,20231001,1,1,1,1,1,0,0,Haverhill-Amesbury,Weekday,Outbound,horizontal,,
3715,10745,1,20221031,20231001,1,1,1,1,1,0,0,Haverhill-Amesbury,Weekday,Inbound,horizontal,,
3716,10745,0,20221031,20231001,0,0,0,0,0,1,0,Haverhill-Amesbury,Saturday only,Outbound,horizontal,,
3717,10745,1,20221031,20231001,0,0,0,0,0,1,0,Haverhill-Amesbury,Saturday only,Inbound,horizontal,,
3720,10742,0,20221031,20231001,1,1,1,1,1,0,0,Amesbury-Newburyport-Salisbury,Weekday,Outbound,horizontal,,
3721,10742,1,20221031,20231001,1,1,1,1,1,0,0,Amesbury-Newburyport-Salisbury,Weekday,Inbound,horizontal,,
3722,10742,0,20221031,20231001,0,0,0,0,0,1,0,Amesbury-Newburyport-Salisbury,Saturday only,Outbound,horizontal,,
3723,10742,1,20221031,20231001,0,0,0,0,0,1,0,Amesbury-Newburyport-Salisbury,Saturday only,Inbound,horizontal,,
3726,16697,0,20221031,20231001,1,1,1,1,1,0,0,Newburyport Shuttle,Weekday,Outbound,horizontal,,
3727,16697,0,20221031,20231001,0,0,0,0,0,1,0,Newburyport Shuttle,Saturday only,Outbound,horizontal,,
3729,16697,1,20221031,20231001,1,1,1,1,1,0,0,Newburyport Shuttle,Weekday,Inbound,horizontal,,
3730,16697,1,20221031,20231001,0,0,0,0,0,1,0,Newburyport Shuttle,Saturday only,Inbound,horizontal,,
3741,10746,1,20221031,20231001,1,1,1,1,1,0,0,Lawrence-Methuen-Haverhill,Weekday,Inbound,horizontal,,
3742,10746,0,20221031,20231001,1,1,1,1,1,0,0,Lawrence-Methuen-Haverhill,Weekday,Outbound,horizontal,,
3743,10746,1,20221031,20231001,0,0,0,0,0,1,0,Lawrence-Methuen-Haverhill,Saturday only,Inbound,horizontal,,
3744,10746,0,20221031,20231001,0,0,0,0,0,1,0,Lawrence-Methuen-Haverhill,Saturday only,Outbound,horizontal,,
3747,10747,1,20221031,20231001,0,0,0,0,0,1,0,Main Street/North Avenue,Saturday only,Inbound,horizontal,,
3748,10747,0,20221031,20231001,0,0,0,0,0,1,0,Main Street/North Avenue,Saturday only,Outbound,horizontal,,
3751,10743,1,20221031,20231001,1,1,1,1,1,0,0,Bradford/Ward Hill,Weekday,Inbound,horizontal,,
3752,10743,0,20221031,20231001,1,1,1,1,1,0,0,Bradford/Ward Hill,Weekday,Outbound,horizontal,,
3753,10743,1,20221031,20231001,0,0,0,0,0,1,0,Bradford/Ward Hill,Saturday only,Inbound,horizontal,,
3754,10743,0,20221031,20231001,0,0,0,0,0,1,0,Bradford/Ward Hill,Saturday only,Outbound,horizontal,,
3757,10734,1,20221031,20231001,1,1,1,1,1,0,0,Hilldale Avenue/Haverhill Commons,Weekday,Inbound,horizontal,,
