route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,trip_type,drt_max_travel_time,drt_avg_travel_time,drt_advance_book_min,drt_pickup_message,drt_drop_off_message,continuous_pickup_message,continuous_drop_off_message,tts_trip_headsign,tts_trip_short_name
10729,c_67634_b_78197_d_31,5378005,,Westgate Plaza,0,HB-2P,p_1384591,,,,,,,,,,,,
10729,c_67634_b_78197_d_31,5377337,,Westgate Plaza,0,HB-1P,p_1384591,,,,,,,,,,,,
10729,c_67634_b_78197_d_31,5377232,,Westgate Plaza,0,HB-1A,p_1384591,,,,,,,,,,,,
10729,c_67634_b_78197_d_31,5377231,,Westgate Plaza,0,HB-2A,p_1384591,,,,,,,,,,,,
10729,c_67634_b_78197_d_31,5377036,,Westgate Plaza,0,HB-2P,p_1384591,,,,,,,,,,,,
10729,c_67634_b_78197_d_31,5377339,,Westgate Plaza,0,HB-1P,p_1384591,,,,,,,,,,,,
10729,c_67634_b_78197_d_31,5377341,,Westgate Plaza,0,HB-1P,p_1384591,,,,,,,,,,,,
10729,c_67634_b_78197_d_31,5377737,,Westgate Plaza,0,HB-1A,p_1384591,,,,,,,,,,,,
10729,c_67634_b_78197_d_31,5377743,,Westgate Plaza,0,HB-2A,p_1384591,,,,,,,,,,,,
10729,c_67634_b_78197_d_31,5377745,,Westgate Plaza,0,HB-2A,p_1384591,,,,,,,,,,,,
10729,c_67634_b_78197_d_31,5377998,,Westgate Plaza,0,HB-1P,p_1384591,,,,,,,,,,,,
10729,c_67634_b_78197_d_31,5378000,,Westgate Plaza,0,HB-1P,p_1384591,,,,,,,,,,,,
10729,c_67634_b_78197_d_31,5378003,,Westgate Plaza,0,HB-2P,p_1384591,,,,,,,,,,,,
10729,c_67634_b_78197_d_31,5377999,, Washington Square Transit Center,1,HB-1P,p_1384593,,,,,,,,,,,,
10729,c_67634_b_78197_d_31,5377738,, Washington Square Transit Center,1,HB-1A,p_1384593,,,,,,,,,,,,
10729,c_67634_b_78197_d_31,5377233,, Washington Square Transit Center,1,HB-2A,p_1384593,,,,,,,,,,,,
10729,c_67634_b_78197_d_31,5378004,, Washington Square Transit Center,1,HB-2P,p_1384593,,,,,,,,,,,,
10729,c_67634_b_78197_d_31,5377744,, Washington Square Transit Center,1,HB-2A,p_1384593,,,,,,,,,,,,
10729,c_67634_b_78197_d_31,5378001,, Washington Square Transit Center,1,HB-1P,p_1384593,,,,,,,,,,,,
10729,c_67634_b_78197_d_31,5376799,, Washington Square Transit Center,1,HB-2P,p_1384593,,,,,,,,,,,,
10729,c_67634_b_78197_d_31,5377338,, Washington Square Transit Center,1,HB-1P,p_1384593,,,,,,,,,,,,
10729,c_67634_b_78197_d_31,5377997,, Washington Square Transit Center,1,HB-1P,p_1384593,,,,,,,,,,,,
10729,c_67634_b_78197_d_31,5377340,, Washington Square Transit Center,1,HB-1P,p_1384593,,,,,,,,,,,,
10729,c_67634_b_78197_d_31,5378002,, Washington Square Transit Center,1,HB-2P,p_1384593,,,,,,,,,,,,
10729,c_67634_b_78197_d_31,5377706,, Washington Square Transit Center,1,HB-2A,p_1384593,,,,,,,,,,,,
10729,c_67634_b_78197_d_31,5377736,, Washington Square Transit Center,1,HB-1A,p_1384593,,,,,,,,,,,,
10729,c_67634_b_78197_d_32,5377236,,Westgate Plaza,0,HS-4A,p_1384591,,,,,,,,,,,,
10729,c_67634_b_78197_d_32,5376800,,Westgate Plaza,0,HS-3A,p_1384591,,,,,,,,,,,,
10729,c_67634_b_78197_d_32,5376804,,Westgate Plaza,0,HS-3P,p_1384591,,,,,,,,,,,,
10729,c_67634_b_78197_d_32,5376805,,Westgate Plaza,0,HS-3P,p_1384591,,,,,,,,,,,,
10729,c_67634_b_78197_d_32,5376806,,Westgate Plaza,0,HS-3P,p_1384591,,,,,,,,,,,,
10729,c_67634_b_78197_d_32,5377234,,Westgate Plaza,0,HS-3A,p_1384591,,,,,,,,,,,,
10729,c_67634_b_78197_d_32,5377235,,Westgate Plaza,0,HS-3A,p_1384591,,,,,,,,,,,,
10729,c_67634_b_78197_d_32,5377237,,Westgate Plaza,0,HS-4A,p_1384591,,,,,,,,,,,,
10729,c_67634_b_78197_d_32,5377238,,Westgate Plaza,0,HS-4A,p_1384591,,,,,,,,,,,,
10729,c_67634_b_78197_d_32,5378040,,Westgate Plaza,0,HS-4P,p_1384591,,,,,,,,,,,,
10729,c_67634_b_78197_d_32,5378039,,Westgate Plaza,0,HS-4P,p_1384591,,,,,,,,,,,,
10729,c_67634_b_78197_d_32,5378038,,Westgate Plaza,0,HS-4P,p_1384591,,,,,,,,,,,,
10729,c_67634_b_78197_d_32,5378033,, Washington Square Transit Center,1,HS-4A,p_1384593,,,,,,,,,,,,
10729,c_67634_b_78197_d_32,5378048,, Washington Square Transit Center,1,HS-4P,p_1384593,,,,,,,,,,,,
10729,c_67634_b_78197_d_32,5378034,, Washington Square Transit Center,1,HS-4A,p_1384593,,,,,,,,,,,,
10729,c_67634_b_78197_d_32,5378006,, Washington Square Transit Center,1,HS-3P,p_1384593,,,,,,,,,,,,
10729,c_67634_b_78197_d_32,5378032,, Washington Square Transit Center,1,HS-4A,p_1384593,,,,,,,,,,,,
10729,c_67634_b_78197_d_32,5376801,, Washington Square Transit Center,1,HS-3A,p_1384593,,,,,,,,,,,,
10729,c_67634_b_78197_d_32,5376802,, Washington Square Transit Center,1,HS-3A,p_1384593,,,,,,,,,,,,
10729,c_67634_b_78197_d_32,5376803,, Washington Square Transit Center,1,HS-3A,p_1384593,,,,,,,,,,,,
