trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,start_pickup_dropoff_window,end_pickup_dropoff_window,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset,tts_stop_headsign,min_arrival_time,max_departure_time
t_1463377_b_30328_tn_0,15:00:00,15:00:00,2750874,1,Middlesex Hospital,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_1463377_b_30328_tn_0,,,3447118,2,,0,0,325.819486555661,0,,,,,1,1,,,,,,,,,,,
t_1463377_b_30328_tn_0,,,2750813,3,,0,0,526.919383375957,0,,,,,1,1,,,,,,,,,,,
t_1463377_b_30328_tn_0,,,2750864,4,,0,0,692.860049466582,0,,,,,1,1,,,,,,,,,,,
t_1463377_b_30328_tn_0,15:03:00,15:03:00,2750873,5,Stop & Shop Plaza,0,0,799.80959521207,1,,,,,1,1,,,,,,,,,,,
t_1463377_b_30328_tn_0,,,3447071,6,,0,0,1271.72878173714,0,,,,,1,1,,,,,,,,,,,
t_1463377_b_30328_tn_0,,,3451632,7,,0,0,1418.99473418279,0,,,,,1,1,,,,,,,,,,,
t_1463377_b_30328_tn_0,,,3447072,8,,0,0,1819.21290667333,0,,,,,1,1,,,,,,,,,,,
t_1463377_b_30328_tn_0,,,3448159,9,,0,0,1977.72586737194,0,,,,,1,1,,,,,,,,,,,
t_1463377_b_30328_tn_0,,,3447073,10,,0,0,2335.05456286567,0,,,,,1,1,,,,,,,,,,,
t_1463377_b_30328_tn_0,15:07:00,15:07:00,2750872,11,Summerhill Apartments,0,0,2601.53859425564,1,,,,,1,1,,,,,,,,,,,
t_1463377_b_30328_tn_0,,,3447074,12,,0,0,3198.68071801163,0,,,,,1,1,,,,,,,,,,,
t_1463377_b_30328_tn_0,,,3451737,13,,0,0,3575.22098336014,0,,,,,1,1,,,,,,,,,,,
t_1463377_b_30328_tn_0,,,3447075,14,,0,0,4179.59446757394,0,,,,,1,1,,,,,,,,,,,
t_1463377_b_30328_tn_0,,,3447076,15,,0,0,4509.00694293631,0,,,,,1,1,,,,,,,,,,,
t_1463377_b_30328_tn_0,,,3447077,16,,0,0,5260.71167033481,0,,,,,1,1,,,,,,,,,,,
t_1463377_b_30328_tn_0,,,3451743,17,,0,0,5646.80803048158,0,,,,,1,1,,,,,,,,,,,
t_1463377_b_30328_tn_0,,,3447078,18,,0,0,6449.28794479341,0,,,,,1,1,,,,,,,,,,,
t_1463377_b_30328_tn_0,15:16:00,15:16:00,2750871,19,Middlesex Community College,0,0,6690.09694115243,1,,,,,1,1,,,,,,,,,,,
t_1463377_b_30328_tn_0,,,3447079,20,,0,0,7824.44608450219,0,,,,,1,1,,,,,,,,,,,
t_1463377_b_30328_tn_0,15:20:00,15:20:00,2750870,21,Saybrook Rd Medical Centers,0,0,8903.98367958435,1,,,,,1,1,,,,,,,,,,,
t_1463377_b_30328_tn_0,,,2750869,22,,0,0,9647.43483874617,0,,,,,1,1,,,,,,,,,,,
t_1463377_b_30328_tn_0,,,2750868,23,,0,0,10415.4081525162,0,,,,,1,1,,,,,,,,,,,
t_1463377_b_30328_tn_0,,,3447082,24,,0,0,12133.3616980169,0,,,,,1,1,,,,,,,,,,,
t_1463377_b_30328_tn_0,,,2750867,25,,0,0,12424.9793599017,0,,,,,1,1,,,,,,,,,,,
t_1463377_b_30328_tn_0,,,3447083,26,,0,0,12714.8906689943,0,,,,,1,1,,,,,,,,,,,
t_1463377_b_30328_tn_0,,,3448160,27,,0,0,12855.3238179141,0,,,,,1,1,,,,,,,,,,,
t_1463377_b_30328_tn_0,,,3447084,28,,0,0,13021.7975797832,0,,,,,1,1,,,,,,,,,,,
t_1463377_b_30328_tn_0,,,3451634,29,,0,0,13229.4889474712,0,,,,,1,1,,,,,,,,,,,
t_1463377_b_30328_tn_0,,,3451635,30,,0,0,13720.6748318921,0,,,,,1,1,,,,,,,,,,,
t_1463377_b_30328_tn_0,15:35:00,15:35:00,2750866,31,Walnut St / Maple St,0,0,13871.6133964261,1,,,,,1,1,,,,,,,,,,,
t_1463377_b_30328_tn_0,,,3451636,32,,0,0,13924.0041691806,0,,,,,1,1,,,,,,,,,,,
t_1463377_b_30328_tn_0,,,3447085,33,,0,0,14567.1728195801,0,,,,,1,1,,,,,,,,,,,
t_1463377_b_30328_tn_0,15:42:00,15:42:00,2750865,34,Union St / deKoven Dr,0,0,16301.9639416727,1,,,,,1,1,,,,,,,,,,,
t_1463377_b_30328_tn_0,,,3451753,35,,0,0,16520.5014134859,0,,,,,1,1,,,,,,,,,,,
t_1463377_b_30328_tn_0,,,3447086,36,,0,0,16688.9152697622,0,,,,,1,1,,,,,,,,,,,
t_1463377_b_30328_tn_0,,,3448161,37,,0,0,17098.2745155823,0,,,,,1,1,,,,,,,,,,,
t_1463377_b_30328_tn_0,15:48:00,15:48:00,2750794,38,Washington St / Broad St,0,0,17525.5072425589,1,,,,,1,1,,,,,,,,,,,
t_1463377_b_30328_tn_0,,,3449146,39,,0,0,18036.474414348,0,,,,,1,1,,,,,,,,,,,
t_1463377_b_30328_tn_0,15:52:00,15:52:00,2750874,40,Middlesex Hospital,0,0,18728.83671209,1,,,,,1,1,,,,,,,,,,,
t_1463378_b_30328_tn_0,13:00:00,13:00:00,2750874,1,Middlesex Hospital,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_1463378_b_30328_tn_0,,,3447118,2,,0,0,325.819486555661,0,,,,,1,1,,,,,,,,,,,
t_1463378_b_30328_tn_0,,,2750813,3,,0,0,526.919383375957,0,,,,,1,1,,,,,,,,,,,
t_1463378_b_30328_tn_0,,,2750864,4,,0,0,692.860049466582,0,,,,,1,1,,,,,,,,,,,
t_1463378_b_30328_tn_0,13:03:00,13:03:00,2750873,5,Stop & Shop Plaza,0,0,799.80959521207,1,,,,,1,1,,,,,,,,,,,
t_1463378_b_30328_tn_0,,,3447071,6,,0,0,1271.72878173714,0,,,,,1,1,,,,,,,,,,,
t_1463378_b_30328_tn_0,,,3451632,7,,0,0,1418.99473418279,0,,,,,1,1,,,,,,,,,,,
t_1463378_b_30328_tn_0,,,3447072,8,,0,0,1819.21290667333,0,,,,,1,1,,,,,,,,,,,
t_1463378_b_30328_tn_0,,,3448159,9,,0,0,1977.72586737194,0,,,,,1,1,,,,,,,,,,,
t_1463378_b_30328_tn_0,,,3447073,10,,0,0,2335.05456286567,0,,,,,1,1,,,,,,,,,,,
