stop_id,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,position,direction,wheelchair_boarding,tts_stop_name
2750794,,,Church Street/ Broad Street,Arts Center,41.556201212132,-72.6493036037092,,,0,,America/New_York,,,0,
2750795,,,William & Hamlin,Traverse Square Stop,41.5566370277136,-72.6520927775961,,,0,,America/New_York,,,0,
2750797,,,Wadsworth St / Henley St,Wadsworth & Henley Street Stop,41.5413643715194,-72.6752656430588,,,0,,America/New_York,,,0,
2750798,,,Pine St / Randolph Rd,Pine & Randolph Street Stop,41.525433,-72.66827,,,0,,America/New_York,,,0,
2750799,,,Blue & Wesleyan Hills,Wesleyan Hills Stop 1,41.5242058158669,-72.6667817098536,,,0,,America/New_York,,,0,
2750800,,,Randolph & Highland,Apple Rehab Stop,41.5316394914409,-72.6551305471673,,,0,,America/New_York,,,0,
2750802,,,Washington Street (Washington Plaza),Washington Street (Washington Plaza) Stop,41.5543509599794,-72.68072749304,,,0,,America/New_York,,,0,
2750804,,,Smith & Middle St,Middle&Smith Stop,41.5843315948109,-72.7204740257312,,,0,,America/New_York,,,0,
2750805,,,Westfield Shopping Town (Meriden Mall),Meriden Mall Stop,41.55074,-72.809799,,,0,,America/New_York,,,0,
2750806,,,Meriden RailRoad Station,Meriden Railroad Station Stop,41.5396299303642,-72.7998405897448,,,0,,America/New_York,,,1,Meriden Railroad Station
2750807,,,Pearl St / Liberty St,Liberty & Pearl Street,41.5339309529951,-72.7827333257166,,,0,,America/New_York,,,0,
2750808,,,East Main & Preston,EMain Street Meriden,41.5260522035121,-72.753919632743,,,0,,America/New_York,,,0,
2750809,,,William & High (Wesleyan University),William Street & High Street Stop,41.5557222059121,-72.654488815247,,,0,,America/New_York,,,0,
2750810,,,East St & Westlake Dr,Westlake Dr/East St,41.5985860820187,-72.6952193937751,,,0,,America/New_York,,,0,
2750811,,,Westlake Dr & Trolley Crossing,Westlake Drive (Outbound),41.5983072230102,-72.6977069347019,,,0,,America/New_York,,,0,
2750813,,,Main & William Street,Main Street and WillIam Street,41.5581129011907,-72.6483750369926,,,0,,America/New_York,,,0,
2750814,,,Washington & High St,High Street Stop,41.5605027618255,-72.656095920617,,,0,,America/New_York,,,0,
2750817,,,Daddario Rd / Cubeta Rd,Daddario Rd Stop,41.5382378654234,-72.6675661219854,,,0,,America/New_York,,,0,
2750818,,,South Main St Plaza,McDonald Stop,41.5447529133342,-72.6495700396163,,,0,,America/New_York,,,0,
2750819,,,Marlborough Street Burger King,Burger King Stop,41.5727634769044,-72.6392950590209,,,0,,America/New_York,,,0,
2750820,,,Route 16/ Route 66 Inbound,Route 16 & Route 67 Stop,41.5640317381957,-72.5403929194965,,,0,,America/New_York,,,0,
2750821,,,Food Bag - Route 16,Food Bag & Route 17 Stop,41.5672921388372,-72.4976287132297,,,0,,America/New_York,,,0,
