route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,trip_type,drt_max_travel_time,drt_avg_travel_time,drt_advance_book_min,drt_pickup_message,drt_drop_off_message,continuous_pickup_message,continuous_drop_off_message,tts_trip_headsign,tts_trip_short_name
19480,c_21655_b_30328_d_31,t_1463483_b_30328_tn_0,,Saybrook Road,0,,p_1276604,,,,,,,,,,,,
19480,c_21655_b_30328_d_31,t_1463432_b_30328_tn_0,,Saybrook Road,0,,p_1276592,,,,,,,,,,,,
19480,c_21655_b_30328_d_31,t_1463433_b_30328_tn_0,,Saybrook Road,0,,p_1276592,,,,,,,,,,,,
19480,c_21655_b_30328_d_31,t_1463434_b_30328_tn_0,,Saybrook Road,0,,p_1276592,,,,,,,,,,,,
19480,c_21655_b_30328_d_31,t_1463435_b_30328_tn_0,,Saybrook Road,0,,p_1276592,,,,,,,,,,,,
19480,c_21655_b_30328_d_31,t_1463436_b_30328_tn_0,,Saybrook Road,0,,p_1276592,,,,,,,,,,,,
19480,c_21655_b_30328_d_31,t_1463437_b_30328_tn_0,,Saybrook Road,0,,p_1276592,,,,,,,,,,,,
19480,c_21655_b_30328_d_31,t_1463438_b_30328_tn_0,,Saybrook Road,0,,p_1276592,,,,,,,,,,,,
19480,c_21655_b_30328_d_31,t_1463460_b_30328_tn_0,,Saybrook Road,0,,p_1276602,,,,,,,,,,,,
19480,c_21655_b_30328_d_31,t_1463461_b_30328_tn_0,,Saybrook Road,0,,p_1276602,,,,,,,,,,,,
19480,c_21655_b_30328_d_31,t_1463462_b_30328_tn_0,,Saybrook Road,0,,p_1276602,,,,,,,,,,,,
19480,c_21655_b_30328_d_31,t_1463463_b_30328_tn_0,,Saybrook Road,0,,p_1276602,,,,,,,,,,,,
19480,c_21655_b_30328_d_31,t_1463464_b_30328_tn_0,,Saybrook Road,0,,p_1276602,,,,,,,,,,,,
19480,c_21655_b_30328_d_31,t_1463480_b_30328_tn_0,,Saybrook Road,0,,p_1276604,,,,,,,,,,,,
19480,c_21655_b_30328_d_31,t_1463481_b_30328_tn_0,,Saybrook Road,0,,p_1276604,,,,,,,,,,,,
19480,c_21655_b_30328_d_31,t_1463482_b_30328_tn_0,,Saybrook Road,0,,p_1276604,,,,,,,,,,,,
19481,c_21655_b_30328_d_31,t_1463452_b_30328_tn_0,,DSS/DCF,0,,p_1276598,,,,,,,,,,,,
19481,c_21655_b_30328_d_31,t_1463445_b_30328_tn_0,,DSS/DCF,0,,p_1276598,,,,,,,,,,,,
19481,c_21655_b_30328_d_31,t_1463446_b_30328_tn_0,,DSS/DCF,0,,p_1276598,,,,,,,,,,,,
19481,c_21655_b_30328_d_31,t_1463447_b_30328_tn_0,,DSS/DCF,0,,p_1276598,,,,,,,,,,,,
19481,c_21655_b_30328_d_31,t_1463448_b_30328_tn_0,,DSS/DCF,0,,p_1276598,,,,,,,,,,,,
19481,c_21655_b_30328_d_31,t_1463449_b_30328_tn_0,,DSS/DCF,0,,p_1276598,,,,,,,,,,,,
19481,c_21655_b_30328_d_31,t_1463450_b_30328_tn_0,,DSS/DCF,0,,p_1276598,,,,,,,,,,,,
19481,c_21655_b_30328_d_31,t_1463451_b_30328_tn_0,,DSS/DCF,0,,p_1276598,,,,,,,,,,,,
19481,c_21655_b_30328_d_31,t_1463453_b_30328_tn_0,,DSS/DCF,0,,p_1276598,,,,,,,,,,,,
19481,c_21655_b_30328_d_31,t_1463454_b_30328_tn_0,,DSS/DCF,0,,p_1276598,,,,,,,,,,,,
19481,c_21655_b_30328_d_31,t_1463455_b_30328_tn_0,,DSS/DCF,0,,p_1276598,,,,,,,,,,,,
19481,c_21655_b_30328_d_31,t_1463456_b_30328_tn_0,,DSS/DCF,0,,p_1276598,,,,,,,,,,,,
19481,c_21655_b_30328_d_31,t_1463520_b_30328_tn_0,,Wesleyan Hills,0,,p_1276611,,,,,,,,,,,,
19481,c_21655_b_30328_d_31,t_1463521_b_30328_tn_0,,Wesleyan Hills,0,,p_1276611,,,,,,,,,,,,
19481,c_21655_b_30328_d_31,t_1463522_b_30328_tn_0,,Wesleyan Hills,0,,p_1276611,,,,,,,,,,,,
19481,c_21655_b_30328_d_31,t_1463523_b_30328_tn_0,,Wesleyan Hills,0,,p_1276611,,,,,,,,,,,,
19482,c_21655_b_30328_d_31,t_1463496_b_30328_tn_0,,Washington Street,0,,p_1276606,,,,,,,,,,,,
19482,c_21655_b_30328_d_31,t_1463415_b_30328_tn_0,,Washington Street,0,,p_1276589,,,,,,,,,,,,
19482,c_21655_b_30328_d_31,t_1463416_b_30328_tn_0,,Washington Street,0,,p_1276589,,,,,,,,,,,,
19482,c_21655_b_30328_d_31,t_1463459_b_30328_tn_0,,Washington Street,0,,p_1276601,,,,,,,,,,,,
19482,c_21655_b_30328_d_31,t_1463484_b_30328_tn_0,,Washington Street,0,,p_1276606,,,,,,,,,,,,
19482,c_21655_b_30328_d_31,t_1463485_b_30328_tn_0,,Washington Street,0,,p_1276606,,,,,,,,,,,,
19482,c_21655_b_30328_d_31,t_1463486_b_30328_tn_0,,Washington Street,0,,p_1276606,,,,,,,,,,,,
19482,c_21655_b_30328_d_31,t_1463487_b_30328_tn_0,,Washington Street,0,,p_1276606,,,,,,,,,,,,
19482,c_21655_b_30328_d_31,t_1463488_b_30328_tn_0,,Washington Street,0,,p_1276606,,,,,,,,,,,,
19482,c_21655_b_30328_d_31,t_1463489_b_30328_tn_0,,Washington Street,0,,p_1276606,,,,,,,,,,,,
19482,c_21655_b_30328_d_31,t_1463490_b_30328_tn_0,,Washington Street,0,,p_1276606,,,,,,,,,,,,
19482,c_21655_b_30328_d_31,t_1463491_b_30328_tn_0,,Washington Street,0,,p_1276606,,,,,,,,,,,,
19482,c_21655_b_30328_d_31,t_1463492_b_30328_tn_0,,Washington Street,0,,p_1276606,,,,,,,,,,,,
