runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
100000,c_20742_b_41063_d_31,19675,1,1,t_1281647_b_41063_tn_0,795514,t_1281647_b_41063_tn_0,795514
1000000,c_21283_b_29553_d_31,19661,10,1,t_1359803_b_29553_tn_0,795463,t_1359631_b_29553_tn_0,795463
1100000,c_21283_b_29553_d_31,19663,11,1,t_1359596_b_29553_tn_1,795466,t_1359640_b_29553_tn_3,795466
1200000,c_21283_b_29553_d_31,19664,12,1,t_1359661_b_29553_tn_0,795463,t_1359755_b_29553_tn_0,795463
1300000,c_21283_b_29553_d_31,19670,13,1,t_1359614_b_29553_tn_0,795514,t_1359747_b_29553_tn_0,795514
1400000,c_21283_b_29553_d_31,19671,14,1,t_1359619_b_29553_tn_0,795519,t_1359776_b_29553_tn_4,807635
1500000,c_21283_b_29553_d_31,19672,15,1,t_1359621_b_29553_tn_1,795519,t_1359645_b_29553_tn_0,795519
1600000,c_21283_b_29553_d_31,19676,16,1,t_1360481_b_29553_tn_0,795514,t_1395220_b_29553_tn_0,795514
1700000,c_21283_b_29553_d_31,19677,17,1,t_1359634_b_29553_tn_0,795463,t_1359809_b_29553_tn_1,816202
1800000,c_21283_b_29553_d_31,19678,18,1,t_1359622_b_29553_tn_0,795463,t_1359750_b_29553_tn_0,795463
1900000,c_21283_b_29553_d_31,3649,19,1,t_1359587_b_29553_tn_0,795525,t_1359592_b_29553_tn_0,795525
200000,c_20742_b_41063_d_31,19682,2,1,t_5369836_b_41063_tn_0,795514,t_5369839_b_41063_tn_0,795514
2000000,c_21283_b_29553_d_31,3652,20,1,t_1359617_b_29553_tn_0,795514,t_1359616_b_29553_tn_7,795514
2100000,c_21283_b_29553_d_31,5861,21,1,t_1360446_b_29553_tn_0,795463,t_1360440_b_29553_tn_0,795463
2200000,c_21283_b_29553_d_32,19657,22,1,t_1359609_b_29553_tn_0,833811,t_1359588_b_29553_tn_0,833811
2300000,c_21283_b_29553_d_32,19658,23,1,t_1359693_b_29553_tn_0,795463,t_1359708_b_29553_tn_0,795463
2400000,c_21283_b_29553_d_32,19659,24,1,t_1359682_b_29553_tn_0,833810,t_1359763_b_29553_tn_0,795463
2500000,c_21283_b_29553_d_32,19661,25,1,t_1359710_b_29553_tn_1,795463,t_1359706_b_29553_tn_3,795463
2600000,c_21283_b_29553_d_32,19663,26,1,t_1359692_b_29553_tn_1,795466,t_1359735_b_29553_tn_3,795466
2700000,c_21283_b_29553_d_32,19664,27,1,t_1359744_b_29553_tn_0,795463,t_1359786_b_29553_tn_0,795463
2800000,c_21283_b_29553_d_32,19670,28,1,t_1359649_b_29553_tn_0,795514,t_1359741_b_29553_tn_0,795514
2900000,c_21283_b_29553_d_32,3649,29,1,t_1359817_b_29553_tn_0,795525,t_1359818_b_29553_tn_0,795525
300000,c_21112_b_55926_d_15,160715,3,1,t_1361109_b_55926_tn_1,795463,t_1361108_b_55926_tn_16,795463
3000000,c_21283_b_29553_d_32,3652,30,1,t_1359699_b_29553_tn_1,795514,t_1359774_b_29553_tn_0,795514
3100000,c_21283_b_29553_d_32,5861,31,1,t_1359684_b_29553_tn_1,795463,t_1360445_b_29553_tn_0,795463
3200000,c_21283_b_29553_d_63,103659,32,1,t_1462449_b_29553_tn_0,795463,t_1462455_b_29553_tn_0,795463
3300000,c_21668_b_78067_d_31,3652,33,1,t_1464880_b_78067_tn_1,795514,t_1464881_b_78067_tn_0,795519
3400000,c_22003_b_55927_d_31,1296513,34,1,t_5372291_b_55927_tn_0,795474,t_5372291_b_55927_tn_0,795474
3500000,c_22003_b_55927_d_31,1296514,35,1,t_5372292_b_55927_tn_0,795474,t_5372292_b_55927_tn_0,795474
3600000,c_22003_b_55927_d_31,19668,36,1,t_1548571_b_55927_tn_0,795474,t_1548571_b_55927_tn_0,795474
3700000,c_22003_b_55927_d_31,19669,37,1,t_1548573_b_55927_tn_0,795474,t_1548573_b_55927_tn_0,795474
3800000,c_22003_b_55927_d_31,3652,38,1,t_1464882_b_55927_tn_1,795514,t_1464883_b_55927_tn_0,795519
3900000,c_22003_b_78066_d_31,1296513,39,1,t_5372291_b_78066_tn_0,795474,t_5372291_b_78066_tn_0,795474
400000,c_21112_b_55926_d_16,160715,4,1,t_1361098_b_55926_tn_1,795463,t_1361097_b_55926_tn_1,795463
4000000,c_22003_b_78066_d_31,1296514,40,1,t_5372292_b_78066_tn_0,795474,t_5372292_b_78066_tn_0,795474
4100000,c_22003_b_78066_d_31,19668,41,1,t_1548571_b_78066_tn_0,795474,t_1548571_b_78066_tn_0,795474
4200000,c_22003_b_78066_d_31,19669,42,1,t_1548573_b_78066_tn_0,795474,t_1548573_b_78066_tn_0,795474
4300000,c_22003_b_78066_d_31,3652,43,1,t_1464882_b_78066_tn_1,795514,t_1464883_b_78066_tn_0,795519
4400000,c_22003_b_78131_d_31,1296513,44,1,t_5372291_b_78131_tn_0,795474,t_5372291_b_78131_tn_0,795474
4500000,c_22003_b_78131_d_31,1296514,45,1,t_5372292_b_78131_tn_0,795474,t_5372292_b_78131_tn_0,795474
4600000,c_22003_b_78131_d_31,19668,46,1,t_1548571_b_78131_tn_0,795474,t_1548571_b_78131_tn_0,795474
4700000,c_22003_b_78131_d_31,19669,47,1,t_1548573_b_78131_tn_0,795474,t_1548573_b_78131_tn_0,795474
4800000,c_22003_b_78131_d_31,3652,48,1,t_1464882_b_78131_tn_1,795514,t_1464883_b_78131_tn_0,795519
4900000,c_22003_b_78132_d_31,1296513,49,1,t_5372291_b_78132_tn_0,795474,t_5372291_b_78132_tn_0,795474
500000,c_21112_b_55926_d_31,3956,5,1,t_1466019_b_55926_tn_1,795463,t_1466019_b_55926_tn_32,795463
5000000,c_22003_b_78132_d_31,1296514,50,1,t_5372292_b_78132_tn_0,795474,t_5372292_b_78132_tn_0,795474
5100000,c_22003_b_78132_d_31,19668,51,1,t_1548571_b_78132_tn_0,795474,t_1548571_b_78132_tn_0,795474
5200000,c_22003_b_78132_d_31,19669,52,1,t_1548573_b_78132_tn_0,795474,t_1548573_b_78132_tn_0,795474
5300000,c_22003_b_78132_d_31,3652,53,1,t_1464882_b_78132_tn_1,795514,t_1464883_b_78132_tn_0,795519
600000,c_21112_b_55926_d_64,160715,6,1,t_1361110_b_55926_tn_1,795463,t_1361110_b_55926_tn_22,795463
700000,c_21283_b_29553_d_31,19657,7,1,t_1359623_b_29553_tn_0,795463,t_1359760_b_29553_tn_0,795463
800000,c_21283_b_29553_d_31,19658,8,1,t_1359629_b_29553_tn_0,795474,t_1359785_b_29553_tn_0,795474
900000,c_21283_b_29553_d_31,19659,9,1,t_1359612_b_29553_tn_0,833810,t_1359764_b_29553_tn_0,795463
