stop_id,stop_city
2730134,Worcester
795540,Fitchburg
3878880,Ayer
3452048,Worcester
3878875,Ayer
2730133,Clinton
795484,Springfield
795472,Springfield
2319719,Fitchburg
795485,Fitchburg
807697,Springfield
3878869,Ayer
3449774,Fitchburg
3878885,Ayer
3878871,Harvard
807803,Athol
2736248,Athol
807810,Athol
795526,Springfield
2512533,Fitchburg
2512532,Fitchburg
816203,Springfield
4149330,Fitchburg
4149328,Fitchburg
4149327,Fitchburg
2319711,Fitchburg
835960,Worcester
835962,Worcester
2319722,Fitchburg
2319716,Fitchburg
2512204,Orange
795535,Winchendon
3452041,Worcester
2755043,Fitchburg
2735754,Fitchburg
2319710,Springfield
2319717,Springfield
795482,Fitchburg
795543,Fitchburg
833810,Leominster
795503,Springfield
820005,Gardner
2441069,Springfield
3878876,Ayer
795514,Gardner
2736243,Leominster
795470,Leominster
795533,Winchendon
795473,Lunenburg
820000,Springfield
795506,Gardner
2319724,Fitchburg
2755039,Harvard
2511764,Littleton
795474,Leominster
2512544,Fitchburg
833797,Leominster
807635,Gardner 
795530,Templeton
2511762,Littleton
3878884,Ayer
2512545,Fitchburg
2319715,Fitchburg
795498,Leominster
795522,Springfield
2319718,Fitchburg
795524,Athol
3878867,Ayer
2755038,Worcester
2511350,Leominster
795513,Gardner
2511351,Leominster
795486,Fitchburg
2511763,Littleton
2511753,Littleton
807871,Springfield
795508,Gardner
2511756,Westford
2736246,Winchendon
795538,Leominster
833798,Leominster
2512531,Fitchburg
795496,Lancaster
2512549,Fitchburg
807804,Athol
795494,Fitchburg
4149329,Fitchburg
820019,Springfield
833811,Fitchburg
795537,Fitchburg
795528,Springfield
835961,Worcester
2441070,Fitchburg
2319726,Fitchburg
3878863,Leominster
807868,Springfield
795476,Leominster
795480,Leominster
2735755,Fitchburg
795469,Leominster
3878864,Shirley
807634,Athol
2736247,Phillipston
795518,Springfield
2511760,Westford
2330762,Fitchburg
795477,Leominster
795511,Gardner
2319723,Springfield
2319713,Springfield
2441063,Springfield
807792,Orange
2511761,Westford
833794,Leominster
2382437,Fitchburg
2319712,Springfield
835729,Springfield
795493,Fitchburg
2624085,Fitchburg
795481,Fitchburg
795527,Athol
2319893,Springfield
2511765,Fitchburg
807698,Springfield
795501,Leominster
795463,Springfield
795510,Gardner
795488,Fitchburg
2512548,Fitchburg
3452049,Worcester
833788,Fitchburg
807807,Athol
795531,Springfield
795487,Fitchburg
2319714,Springfield
795520,Springfield
2319721,Fitchburg
816202,Fitchburg
795532,Winchendon
795475,Leominster
2735753,Fitchburg
795525,Springfield
2624084,Fitchburg
795478,Springfield
795515,Gardner
795471,Springfield
795466,Springfield
2441059,Leominster
2319725,Fitchburg
3878873,Harvard
3878866,Ayer
795479,Leominster
2511836,Orange
820001,Springfield
3878865,Shirley
795492,Fitchburg
795464,Springfield
795523,Athol
795516,Springfield
795519,Gardner
820004,Springfield
2441071,Springfield
3452044,Worcester
2511759,Westford
795500,Leominster
2735752,Fitchburg
2511751,Littleton
3878872,Harvard
3452042,Worcester
795468,Leominster
795534,Winchendon
2319709,Springfield
795509,Gardner
2441068,Fitchburg
816204,Springfield
3878877,Ayer
795521,Templeton
3878874,Harvard
2440696,Leominster
795497,Leominster
795490,Lunenburg
