trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,start_pickup_dropoff_window,end_pickup_dropoff_window,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset,tts_stop_headsign,min_arrival_time,max_departure_time
t_1281647_b_41063_tn_0,15:15:00,15:15:00,795514,1,Intermodal Center,0,0,0,1,,,,,3,3,,,,,,,,,,,
t_1281647_b_41063_tn_0,15:23:00,15:23:00,807698,2,Intermodal Center,0,0,5776.16096567108,1,,,,,3,3,,,,,,,,,,,
t_1281647_b_41063_tn_0,15:25:00,15:25:00,807697,3,Intermodal Center,0,0,7036.74997747979,1,,,,,3,3,,,,,,,,,,,
t_1281647_b_41063_tn_0,15:41:00,15:41:00,795480,4,Intermodal Center,0,0,21647.8990981139,1,,,,,3,3,,,,,,,,,,,
t_1281647_b_41063_tn_0,15:55:00,15:55:00,795463,5,Leominster,0,0,27067.1613291585,1,,,,,3,3,,,,,,,,,,,
t_1281647_b_41063_tn_0,16:11:00,16:11:00,795538,6,Gardner,0,0,32228.2230278525,1,,,,,3,3,,,,,,,,,,,
t_1281647_b_41063_tn_0,16:21:00,16:21:00,807697,7,Gardner,0,0,46425.5670089239,1,,,,,3,3,,,,,,,,,,,
t_1281647_b_41063_tn_0,16:25:00,16:25:00,807698,8,Gardner,0,0,47744.1295822295,1,,,,,3,3,,,,,,,,,,,
t_1281647_b_41063_tn_0,16:35:00,16:35:00,807635,9,Gardner,0,0,56162.0216558487,1,,,,,3,3,,,,,,,,,,,
t_1281647_b_41063_tn_0,16:40:00,16:40:00,795519,10,Gardner,0,0,59536.3206425035,1,,,,,3,3,,,,,,,,,,,
t_1281647_b_41063_tn_0,16:45:00,16:45:00,795514,11,Gardner,0,0,61168.44513015,1,,,,,3,3,,,,,,,,,,,
t_1359586_b_29553_tn_1,10:15:00,10:15:00,807634,1,Athol,0,0,0,1,,,,,3,3,,,,,,,,,,,
t_1359586_b_29553_tn_1,10:19:00,10:19:00,807810,2,,0,0,2397.22830568276,1,,,,,1,1,,,,,,,,,,,
t_1359586_b_29553_tn_1,10:20:00,10:20:00,795523,3,Athol,0,0,2967.0753465368,1,,,,,3,3,,,,,,,,,,,
t_1359586_b_29553_tn_1,10:21:00,10:21:00,807807,4,Athol,0,0,3704.17270047771,1,,,,,3,3,,,,,,,,,,,
t_1359586_b_29553_tn_1,10:25:00,10:25:00,4160269,5,,0,0,5737.108108387,1,,,,,1,1,,,,,,,,,,,
t_1359586_b_29553_tn_1,10:27:00,10:27:00,795525,6,Athol,0,0,6560.51893739732,1,,,,,3,3,,,,,,,,,,,
t_1359586_b_29553_tn_1,10:30:00,10:30:00,795526,7,Athol,0,0,7574.38983284916,1,,,,,3,3,,,,,,,,,,,
t_1359586_b_29553_tn_1,10:32:00,10:32:00,4160268,8,,0,0,8473.99664570428,1,,,,,1,1,,,,,,,,,,,
t_1359586_b_29553_tn_1,10:35:00,10:35:00,795527,9,Athol,0,0,10777.7443778581,1,,,,,3,3,,,,,,,,,,,
t_1359586_b_29553_tn_1,10:40:00,10:40:00,795528,10,Orange,0,0,13210.2874425799,1,,,,,3,3,,,,,,,,,,,
t_1359586_b_29553_tn_1,10:44:00,10:44:00,2511836,11,Orange,0,0,15424.7410487858,1,,,,,3,3,,,,,,,,,,,
t_1359586_b_29553_tn_1,10:45:00,10:45:00,807792,12,Orange,0,0,15961.175629917,1,,,,,3,3,,,,,,,,,,,
t_1359586_b_29553_tn_1,10:46:00,10:46:00,2512204,13,Orange,0,0,16517.6755193918,1,,,,,3,3,,,,,,,,,,,
t_1359586_b_29553_tn_1,10:50:00,10:50:00,795528,14,Orange,0,0,18731.1380194315,1,,,,,3,3,,,,,,,,,,,
t_1359586_b_29553_tn_1,10:54:00,10:54:00,795527,15,Athol,0,0,21163.2635612526,1,,,,,3,3,,,,,,,,,,,
t_1359586_b_29553_tn_1,10:56:00,10:56:00,4160270,16,,0,0,23428.3105161171,1,,,,,1,1,,,,,,,,,,,
