route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color
8dcc80fe-2f2b-4704-ad74-2dd4d739af32,478a27db-1bf2-463e-9806-f038e89fc0ae,"09","RT09","Natick Collection 9 90 Corporate Center",3,DC143C,000000
76478e2d-ebf9-4e59-9416-485478bc607a,478a27db-1bf2-463e-9806-f038e89fc0ae,"14","RT14","Route 14- Milford",3,DC143C,000000
dae78855-eb39-420b-a2bf-02697f8bf124,478a27db-1bf2-463e-9806-f038e89fc0ae,"MBRS","Mass Bay Riverside Shuttle","Mass Bay Riverside Shuttle",3,DC143C,000000
9d35f174-01a9-4e25-8d51-3c0f7289d42e,478a27db-1bf2-463e-9806-f038e89fc0ae,"07","RT07",,3,DC143C,000000
ab6badc8-b167-48e0-a3dc-119131ba989b,478a27db-1bf2-463e-9806-f038e89fc0ae,"10","RT10","Route 10",3,DC143C,000000
244b0951-9a81-4d74-bcca-8a159234029a,478a27db-1bf2-463e-9806-f038e89fc0ae,"01","RT01","Woodland Green Line T",3,DC143C,000000
1eb86446-bcb5-4460-94e1-c2f62159340e,478a27db-1bf2-463e-9806-f038e89fc0ae,"04G","RT04G","Route 4 Grocery",3,DC143C,000000
b9e8b426-2248-4581-8e77-7c34e8339752,478a27db-1bf2-463e-9806-f038e89fc0ae,"05","RT05","Ashland Hopkinton",3,DC143C,000000
8ea965c1-dee8-4777-96d7-46d37b35e9a1,478a27db-1bf2-463e-9806-f038e89fc0ae,"06","RT06","Central Hub Framingham MBTA Station Ashland Holliston Milford",3,DC143C,000000
e211b1c8-d015-4624-ac7f-1c1d460cb632,478a27db-1bf2-463e-9806-f038e89fc0ae,"15","RT15","Route 15- Hudson",3,DC143C,000000
bb818818-b53e-47da-a646-42e562ec3deb,478a27db-1bf2-463e-9806-f038e89fc0ae,"07C","RT07C",,3,DC143C,000000
329e8152-a807-4aa9-9f8f-64f52d0b59c6,478a27db-1bf2-463e-9806-f038e89fc0ae,"03","RT03","Medical Center",3,DC143C,000000
06e02e6f-b285-4f69-8d81-cb7e0ef6db38,478a27db-1bf2-463e-9806-f038e89fc0ae,"02","RT02","Natick Collection Shopper World Target Pinefield Nobscot Mass Bay Rose Kennedy Lane Metrowest Medical Center",3,DC143C,000000
85353631-e48e-4c7d-8c46-4a6c667619c2,478a27db-1bf2-463e-9806-f038e89fc0ae,"GL","Green Line Connector","Saturday Green Line Connector",3,800080,FFFFFF
88f3f680-950e-4052-9d41-23a18850b90d,478a27db-1bf2-463e-9806-f038e89fc0ae,"NCS","Natick Commuter Shuttle","Natick Commuter Shuttle",3,DC143C,000000
8f34a02e-8885-4561-9af9-a36ad02a70cf,478a27db-1bf2-463e-9806-f038e89fc0ae,"04N","RT04N","Waverly St Natick Mall Shoppers World MetroWest Medical ",3,DC143C,000000
11a629ae-f35c-4f30-8234-e9615e2b4f94,478a27db-1bf2-463e-9806-f038e89fc0ae,"04S","RT04S","Central Hub Beaver Park Market Basket Concord Howard Streets Natick Collection Shoppers World East Sherwood Plaza",3,DC143C,000000
a5367241-5638-4b2f-b6ad-744cc333d1ff,478a27db-1bf2-463e-9806-f038e89fc0ae,"11","RT11","Central Hub Sherwood Village Natick Collection Sherwood Plaza 9 27 Shopping Plaza Natick Common LMH Senior Center Coolidge Gardens Roche Bros",3,DC143C,000000
