shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
936ebd5a-1236-4f9f-8988-2fcc7255bb8b,42.2828000654459,-71.3744766339348,4,3319.88
fe5030ac-9111-435a-8667-e4e43ff86383,42.2999125599809,-71.3926848109176,28,7392.57
3c2380cd-bd75-4eb9-bc86-50d8ee2495e7,42.2745925053711,-71.4206602526104,5,1139.58
8619c100-9480-4b5f-aab6-74496f51c774,42.2596713757319,-71.4520997674525,26,14142.47
8619c100-9480-4b5f-aab6-74496f51c774,42.2712531549485,-71.4434938993152,28,15622.38
3515c50a-bf0a-4e5e-b913-a9ad9beeac86,42.2957041737857,-71.408996666014,79,19678.5
994cfae8-866c-4527-9755-5259199fb554,42.2984507559807,-71.4406346643349,33,5068.62
dfb8d9c3-8066-4095-8495-81d7e20bab0e,42.3537444981184,-71.5548820230294,15,1897.49
936ebd5a-1236-4f9f-8988-2fcc7255bb8b,42.2758746013567,-71.411843831053,0,0
fe5a3f1f-828a-414a-b327-9f04a16d5360,42.2767288849788,-71.4168153057584,4,1033.25
433abc51-ab76-48a7-9202-a960bc37a2d7,42.3541763337956,-71.6157520780416,2,405.5
a109327d-cbec-46e6-a60a-61463d171af5,42.3468726782127,-71.5458376136921,51,19780.75
dfb8d9c3-8066-4095-8495-81d7e20bab0e,42.3913168842385,-71.569678429942,83,10402.1
a109327d-cbec-46e6-a60a-61463d171af5,42.3059354606828,-71.5235793008554,43,14297.17
c7743de3-d01d-4199-9fbb-e8f118f1103a,42.2999621808506,-71.5013746322021,32,11126.25
745a8001-29b1-41e0-bddb-7ad5c04392f2,42.2268880740934,-71.4324445386198,32,15339.58
433abc51-ab76-48a7-9202-a960bc37a2d7,42.3007520914526,-71.492433487918,48,21537.1
371129da-ba0e-40d0-b030-3ad21c7f910f,42.3176406215215,-71.3640803911734,61,17403.71
dfb8d9c3-8066-4095-8495-81d7e20bab0e,42.396726900144,-71.603136307188,115,13870.33
9a4fe6a2-f036-438c-9df1-8dbe27be5158,42.2997408985937,-71.3596011018515,4,2090.13
a7dc8aea-c0f1-42e9-a643-7c8a13b73c85,42.2766725585861,-71.4000836849263,9,2368.85
4bca1469-3d03-44c9-9b3d-3e4c6843aa2b,42.3468726782127,-71.5458376136921,0,0
8619c100-9480-4b5f-aab6-74496f51c774,42.2730287774222,-71.4273912565345,32,17130.63
745a8001-29b1-41e0-bddb-7ad5c04392f2,42.27655464,-71.41777396,44,21515.38
d6f790bc-3e94-49be-a988-a597ddef9cf0,42.2928905363614,-71.4705426377382,31,11238.72
433abc51-ab76-48a7-9202-a960bc37a2d7,42.2950443503287,-71.5057841840854,44,20200.39
3c2380cd-bd75-4eb9-bc86-50d8ee2495e7,42.2731119259066,-71.4216084135537,6,1321.64
c9eef1c8-22de-4026-ac33-b9c516c7c7e2,42.3257368699155,-71.4142108806497,66,16555.6
509eb4cb-8419-4f26-95e5-95e5ea0f3716,42.3690760057614,-71.5619952417609,75,7896.92
a7dc8aea-c0f1-42e9-a643-7c8a13b73c85,42.2904430204894,-71.3549380812012,72,17448.81
fe5030ac-9111-435a-8667-e4e43ff86383,42.3015715063555,-71.3777958677886,11,4741.66
a7dc8aea-c0f1-42e9-a643-7c8a13b73c85,42.274076180105,-71.3558808777261,109,24406.95
d6f790bc-3e94-49be-a988-a597ddef9cf0,42.2770842776945,-71.4175287733989,65,17796.46
936ebd5a-1236-4f9f-8988-2fcc7255bb8b,42.2764083609824,-71.4102237767114,1,145.81
371129da-ba0e-40d0-b030-3ad21c7f910f,42.3024190844547,-71.3853288522559,70,21136.3
4bca1469-3d03-44c9-9b3d-3e4c6843aa2b,42.3544593068635,-71.5555646452644,14,2848.15
dfb8d9c3-8066-4095-8495-81d7e20bab0e,42.3540918442066,-71.5542168351541,16,1964.37
c7743de3-d01d-4199-9fbb-e8f118f1103a,42.3044736566826,-71.5153221199108,35,12446.88
07e829ff-5804-4d57-8e6d-c0be702fc080,42.3017284155922,-71.377826713194,51,16259.45
a7dc8aea-c0f1-42e9-a643-7c8a13b73c85,42.2804853189281,-71.3472562341247,94,22447.17
c9eef1c8-22de-4026-ac33-b9c516c7c7e2,42.2770842776945,-71.4175287733989,101,26819.16
dfb8d9c3-8066-4095-8495-81d7e20bab0e,42.3974403677845,-71.6014921129639,116,14026.82
c9eef1c8-22de-4026-ac33-b9c516c7c7e2,42.2838823368479,-71.4125908263082,12,1904.72
3515c50a-bf0a-4e5e-b913-a9ad9beeac86,42.2970305262226,-71.4306715983553,11,2925.49
c7743de3-d01d-4199-9fbb-e8f118f1103a,42.278457568792,-71.409526402326,4,406.05
ef401cd6-8497-4dd9-be52-aab4dea1216b,42.2927054639283,-71.4364249370351,43,18935.77
fe5030ac-9111-435a-8667-e4e43ff86383,42.2905731076344,-71.3932936724003,6,2777.4
d6f790bc-3e94-49be-a988-a597ddef9cf0,42.2936844702771,-71.4703347665271,30,11148.86
c9eef1c8-22de-4026-ac33-b9c516c7c7e2,42.3162941525158,-71.4376788698244,77,20365.69
068e1932-0d2b-4c84-84cd-94a46b344fc3,42.188890557819,-71.4396368825219,17,7429.27
fe5030ac-9111-435a-8667-e4e43ff86383,42.2930917020495,-71.4091803973425,50,11743.85
d6f790bc-3e94-49be-a988-a597ddef9cf0,42.2766484187036,-71.4167992125034,68,18004.8
99c9b7bd-f9cc-4074-a746-5c6ccd64e921,42.3054969194828,-71.3113830275168,16,8166.9
9d15cdf2-682f-4266-9c6a-be106f6e1ce9,42.2084881191544,-71.5470674065988,26,16429.8
c9eef1c8-22de-4026-ac33-b9c516c7c7e2,42.3023547114345,-71.3847481539696,39,9407
371129da-ba0e-40d0-b030-3ad21c7f910f,42.282056,-71.376886,20,4812.65
d6f790bc-3e94-49be-a988-a597ddef9cf0,42.2779372202121,-71.4196128499277,64,17600.65
27f1e72f-6657-4eb1-ae9f-db74a0176749,42.2758746013567,-71.411843831053,0,0
3515c50a-bf0a-4e5e-b913-a9ad9beeac86,42.326086,-71.402609,32,11606.52
3515c50a-bf0a-4e5e-b913-a9ad9beeac86,42.3005,-71.43454,13,3442.47
9c274123-cd90-4982-99b6-992e666e2299,42.2950550791654,-71.4474126069196,11,4340.97
dfb8d9c3-8066-4095-8495-81d7e20bab0e,42.3546953412709,-71.5529132814952,17,2090.68
9d15cdf2-682f-4266-9c6a-be106f6e1ce9,42.2357219300104,-71.5074243549958,17,10455.09
a109327d-cbec-46e6-a60a-61463d171af5,42.2770842776945,-71.4175287733989,0,0
745a8001-29b1-41e0-bddb-7ad5c04392f2,42.2522255630628,-71.4291963833091,36,18228.58
d6f790bc-3e94-49be-a988-a597ddef9cf0,42.2770601378119,-71.4157652208665,69,18101.34
936ebd5a-1236-4f9f-8988-2fcc7255bb8b,42.2784991430342,-71.4095599299407,2,384.46
a7dc8aea-c0f1-42e9-a643-7c8a13b73c85,42.282049046877,-71.3878152601609,14,3831.44
