fare_id,route_id,origin_id,destination_id,contains_id
2375,2884,1443,1443,
2375,2887,1443,1443,
2375,2888,1443,1443,
2375,2889,1443,1443,
2376,2884,1443,895,
2376,2884,895,1443,
2376,2884,895,895,
2376,2887,1443,894,
2376,2887,894,1443,
2376,2887,894,894,
2376,2888,1443,894,
2376,2888,894,1443,
2376,2888,894,894,
2376,2889,1443,894,
2376,2889,894,1443,
2376,2889,894,894,
2376,6277,1443,1445,
2376,6277,1445,1443,
2376,6277,1445,1445,
2377,2883,,,
2377,2885,,,
2377,2886,,,
3522,2887,1443,2271,
3522,2887,2271,1443,
3522,2888,1443,2271,
3522,2888,2271,1443,
3522,2889,1443,2271,
3522,2889,2271,1443,
