runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
100000,c_21199_b_29245_d_127,20127,1,1,t_1462425_b_29245_tn_1,811256,t_1551590_b_29245_tn_0,811256
1000000,c_24058_b_33546_d_127,20127,10,1,t_2016529_b_33546_tn_1,811256,t_2016529_b_33546_tn_33,811256
1100000,c_24058_b_33546_d_127,20129,11,1,t_2016574_b_33546_tn_1,811256,t_2016574_b_33546_tn_34,811256
1200000,c_24058_b_33546_d_127,20131,12,1,t_2016561_b_33546_tn_1,811256,t_2016561_b_33546_tn_17,811217
1300000,c_24058_b_33547_d_127,20127,13,1,t_2016529_b_33547_tn_1,811256,t_2016529_b_33547_tn_33,811256
1400000,c_24058_b_33547_d_127,20129,14,1,t_2016574_b_33547_tn_1,811256,t_2016574_b_33547_tn_34,811256
1500000,c_24058_b_33547_d_127,20131,15,1,t_2016561_b_33547_tn_1,811256,t_2016561_b_33547_tn_17,811217
1600000,c_24059_b_33548_d_127,115888,16,1,t_2016594_b_33548_tn_1,811306,t_2016594_b_33548_tn_33,811243
1700000,c_24059_b_33548_d_127,20125,17,1,t_2016593_b_33548_tn_1,811243,t_2016593_b_33548_tn_33,811306
1800000,c_24059_b_33548_d_127,20127,18,1,t_2016547_b_33548_tn_1,811256,t_2016549_b_33548_tn_0,811329
1900000,c_24059_b_33548_d_127,20129,19,1,t_2016576_b_33548_tn_1,811256,t_2016577_b_33548_tn_0,811273
200000,c_21199_b_29245_d_127,20129,2,1,t_1351073_b_29245_tn_1,811256,t_1551591_b_29245_tn_0,811256
2000000,c_24059_b_33548_d_127,20130,20,1,t_2016575_b_33548_tn_1,811256,t_2016578_b_33548_tn_0,811273
2100000,c_24059_b_33548_d_127,20131,21,1,t_2016564_b_33548_tn_1,811256,t_2016566_b_33548_tn_0,811217
2200000,c_24059_b_33548_d_127,20134,22,1,t_2016605_b_33548_tn_1,811256,t_2016606_b_33548_tn_12,811256
2300000,c_24059_b_33548_d_127,20135,23,1,t_2016631_b_33548_tn_1,811243,t_2016631_b_33548_tn_17,811247
2400000,c_24060_b_33549_d_127,20123,24,1,t_2016579_b_33549_tn_1,811218,t_2016579_b_33549_tn_24,811242
2500000,c_24060_b_33549_d_127,20124,25,1,t_2016580_b_33549_tn_1,811242,t_2016580_b_33549_tn_24,811218
2600000,c_24061_b_33550_d_127,20125,26,1,t_2016584_b_33550_tn_1,811243,t_2016584_b_33550_tn_17,811306
2700000,c_24061_b_33550_d_127,20126,27,1,t_2016586_b_33550_tn_0,811306,t_2016586_b_33550_tn_0,811243
2800000,c_24061_b_33551_d_127,20125,28,1,t_2016584_b_33551_tn_1,811243,t_2016584_b_33551_tn_17,811306
2900000,c_24061_b_33551_d_127,20126,29,1,t_2016586_b_33551_tn_0,811306,t_2016586_b_33551_tn_0,811243
300000,c_21199_b_29245_d_127,20131,3,1,t_1462441_b_29245_tn_1,811256,t_1551592_b_29245_tn_0,811217
3000000,c_24062_b_33552_d_127,20132,30,1,t_2016630_b_33552_tn_1,811217,t_2016630_b_33552_tn_13,811256
3100000,c_24063_b_33553_d_127,20133,31,1,t_2016633_b_33553_tn_1,811256,t_2016634_b_33553_tn_6,811256
400000,c_24057_b_33544_d_127,20127,4,1,t_2016528_b_33544_tn_1,811256,t_2016528_b_33544_tn_29,811256
500000,c_24057_b_33544_d_127,20129,5,1,t_2016573_b_33544_tn_1,811256,t_2016573_b_33544_tn_29,811256
600000,c_24057_b_33544_d_127,20131,6,1,t_2016553_b_33544_tn_1,811256,t_2016552_b_33544_tn_14,811256
700000,c_24057_b_33545_d_127,20127,7,1,t_2016528_b_33545_tn_1,811256,t_2016528_b_33545_tn_29,811256
800000,c_24057_b_33545_d_127,20129,8,1,t_2016573_b_33545_tn_1,811256,t_2016573_b_33545_tn_29,811256
900000,c_24057_b_33545_d_127,20131,9,1,t_2016553_b_33545_tn_1,811256,t_2016552_b_33545_tn_14,811256
