runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
100000,c_19980_b_26863_d_31,1,1,1,t_1133953_b_26863_tn_0,848159,t_1133976_b_26863_tn_0,848159
1000000,c_20221_b_55356_d_64,Trolley,10,1,t_1424702_b_55356_tn_1,2740484,t_1437537_b_55356_tn_7,2740484
1100000,c_2120_b_722_d_31,81-1,11,1,t_382386_b_722_tn_0,848646,t_1133897_b_722_tn_0,848325
1200000,c_2120_b_722_d_31,81-2,12,1,t_1133898_b_722_tn_0,848325,t_382404_b_722_tn_0,848325
1300000,c_2120_b_722_d_31,MS-1,13,1,t_20393_b_722_tn_0,848159,t_35860_b_722_tn_0,848159
1400000,c_2120_b_722_d_31,MS-2,14,1,t_67751_b_722_tn_0,848159,t_20364_b_722_tn_0,848159
1500000,c_2120_b_722_d_31,RS-1,15,1,t_20383_b_722_tn_0,848609,t_20375_b_722_tn_0,848609
1600000,c_2120_b_722_d_31,RS-2,16,1,t_62250_b_722_tn_0,848609,t_20378_b_722_tn_0,848159
1700000,c_2120_b_722_d_31,SE-1,17,1,t_20390_b_722_tn_0,848159,t_26403_b_722_tn_0,848159
1800000,c_2120_b_722_d_31,SE-2,18,1,t_64793_b_722_tn_0,848159,t_20380_b_722_tn_0,848159
1900000,c_2120_b_722_d_32,RS-S,19,1,t_61328_b_722_tn_0,848609,t_20386_b_722_tn_0,848609
200000,c_19980_b_26863_d_31,2,2,1,t_1133979_b_26863_tn_0,848159,t_1133977_b_26863_tn_0,848159
2000000,c_21477_b_55357_d_96,Madison Shuttle East,20,1,t_1424594_b_55357_tn_1,2740496,t_1424594_b_55357_tn_18,2740484
2100000,c_21477_b_55357_d_96,Madison Shuttle West,21,1,t_1396172_b_55357_tn_1,2740484,t_1396172_b_55357_tn_18,2740496
300000,c_19980_b_26863_d_31,3,3,1,t_1368009_b_26863_tn_0,848159,t_1133964_b_26863_tn_0,848159
400000,c_19980_b_26863_d_31,5,4,1,t_1133983_b_26863_tn_0,848159,t_1133958_b_26863_tn_0,848159
500000,c_19980_b_26863_d_31,6,5,1,t_1368012_b_26863_tn_0,848159,t_1133981_b_26863_tn_0,848159
600000,c_19980_b_26863_d_32,A,6,1,t_1424623_b_26863_tn_0,848159,t_1133968_b_26863_tn_0,848159
700000,c_19980_b_26863_d_32,B,7,1,t_1410630_b_26863_tn_0,848159,t_1133959_b_26863_tn_0,848159
800000,c_19980_b_26863_d_32,C,8,1,t_1133965_b_26863_tn_0,848159,t_1133949_b_26863_tn_0,848159
900000,c_20221_b_55356_d_56,Trolley,9,1,t_1225542_b_55356_tn_1,2740484,t_1437538_b_55356_tn_9,2740484
