trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
t2C92-sl14-pE24-r74,18:42:00,19:20:00,144,0,,0,0,0.0,1
t2C92-sl14-pE24-r74,19:21:22,19:21:22,103,82,,0,0,1610.265349,0
t2C92-sl14-pE24-r74,19:22:50,19:22:50,610,170,,0,0,3138.4449260000001,0
t2C92-sl14-pE24-r74,19:25:38,19:25:38,65,338,,0,0,6089.172364,0
t2C92-sl14-pE24-r74,19:27:00,19:27:00,621,420,,0,0,7588.8804019999998,1
t2C92-sl14-pE24-r74,19:28:00,19:28:00,109,480,,0,0,8945.1303850000004,0
t2C92-sl14-pE24-r74,19:30:00,19:30:00,167,600,,0,0,10886.976360000001,1
t2C92-sl14-pE24-r74,19:30:17,19:30:17,93,617,,0,0,11499.715980999999,0
t2C92-sl14-pE24-r74,19:30:37,19:30:37,514,637,,0,0,12139.936189,0
t2C92-sl14-pE24-r74,19:32:00,19:32:00,168,720,,0,0,14998.142309000001,1
t2C93-sl14-pE24-r74,20:15:00,20:20:00,144,0,,0,0,0.0,1
t2C93-sl14-pE24-r74,20:21:22,20:21:22,103,82,,0,0,1610.265349,0
t2C93-sl14-pE24-r74,20:22:50,20:22:50,610,170,,0,0,3138.4449260000001,0
t2C93-sl14-pE24-r74,20:25:38,20:25:38,65,338,,0,0,6089.172364,0
t2C93-sl14-pE24-r74,20:27:00,20:27:00,621,420,,0,0,7588.8804019999998,1
t2C93-sl14-pE24-r74,20:28:00,20:28:00,109,480,,0,0,8945.1303850000004,0
t2C93-sl14-pE24-r74,20:30:00,20:30:00,167,600,,0,0,10886.976360000001,1
t2C93-sl14-pE24-r74,20:30:17,20:30:17,93,617,,0,0,11499.715980999999,0
t2C93-sl14-pE24-r74,20:30:37,20:30:37,514,637,,0,0,12139.936189,0
t2C93-sl14-pE24-r74,20:32:00,20:32:00,168,720,,0,0,14998.142309000001,1
t2C94-sl14-pE24-r74,21:15:00,21:20:00,144,0,,0,0,0.0,1
t2C94-sl14-pE24-r74,21:21:22,21:21:22,103,82,,0,0,1610.265349,0
t2C94-sl14-pE24-r74,21:22:50,21:22:50,610,170,,0,0,3138.4449260000001,0
t2C94-sl14-pE24-r74,21:25:38,21:25:38,65,338,,0,0,6089.172364,0
t2C94-sl14-pE24-r74,21:27:00,21:27:00,621,420,,0,0,7588.8804019999998,1
t2C94-sl14-pE24-r74,21:28:00,21:28:00,109,480,,0,0,8945.1303850000004,0
t2C94-sl14-pE24-r74,21:30:00,21:30:00,167,600,,0,0,10886.976360000001,1
t2C94-sl14-pE24-r74,21:30:17,21:30:17,93,617,,0,0,11499.715980999999,0
t2C94-sl14-pE24-r74,21:30:37,21:30:37,514,637,,0,0,12139.936189,0
t2C94-sl14-pE24-r74,21:32:00,21:32:00,168,720,,0,0,14998.142309000001,1
t2C95-sl14-pE24-r74,22:15:00,22:20:00,144,0,,0,0,0.0,1
t2C95-sl14-pE24-r74,22:21:22,22:21:22,103,82,,0,0,1610.265349,0
t2C95-sl14-pE24-r74,22:22:50,22:22:50,610,170,,0,0,3138.4449260000001,0
t2C95-sl14-pE24-r74,22:25:38,22:25:38,65,338,,0,0,6089.172364,0
t2C95-sl14-pE24-r74,22:27:00,22:27:00,621,420,,0,0,7588.8804019999998,1
t2C95-sl14-pE24-r74,22:28:00,22:28:00,109,480,,0,0,8945.1303850000004,0
t2C95-sl14-pE24-r74,22:30:00,22:30:00,167,600,,0,0,10886.976360000001,1
t2C95-sl14-pE24-r74,22:30:17,22:30:17,93,617,,0,0,11499.715980999999,0
t2C95-sl14-pE24-r74,22:30:37,22:30:37,514,637,,0,0,12139.936189,0
t2C95-sl14-pE24-r74,22:32:00,22:32:00,168,720,,0,0,14998.142309000001,1
t2C96-sl14-pE5E-r5,8:15:00,8:20:00,144,0,,0,0,0.0,1
t2C96-sl14-pE5E-r5,8:23:25,8:23:25,283,205,,0,0,2842.9005010000001,0
t2C96-sl14-pE5E-r5,8:27:00,8:27:00,66,420,,0,0,5017.0818060000001,1
t2C96-sl14-pE5E-r5,8:31:00,8:31:00,146,660,,0,0,10085.987077,1
t2C96-sl14-pE5E-r5,8:33:00,8:33:00,639,780,,0,0,14478.712443,1
t2C96-sl14-pE5E-r5,8:39:00,8:39:00,150,1140,,0,0,19345.362289000001,1
t2C97-sl14-pE20-r10,8:15:00,8:20:00,144,0,,0,0,0.0,1
t2C97-sl14-pE20-r10,8:20:58,8:20:58,116,58,,0,0,989.27123400000005,0
t2C97-sl14-pE20-r10,8:21:51,8:21:51,112,111,,0,0,1658.9595770000001,0
t2C97-sl14-pE20-r10,8:22:34,8:22:34,102,154,,0,0,2212.341226,0
t2C97-sl14-pE20-r10,8:23:19,8:23:19,91,199,,0,0,2755.463166,0
t2C97-sl14-pE20-r10,8:23:30,8:23:30,79,210,,0,0,2934.8996200000001,0
t2C97-sl14-pE20-r10,8:26:55,8:26:55,121,415,,0,0,5584.3637250000002,0
t2C97-sl14-pE20-r10,8:27:37,8:27:37,65,457,,0,0,6138.4326609999998,0
t2C97-sl14-pE20-r10,8:28:56,8:28:56,60,536,,0,0,7205.2352879999999,0
t2C97-sl14-pE20-r10,8:30:00,8:30:00,137,600,,0,0,8030.132834,0
t2C97-sl14-pE20-r10,8:30:48,8:30:48,49,648,,0,0,9039.1690429999999,0
t2C97-sl14-pE20-r10,8:31:00,8:31:00,140,660,,0,0,9185.3092089999991,1
t2C97-sl14-pE20-r10,8:32:27,8:32:27,88,747,,0,0,10761.134478,0
t2C97-sl14-pE20-r10,8:32:59,8:32:59,50,779,,0,0,11278.944356,0
t2C97-sl14-pE20-r10,8:33:42,8:33:42,92,822,,0,0,12010.106608,0
t2C97-sl14-pE20-r10,8:34:10,8:34:10,117,850,,0,0,12428.884384999999,0
t2C97-sl14-pE20-r10,8:34:43,8:34:43,2,883,,0,0,12975.170706000001,0
t2C97-sl14-pE20-r10,8:35:28,8:35:28,51,928,,0,0,13942.891056,0
t2C97-sl14-pE20-r10,8:36:00,8:36:00,133,960,,0,0,14429.372170000001,1
t2C97-sl14-pE20-r10,8:36:22,8:36:22,62,982,,0,0,14939.702251999999,0
t2C97-sl14-pE20-r10,8:36:58,8:36:58,67,1018,,0,0,15739.323044999999,0
t2C97-sl14-pE20-r10,8:37:36,8:37:36,73,1056,,0,0,16591.320565999999,0
t2C97-sl14-pE20-r10,8:37:55,8:37:55,78,1075,,0,0,17021.79218,0
t2C97-sl14-pE20-r10,8:38:35,8:38:35,54,1115,,0,0,18132.897607999999,0
t2C97-sl14-pE20-r10,8:39:00,8:39:00,57,1140,,0,0,18653.858166000002,1
t2C98-sl14-pE53-r8,8:15:00,8:20:00,40,0,,0,0,0.0,1
t2C98-sl14-pE53-r8,8:23:47,8:23:47,123,227,,0,0,3036.9842990000002,0
t2C98-sl14-pE53-r8,8:24:10,8:24:10,113,250,,0,0,3518.0301789999999,0
t2C98-sl14-pE53-r8,8:25:02,8:25:02,107,302,,0,0,4177.7241180000001,0
t2C98-sl14-pE53-r8,8:26:01,8:26:01,99,361,,0,0,4874.5904069999997,0
t2C98-sl14-pE53-r8,8:28:45,8:28:45,82,525,,0,0,6848.5089360000002,0
t2C98-sl14-pE53-r8,8:28:56,8:28:56,609,536,,0,0,6970.1208219999999,0
t2C98-sl14-pE53-r8,8:31:00,8:31:00,172,660,,0,0,8467.5754350000007,1
t2C98-sl14-pE53-r8,8:33:56,8:33:56,302,836,,0,0,11313.260259000001,0
t2C98-sl14-pE53-r8,8:35:17,8:35:17,310,917,,0,0,12264.852220999999,0
t2C98-sl14-pE53-r8,8:37:05,8:37:05,311,1025,,0,0,13683.799591999999,0
t2C98-sl14-pE53-r8,8:37:49,8:37:49,312,1069,,0,0,14180.135471,0
t2C98-sl14-pE53-r8,8:38:24,8:38:24,304,1104,,0,0,14611.527142000001,0
t2C98-sl14-pE53-r8,8:41:00,8:41:00,140,1260,,0,0,16746.662206000001,1
t2C98-sl14-pE53-r8,8:41:40,8:41:40,106,1300,,0,0,17243.134483000002,0
t2C98-sl14-pE53-r8,8:42:19,8:42:19,83,1339,,0,0,17851.709330000002,0
t2C98-sl14-pE53-r8,8:42:51,8:42:51,8,1371,,0,0,18573.647978000001,0
t2C98-sl14-pE53-r8,8:44:31,8:44:31,135,1471,,0,0,20101.358794,0
t2C98-sl14-pE53-r8,8:46:12,8:46:12,307,1572,,0,0,21759.226138000002,0
t2C98-sl14-pE53-r8,8:47:27,8:47:27,131,1647,,0,0,23313.006487999999,0
t2C98-sl14-pE53-r8,8:48:05,8:48:05,641,1685,,0,0,23907.184728,0
t2C98-sl14-pE53-r8,8:48:39,8:48:39,46,1719,,0,0,24404.563403,0
t2C98-sl14-pE53-r8,8:49:16,8:49:16,42,1756,,0,0,24967.534495,0
t2C98-sl14-pE53-r8,8:50:00,8:50:00,165,1800,,0,0,25631.592884000002,1
t2C98-sl14-pE53-r8,8:51:46,8:51:46,12,1906,,0,0,27253.302521000001,0
t2C98-sl14-pE53-r8,8:55:00,8:55:00,144,2100,,0,0,31281.837047000001,1
t2C99-sl14-pE56-r9,8:15:00,8:20:00,144,0,,0,0,0.0,1
t2C99-sl14-pE56-r9,8:20:29,8:20:29,115,29,,0,0,1282.1871490000001,0
t2C99-sl14-pE56-r9,8:23:06,8:23:06,14,186,,0,0,4689.6571649999996,0
t2C99-sl14-pE56-r9,8:25:00,8:25:00,165,300,,0,0,6409.8725199999999,1
t2C99-sl14-pE56-r9,8:26:33,8:26:33,47,393,,0,0,7482.123106,0
t2C99-sl14-pE56-r9,8:27:23,8:27:23,305,443,,0,0,8058.4071789999998,0
t2C99-sl14-pE56-r9,8:29:25,8:29:25,306,565,,0,0,10052.860483,0
t2C99-sl14-pE56-r9,8:30:42,8:30:42,6,642,,0,0,10947.116470999999,0
t2C99-sl14-pE56-r9,8:31:06,8:31:06,134,666,,0,0,11202.640874000001,0
t2C99-sl14-pE56-r9,8:33:40,8:33:40,126,820,,0,0,13050.474233000001,0
t2C99-sl14-pE56-r9,8:34:12,8:34:12,15,852,,0,0,13552.750064,0
t2C99-sl14-pE56-r9,8:35:09,8:35:09,308,909,,0,0,14201.450658,0
t2C99-sl14-pE56-r9,8:36:00,8:36:00,140,960,,0,0,14808.538202,1
t2C99-sl14-pE56-r9,8:37:37,8:37:37,88,1057,,0,0,16384.363471000001,0
t2C99-sl14-pE56-r9,8:37:59,8:37:59,303,1079,,0,0,16808.650523,0
t2C99-sl14-pE56-r9,8:38:30,8:38:30,68,1110,,0,0,17379.342876999999,0
t2C99-sl14-pE56-r9,8:39:00,8:39:00,20,1140,,0,0,17839.366864,0
t2C99-sl14-pE56-r9,8:40:24,8:40:24,309,1224,,0,0,19155.738141999998,0
t2C99-sl14-pE56-r9,8:41:43,8:41:43,301,1303,,0,0,20325.748393999998,0
t2C99-sl14-pE56-r9,8:44:00,8:44:00,172,1440,,0,0,23238.514936,1
