route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
101,14,t2CA1-sl14-pB54-rD3,"Central Loop",1,501,2900_shp,0,0
101,14,t2CB4-sl14-pC58-rD3,"Central Loop",0,501,3160_shp,0,0
101,14,t2CBC-sl14-pB54-rD3,"Central Loop",1,501,2900_shp,0,0
101,14,t2CD2-sl14-pC58-rD3,"Central Loop",0,501,3160_shp,0,0
101,14,t2D5C-sl14-pC58-rD3,"Central Loop",0,501,3160_shp,0,0
101,14,t2D61-sl14-pB54-rD3,"Central Loop",1,501,2900_shp,0,0
101,14,t2D64-sl14-pC58-rD3,"Central Loop",0,501,3160_shp,0,0
101,14,t2D65-sl14-pB54-rD3,"Central Loop",1,501,2900_shp,0,0
101,14,t2D66-sl14-pC58-rD3,"Central Loop",0,501,3160_shp,0,0
101,14,t2D68-sl14-pB54-rD3,"Central Loop",1,501,2900_shp,0,0
101,14,t2EF2-sl14-pC58-rD5,"Central Loop",0,503,3160_shp,0,0
101,14,t2F08-sl14-pB54-rD5,"Central Loop",1,503,2900_shp,0,0
101,14,t2F0B-sl14-pC58-rD5,"Central Loop",0,503,3160_shp,0,0
101,14,t2F24-sl14-pB54-rD5,"Central Loop",1,503,2900_shp,0,0
101,14,t2F39-sl14-pC58-rD5,"Central Loop",0,503,3160_shp,0,0
101,14,t2F52-sl14-pB54-rD5,"Central Loop",1,503,2900_shp,0,0
101,14,t2F55-sl14-pC58-rD5,"Central Loop",0,503,3160_shp,0,0
101,14,t2F6B-sl14-pB54-rD5,"Central Loop",1,503,2900_shp,0,0
101,14,t2F83-sl14-pC58-rD5,"Central Loop",0,503,3160_shp,0,0
101,14,t2F98-sl14-pB54-rD5,"Central Loop",1,503,2900_shp,0,0
101,14,t30D7-sl14-pC58-rD3,"Central Loop",0,501,3160_shp,0,0
103,14,t2D0F-sl14-pC8D-r14,"Norwalk Hs Trip",1,120,3213_shp,0,0
121,14,t2D0C-sl14-pC9B-rE1,"Norwalk Hospital",1,310,3227_shp,0,0
121,14,t2D0D-sl14-pCA4-r6C,"Norwalk Hospital",1,309,3236_shp,0,0
121,14,t2D10-sl14-pCA4-r6C,"Norwalk Hospital",1,309,3236_shp,0,0
121,14,t2D12-sl14-pC99-rE1,"Norwalk Hospital",1,310,3225_shp,0,0
121,14,t2D15-sl14-pC99-r73,"Norwalk Hospital",1,316,3225_shp,0,0
121,14,t2D16-sl14-pC9B-r73,"Norwalk Hospital",1,316,3227_shp,0,0
121,14,t2D17-sl14-pCA4-r6C,"Norwalk Hospital",1,309,3236_shp,0,0
121,14,t2D18-sl14-pC9B-r74,"Norwalk Hospital",1,317,3227_shp,0,0
121,14,t2D19-sl14-pCA4-r6C,"Norwalk Hospital",1,309,3236_shp,0,0
121,14,t2D21-sl14-pC99-r74,"Norwalk Hospital",1,317,3225_shp,0,0
121,14,t2D22-sl14-pC9B-r74,"Norwalk Hospital",1,317,3227_shp,0,0
121,14,t2D23-sl14-pC99-r73,"Norwalk Hospital",1,316,3225_shp,0,0
121,14,t2D24-sl14-pCA4-r6C,"Norwalk Hospital",1,309,3236_shp,0,0
121,14,t2D27-sl14-pCA4-r6C,"Norwalk Hospital",1,309,3236_shp,0,0
141,14,t2D0E-sl14-pE14-rE2,"",0,423,3604_shp,0,0
141,14,t2D13-sl14-pE14-rE2,"",0,423,3604_shp,0,0
141,14,t2D1A-sl14-pE11-rE3,"",0,424,3601_shp,0,0
141,14,t2D1B-sl14-pE11-rE3,"",0,424,3601_shp,0,0
141,14,t2D25-sl14-pE13-rE2,"",0,423,3603_shp,0,0
141,14,t2D2D-sl14-pE15-rE3,"",0,424,3605_shp,0,0
142,14,t2C96-sl14-pE5E-r5,"Wheels Route 1",0,105,3678_shp,0,0
142,14,t2CAB-sl14-pE5F-r5,"Wheels Route 1",1,105,3679_shp,0,0
142,14,t2CC9-sl14-pE5E-r5,"Wheels Route 1",0,105,3678_shp,0,0
142,14,t2CDD-sl14-pE5F-r5,"Wheels Route 1",1,105,3679_shp,0,0
142,14,t2CF5-sl14-pE5E-r5,"Wheels Route 1",0,105,3678_shp,0,0
142,14,t2D0A-sl14-pE5F-r5,"Wheels Route 1",1,105,3679_shp,0,0
142,14,t2E5D-sl14-pE5E-r6,"Wheels Route 1",0,106,3678_shp,0,0
142,14,t2E75-sl14-pE5F-r6,"Wheels Route 1",1,106,3679_shp,0,0
142,14,t2E8D-sl14-pE5E-r6,"Wheels Route 1",0,106,3678_shp,0,0
142,14,t2EA2-sl14-pE5F-r6,"Wheels Route 1",1,106,3679_shp,0,0
