trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,start_pickup_dropoff_window,end_pickup_dropoff_window,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset,tts_stop_headsign,min_arrival_time,max_departure_time
t_1539619_b_30903_tn_0,15:00:00,15:15:00,3446953,1,,0,0,0,0,,,,,1,1,,,,,,,,,,,
t_1539619_b_30903_tn_0,16:15:00,16:15:00,3446957,2,,0,0,70486.6881563059,0,,,,,1,1,,,,,,,,,,,
t_1539619_b_30903_tn_0,17:00:00,17:00:00,3446956,3,,0,0,117648.75171805,0,,,,,1,1,,,,,,,,,,,
t_1539620_b_30903_tn_0,07:45:00,07:45:00,3446956,1,,2,2,0,0,,,,,1,1,,,,,,,,,,,
t_1539620_b_30903_tn_0,08:45:00,08:45:00,3446957,2,,2,2,47162.0635617676,0,,,,,1,1,,,,,,,,,,,
t_1539620_b_30903_tn_0,10:00:00,10:15:00,3446953,3,,2,2,117097.28786207,0,,,,,1,1,,,,,,,,,,,
t_1539621_b_30903_tn_0,06:15:00,06:30:00,3446953,1,,2,2,0,0,,,,,1,1,,,,,,,,,,,
t_1539621_b_30903_tn_0,07:35:00,07:35:00,2754767,2,,2,2,78204.35165593,0,,,,,1,1,,,,,,,,,,,
t_1539622_b_30903_tn_0,14:15:00,14:30:00,3446953,1,,2,2,0,0,,,,,1,1,,,,,,,,,,,
t_1539622_b_30903_tn_0,15:35:00,15:35:00,2754767,2,,2,2,78204.35165593,0,,,,,1,1,,,,,,,,,,,
t_1539623_b_30903_tn_0,06:50:00,06:50:00,2754768,1,Zip's Drive-in - Ritzville,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_1539623_b_30903_tn_0,07:05:00,07:05:00,2754767,2,Wal-Mart - Othello,0,0,1756.15154420544,1,,,,,1,1,,,,,,,,,,,
t_1539623_b_30903_tn_0,08:05:00,08:05:00,2754780,3,Columbia Basin Health Assoc - Othello,0,0,84479.0318673882,1,,,,,1,1,,,,,,,,,,,
