route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,trip_type,drt_max_travel_time,drt_avg_travel_time,drt_advance_book_min,drt_pickup_message,drt_drop_off_message,continuous_pickup_message,continuous_drop_off_message,tts_trip_headsign,tts_trip_short_name
19697,c_21948_b_32517_d_1,t_1539632_b_32517_tn_0,,Wilbur,0,,p_1303367,,,,,,,,,,,,
19697,c_21948_b_32517_d_1,t_1539631_b_32517_tn_0,,Spokane,1,,p_1303366,,,,,,,,,,,,
19697,c_21948_b_55882_d_1,t_1539632_b_55882_tn_0,,Wilbur,0,,p_1303367,,,,,,,,,,,,
19697,c_21948_b_55882_d_1,t_1539631_b_55882_tn_0,,Spokane,1,,p_1303366,,,,,,,,,,,,
19697,c_21948_b_55883_d_1,t_1539632_b_55883_tn_0,,Wilbur,0,,p_1303367,,,,,,,,,,,,
19697,c_21948_b_55883_d_1,t_1539631_b_55883_tn_0,,Spokane,1,,p_1303366,,,,,,,,,,,,
19697,c_21948_b_55884_d_1,t_1539632_b_55884_tn_0,,Wilbur,0,,p_1303367,,,,,,,,,,,,
19697,c_21948_b_55884_d_1,t_1539631_b_55884_tn_0,,Spokane,1,,p_1303366,,,,,,,,,,,,
19697,c_21948_b_55885_d_1,t_1539632_b_55885_tn_0,,Wilbur,0,,p_1303367,,,,,,,,,,,,
19697,c_21948_b_55885_d_1,t_1539631_b_55885_tn_0,,Spokane,1,,p_1303366,,,,,,,,,,,,
19697,c_21948_b_55886_d_1,t_1539632_b_55886_tn_0,,Wilbur,0,,p_1303367,,,,,,,,,,,,
19697,c_21948_b_55886_d_1,t_1539631_b_55886_tn_0,,Spokane,1,,p_1303366,,,,,,,,,,,,
19697,c_21948_b_55887_d_1,t_1539632_b_55887_tn_0,,Wilbur,0,,p_1303367,,,,,,,,,,,,
19697,c_21948_b_55887_d_1,t_1539631_b_55887_tn_0,,Spokane,1,,p_1303366,,,,,,,,,,,,
19697,c_21948_b_55888_d_1,t_1539632_b_55888_tn_0,,Wilbur,0,,p_1303367,,,,,,,,,,,,
19697,c_21948_b_55888_d_1,t_1539631_b_55888_tn_0,,Spokane,1,,p_1303366,,,,,,,,,,,,
19697,c_21948_b_55889_d_1,t_1539632_b_55889_tn_0,,Wilbur,0,,p_1303367,,,,,,,,,,,,
19697,c_21948_b_55889_d_1,t_1539631_b_55889_tn_0,,Spokane,1,,p_1303366,,,,,,,,,,,,
19697,c_21948_b_55890_d_1,t_1539632_b_55890_tn_0,,Wilbur,0,,p_1303367,,,,,,,,,,,,
19697,c_21948_b_55890_d_1,t_1539631_b_55890_tn_0,,Spokane,1,,p_1303366,,,,,,,,,,,,
19697,c_21948_b_55891_d_1,t_1539632_b_55891_tn_0,,Wilbur,0,,p_1303367,,,,,,,,,,,,
19697,c_21948_b_55891_d_1,t_1539631_b_55891_tn_0,,Spokane,1,,p_1303366,,,,,,,,,,,,
19697,c_21948_b_55892_d_1,t_1539632_b_55892_tn_0,,Wilbur,0,,p_1303367,,,,,,,,,,,,
19697,c_21948_b_55892_d_1,t_1539631_b_55892_tn_0,,Spokane,1,,p_1303366,,,,,,,,,,,,
19697,c_21948_b_55893_d_1,t_1539632_b_55893_tn_0,,Wilbur,0,,p_1303367,,,,,,,,,,,,
19697,c_21948_b_55893_d_1,t_1539631_b_55893_tn_0,,Spokane,1,,p_1303366,,,,,,,,,,,,
19698,c_21950_b_30903_d_31,t_1539645_b_30903_tn_0,,Mabton-Sunnyside,0,,p_1294068,,,,,,,,,,,,
19698,c_21950_b_30903_d_31,t_1539646_b_30903_tn_0,,Mabton-Sunnyside,0,,p_1294068,,,,,,,,,,,,
19698,c_21950_b_30903_d_31,t_1539647_b_30903_tn_0,,Mabton-Sunnyside,0,,p_1294068,,,,,,,,,,,,
19698,c_21950_b_30903_d_31,t_1805677_b_30903_tn_0,,Mabton-Sunnyside,1,,p_1294069,,,,,,,,,,,,
19698,c_21950_b_30903_d_31,t_1805675_b_30903_tn_0,,Mabton-Sunnyside,1,,p_1294069,,,,,,,,,,,,
19698,c_21950_b_30903_d_31,t_1805676_b_30903_tn_0,,Mabton-Sunnyside,1,,p_1294069,,,,,,,,,,,,
19699,c_21950_b_30903_d_31,t_1539661_b_30903_tn_0,,,0,,p_1277765,,,,,,,,,,,,
19699,c_21950_b_30903_d_31,t_1539657_b_30903_tn_0,,,0,164164,p_1277765,,,,,,,,,,,,
19699,c_21950_b_30903_d_31,t_1539658_b_30903_tn_0,,,0,164162,p_1277765,,,,,,,,,,,,
19699,c_21950_b_30903_d_31,t_1539659_b_30903_tn_0,,,1,164162,p_1277767,,,,,,,,,,,,
19699,c_21950_b_30903_d_31,t_1539660_b_30903_tn_0,,,1,164164,p_1277767,,,,,,,,,,,,
19699,c_21950_b_30903_d_31,t_1939076_b_30903_tn_0,,,1,,p_1277767,,,,,,,,,,,,
19700,c_21950_b_30903_d_31,t_1539667_b_30903_tn_0,,,0,,p_1277773,,,,,,,,,,,,
19700,c_21950_b_30903_d_31,t_1539666_b_30903_tn_0,,,0,,p_1277773,,,,,,,,,,,,
19700,c_21950_b_30903_d_31,t_1539664_b_30903_tn_0,,,1,,p_1277771,,,,,,,,,,,,
19700,c_21950_b_30903_d_31,t_1539663_b_30903_tn_0,,,1,,p_1277771,,,,,,,,,,,,
19701,c_21949_b_55870_d_1,t_1539633_b_55870_tn_0,,Wilbur,0,,p_1303344,,,,,,,,,,,,
19701,c_21949_b_55870_d_1,t_1539634_b_55870_tn_0,,Moses Lake,1,,p_1303343,,,,,,,,,,,,
19701,c_21949_b_55871_d_1,t_1539633_b_55871_tn_0,,Wilbur,0,,p_1303344,,,,,,,,,,,,
19701,c_21949_b_55871_d_1,t_1539634_b_55871_tn_0,,Moses Lake,1,,p_1303343,,,,,,,,,,,,
19701,c_21949_b_55872_d_1,t_1539633_b_55872_tn_0,,Wilbur,0,,p_1303344,,,,,,,,,,,,
19701,c_21949_b_55872_d_1,t_1539634_b_55872_tn_0,,Moses Lake,1,,p_1303343,,,,,,,,,,,,
19701,c_21949_b_55873_d_1,t_1539633_b_55873_tn_0,,Wilbur,0,,p_1303344,,,,,,,,,,,,
19701,c_21949_b_55873_d_1,t_1539634_b_55873_tn_0,,Moses Lake,1,,p_1303343,,,,,,,,,,,,
19701,c_21949_b_55874_d_1,t_1539633_b_55874_tn_0,,Wilbur,0,,p_1303344,,,,,,,,,,,,
19701,c_21949_b_55874_d_1,t_1539634_b_55874_tn_0,,Moses Lake,1,,p_1303343,,,,,,,,,,,,
19701,c_21949_b_55875_d_1,t_1539633_b_55875_tn_0,,Wilbur,0,,p_1303344,,,,,,,,,,,,
19701,c_21949_b_55875_d_1,t_1539634_b_55875_tn_0,,Moses Lake,1,,p_1303343,,,,,,,,,,,,
19701,c_21949_b_55876_d_1,t_1539633_b_55876_tn_0,,Wilbur,0,,p_1303344,,,,,,,,,,,,
19701,c_21949_b_55876_d_1,t_1539634_b_55876_tn_0,,Moses Lake,1,,p_1303343,,,,,,,,,,,,
19701,c_21949_b_55877_d_1,t_1539633_b_55877_tn_0,,Wilbur,0,,p_1303344,,,,,,,,,,,,
19701,c_21949_b_55877_d_1,t_1539634_b_55877_tn_0,,Moses Lake,1,,p_1303343,,,,,,,,,,,,
19701,c_21949_b_55878_d_1,t_1539633_b_55878_tn_0,,Wilbur,0,,p_1303344,,,,,,,,,,,,
19701,c_21949_b_55878_d_1,t_1539634_b_55878_tn_0,,Moses Lake,1,,p_1303343,,,,,,,,,,,,
19701,c_21949_b_55879_d_1,t_1539633_b_55879_tn_0,,Wilbur,0,,p_1303344,,,,,,,,,,,,
19701,c_21949_b_55879_d_1,t_1539634_b_55879_tn_0,,Moses Lake,1,,p_1303343,,,,,,,,,,,,
19701,c_21949_b_55880_d_1,t_1539633_b_55880_tn_0,,Wilbur,0,,p_1303344,,,,,,,,,,,,
19701,c_21949_b_55880_d_1,t_1539634_b_55880_tn_0,,Moses Lake,1,,p_1303343,,,,,,,,,,,,
19701,c_21949_b_55881_d_1,t_1539633_b_55881_tn_0,,Wilbur,0,,p_1303344,,,,,,,,,,,,
19701,c_21949_b_55881_d_1,t_1539634_b_55881_tn_0,,Moses Lake,1,,p_1303343,,,,,,,,,,,,
19702,c_21950_b_30903_d_21,t_1539620_b_30903_tn_0,,Moses Lake,0,,p_1303364,,,,,,,,,,,,
19702,c_21950_b_30903_d_21,t_1539619_b_30903_tn_0,,Odessa,1,,p_1303365,,,,,,,,,,,,
19703,c_21950_b_30903_d_10,t_1539627_b_30903_tn_0,,Moses Lake,0,,p_1303347,,,,,,,,,,,,
19703,c_21950_b_30903_d_10,t_1539628_b_30903_tn_0,,Moses Lake,0,,p_1303347,,,,,,,,,,,,
19703,c_21950_b_30903_d_10,t_1539622_b_30903_tn_0,,Ritzville,1,,p_1303346,,,,,,,,,,,,
19703,c_21950_b_30903_d_10,t_1539621_b_30903_tn_0,,Ritzville,1,,p_1303346,,,,,,,,,,,,
19704,c_21950_b_30903_d_31,t_1539638_b_30903_tn_0,,Yakima,0,164163,p_1277752,,,,,,,,,,,,
19704,c_21950_b_30903_d_31,t_1539662_b_30903_tn_0,,Yakima,0,,p_1277769,,,,,,,,,,,,
19704,c_21950_b_30903_d_31,t_1539672_b_30903_tn_0,,Sunnyside,1,,p_1277780,,,,,,,,,,,,
19704,c_21950_b_30903_d_31,t_1539653_b_30903_tn_0,,Yakima,1,,p_1277762,,,,,,,,,,,,
19704,c_21950_b_30903_d_31,t_1539656_b_30903_tn_0,,Prosser,1,164163,p_1277764,,,,,,,,,,,,
19704,c_21950_b_30903_d_31,t_1539665_b_30903_tn_0,,Prosser,1,164163,p_1277772,,,,,,,,,,,,
19705,c_21950_b_30903_d_31,t_1539635_b_30903_tn_0,,Wenatchee,0,,p_1277747,,,,,,,,,,,,
19705,c_21950_b_30903_d_31,t_1539636_b_30903_tn_0,,Wenatchee,0,,p_1277747,,,,,,,,,,,,
19705,c_21950_b_30903_d_31,t_1539652_b_30903_tn_0,,Moses Lake,1,,p_1277760,,,,,,,,,,,,
19705,c_21950_b_30903_d_31,t_1539651_b_30903_tn_0,,Moses Lake,1,,p_1277760,,,,,,,,,,,,
19706,c_21950_b_30903_d_31,t_1539654_b_30903_tn_0,,Coulee Dam,0,,p_1277763,,,,,,,,,,,,
19706,c_21950_b_30903_d_31,t_1539655_b_30903_tn_0,,Coulee Dam,0,,p_1277763,,,,,,,,,,,,
19706,c_21950_b_30903_d_31,t_1539641_b_30903_tn_0,,Davenport,1,,p_1277754,,,,,,,,,,,,
19706,c_21950_b_30903_d_31,t_1539640_b_30903_tn_0,,Davenport,1,,p_1277754,,,,,,,,,,,,
19706,c_21950_b_30903_d_4,t_1807437_b_30903_tn_0,,Coulee Dam,0,,p_1277763,,,,,,,,,,,,
19706,c_21950_b_30903_d_4,t_1807438_b_30903_tn_0,,Davenport,1,,p_1277778,,,,,,,,,,,,
19707,c_21950_b_30903_d_31,t_1539669_b_30903_tn_0,,Othello,0,,p_1277774,,,,,,,,,,,,
19707,c_21950_b_30903_d_31,t_1539668_b_30903_tn_0,,Othello,0,,p_1277774,,,,,,,,,,,,
19707,c_21950_b_30903_d_31,t_1539671_b_30903_tn_0,,Tri-Cities,1,,p_1277776,,,,,,,,,,,,
19707,c_21950_b_30903_d_31,t_1539639_b_30903_tn_0,,Tri-Cities,1,,p_1277753,,,,,,,,,,,,
19708,c_21950_b_30903_d_10,t_1539623_b_30903_tn_0,,Othello,0,,p_1277770,,,,,,,,,,,,
19708,c_21950_b_30903_d_10,t_1539624_b_30903_tn_0,,Othello,0,,p_1277770,,,,,,,,,,,,
19708,c_21950_b_30903_d_10,t_1539625_b_30903_tn_0,,Ritzville,1,,p_1277777,,,,,,,,,,,,
19708,c_21950_b_30903_d_10,t_1539626_b_30903_tn_0,,Ritzville,1,,p_1277777,,,,,,,,,,,,
19709,c_21950_b_30903_d_31,t_1539670_b_30903_tn_0,,Multimodal Transit Center - Moses Lake,0,,p_1277775,,,,,,,,,,,,
19709,c_21950_b_30903_d_31,t_1539642_b_30903_tn_0,,Warden,0,,p_1303804,,,,,,,,,,,,
19709,c_21950_b_30903_d_31,t_1539643_b_30903_tn_0,,Warden,0,,p_1303804,,,,,,,,,,,,
19709,c_21950_b_30903_d_31,t_1539644_b_30903_tn_0,,Warden,0,,p_1277756,,,,,,,,,,,,
19709,c_21950_b_30903_d_31,t_1539650_b_30903_tn_0,,Othello,1,,p_1277758,,,,,,,,,,,,
19709,c_21950_b_30903_d_31,t_1539637_b_30903_tn_0,,Othello,1,,p_1277750,,,,,,,,,,,,
