service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
S2208-Satco-Saturday-02,0,0,0,0,0,1,0,20221126,20221217
S2208-Satco-Sunday-07,0,0,0,0,0,0,1,20221127,20221211
S2208-SATCo-Weekday-15,1,1,1,1,1,0,0,20221128,20221216
S2208-SATCo-Weekday-15-1111000,1,1,1,1,0,0,0,20221128,20221216
S2208-SATCo-Weekday-15-1101100,1,1,0,1,1,0,0,20221128,20221216
S2208-SATCo-Weekday-15-0010000,0,0,1,0,0,0,0,20221128,20221216
S2208-SATCo-Weekday-55,1,1,1,1,1,0,0,20221123,20221123
S2208-SATCo-Weekday-55-1111000,1,1,1,1,0,0,0,20221123,20221123
S2208-SATCo-Weekday-58,1,1,1,1,1,0,0,20221125,20221125
UM2223-UMTS-Weekday-63,1,1,1,1,1,0,0,20221213,20221216
UM2223-UMTS-Weekday-63-1110000,1,1,1,0,0,0,0,20221213,20221216
UM2223-UMTS-Weekday-63-0001100,0,0,0,1,1,0,0,20221213,20221216
UM2223-UMTS-Weekday-63-1001100,1,0,0,1,1,0,0,20221213,20221216
UM2223-UMTS-Weekday-63-0001000,0,0,0,1,0,0,0,20221213,20221216
UM2223-UMTS-Weekday-63-0000100,0,0,0,0,1,0,0,20221213,20221216
UM2223-UMTS-Weekday-65,1,1,1,1,1,0,0,20221128,20221212
UM2223-UMTS-Weekday-65-1110000,1,1,1,0,0,0,0,20221128,20221212
UM2223-UMTS-Weekday-65-0001100,0,0,0,1,1,0,0,20221128,20221212
UM2223-UMTS-Weekday-65-1001100,1,0,0,1,1,0,0,20221128,20221212
UM2223-UMTS-Weekday-65-0001000,0,0,0,1,0,0,0,20221128,20221212
UM2223-UMTS-Weekday-65-0000100,0,0,0,0,1,0,0,20221128,20221212
UM2223-UMTS-Weekday-67,1,1,1,1,1,0,0,20221123,20221123
UM2223-UMTS-Weekday-67-1001100,1,0,0,1,1,0,0,20221123,20221123
UM2223-UMTS-Weekday-68,1,1,1,1,1,0,0,20221125,20221125
UM2223-UMTS-Saturday-22,0,0,0,0,0,1,0,20221203,20221217
UM2223-UMTS-Saturday-23,0,0,0,0,0,1,0,20221126,20221126
UM2223-UMTS-Sunday-19,0,0,0,0,0,0,1,20221127,20221211
N2209-VATCo-Weekday-11,1,1,1,1,1,0,0,20221123,20221123
N2209-VATCo-Weekday-11-1000000,1,0,0,0,0,0,0,20221123,20221123
N2209-VATCo-Weekday-11-0111100,0,1,1,1,1,0,0,20221123,20221123
N2209-VATCo-Weekday-11-0011100,0,0,1,1,1,0,0,20221123,20221123
N2209-VATCo-Weekday-11-1100000,1,1,0,0,0,0,0,20221123,20221123
N2209-VATCo-Weekday-11-0001000,0,0,0,1,0,0,0,20221123,20221123
N2209-VATCo-Weekday-11-0010000,0,0,1,0,0,0,0,20221123,20221123
N2209-VATCo-Weekday-11-1110000,1,1,1,0,0,0,0,20221123,20221123
N2209-VATCo-Weekday-11-0000100,0,0,0,0,1,0,0,20221123,20221123
N2209-VATCo-Weekday-65,1,1,1,1,1,0,0,20221125,20221125
N2209-VATCo-Weekday-65-1000000,1,0,0,0,0,0,0,20221125,20221125
N2209-VATCo-Weekday-65-0111100,0,1,1,1,1,0,0,20221125,20221125
N2209-VATCo-Weekday-65-0011100,0,0,1,1,1,0,0,20221125,20221125
N2209-VATCo-Weekday-65-1100000,1,1,0,0,0,0,0,20221125,20221125
N2209-VATCo-Weekday-65-0001000,0,0,0,1,0,0,0,20221125,20221125
N2209-VATCo-Weekday-65-0010000,0,0,1,0,0,0,0,20221125,20221125
N2209-VATCo-Weekday-65-1110000,1,1,1,0,0,0,0,20221125,20221125
N2209-VATCo-Weekday-65-0000100,0,0,0,0,1,0,0,20221125,20221125
N2209-VATCo-Weekday-66,1,1,1,1,1,0,0,20221128,20221213
N2209-VATCo-Weekday-66-1110000,1,1,1,0,0,0,0,20221128,20221213
N2209-VATCo-Weekday-66-0000100,0,0,0,0,1,0,0,20221128,20221213
N2209-VATCo-Weekday-66-0001000,0,0,0,1,0,0,0,20221128,20221213
N2209-VATCo-Weekday-66-0100000,0,1,0,0,0,0,0,20221128,20221213
N2209-VATCo-Weekday-66-1000000,1,0,0,0,0,0,0,20221128,20221213
N2209-VATCo-Weekday-66-0001100,0,0,0,1,1,0,0,20221128,20221213
N2209-VATCo-Weekday-66-1110100,1,1,1,0,1,0,0,20221128,20221213
N2209-VATCo-Weekday-66-0111100,0,1,1,1,1,0,0,20221128,20221213
N2209-VATCo-Weekday-66-1011100,1,0,1,1,1,0,0,20221128,20221213
N2209-VATCo-Weekday-68,1,1,1,1,1,0,0,20221214,20221216
N2209-VATCo-Weekday-68-1110000,1,1,1,0,0,0,0,20221214,20221216
N2209-VATCo-Weekday-68-0000100,0,0,0,0,1,0,0,20221214,20221216
N2209-VATCo-Weekday-68-0001000,0,0,0,1,0,0,0,20221214,20221216
N2209-VATCo-Weekday-68-0100000,0,1,0,0,0,0,0,20221214,20221216
N2209-VATCo-Weekday-68-1000000,1,0,0,0,0,0,0,20221214,20221216
N2209-VATCo-Weekday-68-0001100,0,0,0,1,1,0,0,20221214,20221216
N2209-VATCo-Weekday-68-0111100,0,1,1,1,1,0,0,20221214,20221216
N2209-VATCo-Weekday-68-1011100,1,0,1,1,1,0,0,20221214,20221216
N2209-VATCo-Saturday-65,0,0,0,0,0,1,0,20221126,20221126
N2209-VATCo-Saturday-66,0,0,0,0,0,1,0,20221203,20221217
N2209-VATCo-Sunday-66,0,0,0,0,0,0,1,20221127,20221211
