route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
R41,N2209-VATCo-Weekday-11,3867189-N2209-VATCo-Weekday-11,"Northampton via Holyoke C.C., Easthampton",0,410020,R410061,1,1
R41,N2209-VATCo-Weekday-11-1000000,3867190-N2209-VATCo-Weekday-11-1000000,"Northampton via Holyoke C.C., Easthampton",0,410019,R410061,1,1
R41,N2209-VATCo-Weekday-11,3867191-N2209-VATCo-Weekday-11,"Northampton via Holyoke C.C., Easthampton",0,410021,R410061,1,1
R41,N2209-VATCo-Weekday-11-1000000,3867192-N2209-VATCo-Weekday-11-1000000,"Northampton",0,410019,R410061,1,1
R41,N2209-VATCo-Weekday-11,3867193-N2209-VATCo-Weekday-11,"Northampton via Holyoke C.C., Easthampton",0,410021,R410061,1,1
R41,N2209-VATCo-Weekday-11,3867194-N2209-VATCo-Weekday-11,"Northampton via Holyoke C.C., Easthampton",0,410020,R410061,1,1
R41,N2209-VATCo-Weekday-11,3867195-N2209-VATCo-Weekday-11,"Holyoke Mall via Easthampton",1,410020,R410062,1,1
R41,N2209-VATCo-Weekday-11,3867196-N2209-VATCo-Weekday-11,"Holyoke Mall via Easthampton",1,410021,R410062,1,1
R41,N2209-VATCo-Weekday-11-1000000,3867197-N2209-VATCo-Weekday-11-1000000,"Holyoke Mall via Easthampton",1,410019,R410062,1,1
R41,N2209-VATCo-Weekday-11,3867198-N2209-VATCo-Weekday-11,"Holyoke Mall via Easthampton",1,410020,R410062,1,1
R41,N2209-VATCo-Weekday-11,3867199-N2209-VATCo-Weekday-11,"Holyoke Mall via Easthampton",1,410021,R410062,1,1
R41,N2209-VATCo-Weekday-11-1000000,3867200-N2209-VATCo-Weekday-11-1000000,"Holyoke Mall via Easthampton",1,410019,R410062,1,1
R41,N2209-VATCo-Weekday-11,3867201-N2209-VATCo-Weekday-11,"Holyoke Mall via Easthampton",1,410020,R410062,1,1
R41,N2209-VATCo-Weekday-11,3867202-N2209-VATCo-Weekday-11,"Holyoke Mall via Easthampton",1,410021,R410062,1,1
R41,N2209-VATCo-Weekday-11-1000000,3867203-N2209-VATCo-Weekday-11-1000000,"Holyoke Mall via Easthampton",1,410019,R410062,1,1
R41,N2209-VATCo-Weekday-11,3867204-N2209-VATCo-Weekday-11,"Holyoke Mall via Easthampton",1,410020,R410062,1,1
R41,N2209-VATCo-Weekday-11,3867205-N2209-VATCo-Weekday-11,"Holyoke Mall via Easthampton",1,410021,R410062,1,1
R41,N2209-VATCo-Weekday-11-1000000,3867206-N2209-VATCo-Weekday-11-1000000,"Holyoke Mall via Easthampton",1,410019,R410062,1,1
R41,N2209-VATCo-Weekday-11,3867207-N2209-VATCo-Weekday-11,"Northampton via Holyoke C.C., Easthampton",0,410020,R410061,1,1
R41,N2209-VATCo-Weekday-11,3867208-N2209-VATCo-Weekday-11,"Northampton via Holyoke C.C., Easthampton",0,410021,R410061,1,1
R41,N2209-VATCo-Weekday-11-1000000,3867209-N2209-VATCo-Weekday-11-1000000,"Northampton via Holyoke C.C., Easthampton",0,410019,R410061,1,1
R41,N2209-VATCo-Weekday-11,3867210-N2209-VATCo-Weekday-11,"Northampton via Holyoke C.C., Easthampton",0,410020,R410061,1,1
R41,N2209-VATCo-Weekday-11,3867211-N2209-VATCo-Weekday-11,"Northampton via Holyoke C.C., Easthampton",0,410021,R410061,1,1
