agency_id,route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,min_headway_minutes,eligibility_restricted,continuous_pickup,continuous_drop_off,tts_route_short_name,tts_route_long_name
221,1387,,Greenleaf,,3,https://www.riderct.org/client_media/files/routes/shopping/RCT-Map.GreenLeaf.B.8.28.20.pdf,72ad51,ffffff,0,,0,3,3,,
221,67916,,Crown Connection,,3,,00befd,000000,0,,0,1,1,,
221,1383,,The Highlander,,3,https://www.riderct.org/client_media/files/routes/shuttle/RCT-Map.The-Highlander.B.8.28.20.pdf,387d3c,ffffff,1,,0,3,3,,
221,3184,102,Morrisville Loop,,3,https://www.riderct.org/client_media/files/routes/shopping/RCT-Map.Morrisvill-Loop.B.8.28.20.pdf,684110,ffffff,10,,0,1,1,,
221,3185,103,Morrisville Shopping Shuttle,,3,https://www.riderct.org/client_media/files/routes/shopping/RCT-Map.Morrisville-Shopping.B.8.28.20.pdf,1c3155,ffffff,11,,0,1,1,,
221,7415,,Rural Community Transportation Dial-A-Ride,,3,https://www.riderct.org/dial-a-ride,,,12,,1,1,1,,
221,1382,,Jay-Lyn,,3,https://www.riderct.org/client_media/files/routes/shuttle/RCT-Map.Jay-Lyn-Express.B.8.28.20.pdf,dd4f37,ffffff,3,,0,3,3,,
221,1386,,Johnson Shopper,,3,https://www.riderct.org/client_media/files/routes/shopping/RCT-Map.Johnson-Shopper.B.8.28.20.pdf,a23869,ffffff,4,,0,3,3,,
221,5231,,Twin City,,3,https://www.riderct.org/client_media/files/routes/shuttle/RCT-Map.Twin-City-Route.B.8.28.20.pdf,e1a327,000000,6,,0,1,1,,
221,1354,,US 2 Commuter,,3,https://www.riderct.org/client_media/files/routes/shuttle/RCT-Map.US2-Communter.B.8.28.20.pdf,1d61a8,ffffff,7,,0,1,1,,
221,15097,14/15,Morrisville to Barre Commuter,,3,https://www.riderct.org/client_media/files/routes/shuttle/RCT-Map.RT14.15-Commuter.B.8.28.20.pdf,000000,ffffff,8,,0,1,1,,
221,3182,100,Route 100 Commuter,,3,https://www.riderct.org/client_media/files/routes/shuttle/RCT-Map.Route-100-Commuter.B.8.28.20.pdf,dd883c,ffffff,9,,0,1,1,,
