runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
100000,c_20227_b_33308_d_31,133444,1,1,t_1223547_b_33308_tn_0,769378,t_1223558_b_33308_tn_0,769349
1000000,c_24076_b_33585_d_31,118075,10,1,t_2020320_b_33585_tn_0,770290,t_2020322_b_33585_tn_0,770290
10000000,c_2676_b_77892_d_8,8582,100,1,t_85547_b_77892_tn_0,770290,t_146179_b_77892_tn_0,769750
10100000,c_2676_b_77892_d_8,8583,101,1,t_85549_b_77892_tn_0,769750,t_85550_b_77892_tn_0,770290
10200000,c_2676_b_77893_d_8,8582,102,1,t_85547_b_77893_tn_0,770290,t_146179_b_77893_tn_0,769750
10300000,c_2676_b_77893_d_8,8583,103,1,t_85549_b_77893_tn_0,769750,t_85550_b_77893_tn_0,770290
10400000,c_2676_b_77894_d_8,8582,104,1,t_85547_b_77894_tn_0,770290,t_146179_b_77894_tn_0,769750
10500000,c_2676_b_77894_d_8,8583,105,1,t_85549_b_77894_tn_0,769750,t_85550_b_77894_tn_0,770290
10600000,c_2676_b_77895_d_8,8582,106,1,t_85547_b_77895_tn_0,770290,t_146179_b_77895_tn_0,769750
10700000,c_2676_b_77895_d_8,8583,107,1,t_85549_b_77895_tn_0,769750,t_85550_b_77895_tn_0,770290
10800000,c_2676_b_77896_d_8,8582,108,1,t_85547_b_77896_tn_0,770290,t_146179_b_77896_tn_0,769750
10900000,c_2676_b_77896_d_8,8583,109,1,t_85549_b_77896_tn_0,769750,t_85550_b_77896_tn_0,770290
1100000,c_24076_b_33585_d_31,160326,11,1,t_2020352_b_33585_tn_0,769750,t_2020355_b_33585_tn_0,769750
11000000,c_2676_b_77897_d_8,8582,110,1,t_85547_b_77897_tn_0,770290,t_146179_b_77897_tn_0,769750
11100000,c_2676_b_77897_d_8,8583,111,1,t_85549_b_77897_tn_0,769750,t_85550_b_77897_tn_0,770290
11200000,c_2676_b_77898_d_8,8582,112,1,t_85547_b_77898_tn_0,770290,t_146179_b_77898_tn_0,769750
11300000,c_2676_b_77898_d_8,8583,113,1,t_85549_b_77898_tn_0,769750,t_85550_b_77898_tn_0,770290
11400000,c_45375_b_55341_d_113,178915,114,1,t_3634911_b_55341_tn_0,3878407,t_3634916_b_55341_tn_0,3878407
1200000,c_24076_b_33585_d_31,160327,12,1,t_2020350_b_33585_tn_0,769750,t_2020356_b_33585_tn_0,769750
1300000,c_24076_b_33585_d_31,8578,13,1,t_2020326_b_33585_tn_0,770272,t_2020339_b_33585_tn_0,770272
1400000,c_24076_b_33585_d_31,8579,14,1,t_2020325_b_33585_tn_0,770272,t_2020317_b_33585_tn_0,770106
1500000,c_24076_b_33585_d_31,8590,15,1,t_2020346_b_33585_tn_0,769649,t_2020319_b_33585_tn_0,770114
1600000,c_24076_b_33585_d_63,8588,16,1,t_2020327_b_33585_tn_0,770115,t_2020347_b_33585_tn_0,804932
1700000,c_24076_b_33585_d_63,8589,17,1,t_2020318_b_33585_tn_0,804932,t_2020349_b_33585_tn_0,770115
1800000,c_24078_b_33612_d_2,8576,18,1,t_2020404_b_33612_tn_0,770114,t_2020404_b_33612_tn_0,770304
1900000,c_24078_b_33612_d_2,8577,19,1,t_2020398_b_33612_tn_0,770304,t_2020398_b_33612_tn_0,770114
200000,c_20227_b_33308_d_31,160326,2,1,t_1223557_b_33308_tn_0,769750,t_1223553_b_33308_tn_0,769750
2000000,c_24078_b_77899_d_2,8576,20,1,t_2020404_b_77899_tn_0,770114,t_2020404_b_77899_tn_0,770304
