trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,start_pickup_dropoff_window,end_pickup_dropoff_window,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset,tts_stop_headsign,min_arrival_time,max_departure_time
t_1223546_b_33308_tn_0,05:38:00,05:38:00,769639,1,,0,0,0,1,,,,,3,3,,,,,,,,,,,
t_1223546_b_33308_tn_0,,,769652,2,,2,3,7990.41476135753,0,,,,,3,3,,,,,,,,,,,
t_1223546_b_33308_tn_0,05:50:00,05:50:00,769647,3,,0,0,12183.7845284706,1,,,,,3,3,,,,,,,,,,,
t_1223546_b_33308_tn_0,,,769637,4,,2,3,13592.8518142126,0,,,,,3,3,,,,,,,,,,,
t_1223546_b_33308_tn_0,,,769636,5,,2,3,18528.9428696238,0,,,,,3,3,,,,,,,,,,,
t_1223546_b_33308_tn_0,06:06:00,06:06:00,769631,6,,0,0,29150.9220857297,0,,,,,3,3,,,,,,,,,,,
t_1223546_b_33308_tn_0,06:15:00,06:15:00,769378,7,,0,0,31625.1534939902,0,,,,,3,3,,,,,,,,,,,
t_1223546_b_33308_tn_0,06:20:00,06:20:00,2574503,8,,0,0,32699.45722367,1,,,,,3,3,,,,,,,,,,,
t_1223547_b_33308_tn_0,06:15:00,06:15:00,769378,1,,0,0,0,1,,,,,3,3,,,,,,,,,,,
t_1223547_b_33308_tn_0,06:20:00,06:20:00,2574503,2,,0,0,1067.82620437662,1,,,,,3,3,,,,,,,,,,,
t_1223547_b_33308_tn_0,06:25:00,06:25:00,770843,3,,0,0,2383.09413790785,1,,,,,3,3,,,,,,,,,,,
t_1223547_b_33308_tn_0,06:35:00,06:35:00,769636,4,,0,0,10605.9328749916,1,,,,,3,3,,,,,,,,,,,
t_1223547_b_33308_tn_0,,,769637,5,,2,3,15660.099695387,0,,,,,3,3,,,,,,,,,,,
t_1223547_b_33308_tn_0,06:45:00,06:45:00,769647,6,,0,0,17127.2020602609,1,,,,,3,3,,,,,,,,,,,
t_1223547_b_33308_tn_0,,,769652,7,,2,3,21314.1094998771,0,,,,,3,3,,,,,,,,,,,
t_1223547_b_33308_tn_0,06:55:00,06:55:00,769639,8,,0,0,29345.8309221275,1,,,,,3,3,,,,,,,,,,,
t_1223547_b_33308_tn_0,07:12:00,07:12:00,769653,9,,0,0,45157.662496829,1,,,,,3,3,,,,,,,,,,,
t_1223547_b_33308_tn_0,,,769649,10,,2,3,61196.0854413612,0,,,,,3,3,,,,,,,,,,,
t_1223547_b_33308_tn_0,07:40:00,07:40:00,769651,11,,0,0,63048.20309226,1,,,,,3,3,,,,,,,,,,,
t_1223548_b_33308_tn_0,07:40:00,07:40:00,769651,1,,0,0,0,1,,,,,3,3,,,,,,,,,,,
t_1223548_b_33308_tn_0,07:45:00,07:45:00,769649,2,,0,0,1715.01320949512,1,,,,,3,3,,,,,,,,,,,
t_1223548_b_33308_tn_0,07:58:00,07:58:00,769653,3,,0,0,17740.5948136753,1,,,,,3,3,,,,,,,,,,,
t_1223548_b_33308_tn_0,08:15:00,08:15:00,769639,4,,0,0,33557.2931772599,1,,,,,3,3,,,,,,,,,,,
t_1223548_b_33308_tn_0,,,769652,5,,2,3,41549.7560727495,0,,,,,3,3,,,,,,,,,,,
t_1223548_b_33308_tn_0,08:25:00,08:25:00,769647,6,,0,0,45743.1258398626,1,,,,,3,3,,,,,,,,,,,
t_1223548_b_33308_tn_0,,,769637,7,,2,3,47152.1931256046,0,,,,,3,3,,,,,,,,,,,
t_1223548_b_33308_tn_0,08:35:00,08:35:00,769636,8,,0,0,52088.2841810157,1,,,,,3,3,,,,,,,,,,,
t_1223548_b_33308_tn_0,08:45:00,08:45:00,769631,9,,0,0,62710.2633971217,1,,,,,3,3,,,,,,,,,,,
t_1223548_b_33308_tn_0,08:50:00,08:50:00,2574503,10,,0,0,64025.8272726233,1,,,,,3,3,,,,,,,,,,,
t_1223548_b_33308_tn_0,08:55:00,08:55:00,769349,11,,0,0,66411.37106731,1,,,,,3,3,,,,,,,,,,,
t_1223549_b_33308_tn_0,16:10:00,16:10:00,769349,1,,0,0,0,1,,,,,3,3,,,,,,,,,,,
t_1223549_b_33308_tn_0,16:15:00,16:15:00,2574503,2,,0,0,2313.71371357743,1,,,,,3,3,,,,,,,,,,,
