route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,trip_type,drt_max_travel_time,drt_avg_travel_time,drt_advance_book_min,drt_pickup_message,drt_drop_off_message,continuous_pickup_message,continuous_drop_off_message,tts_trip_headsign,tts_trip_short_name
1354,c_20227_b_33308_d_31,t_1223546_b_33308_tn_0,,Montpelier,0,8592,p_1304475,,,,,,,,,,,,
1354,c_20227_b_33308_d_31,t_1266534_b_33308_tn_0,,Montpelier,0,8593,p_3454,,,,,,,,,,,,
1354,c_20227_b_33308_d_31,t_1266533_b_33308_tn_0,,Montpelier,0,8593,p_3453,,,,,,,,,,,,
1354,c_20227_b_33308_d_31,t_1223558_b_33308_tn_0,,Montpelier,0,133444,p_900291,,,,,,,,,,,,
1354,c_20227_b_33308_d_31,t_1223548_b_33308_tn_0,,Montpelier,0,133444,p_900290,,,,,,,,,,,,
1354,c_20227_b_33308_d_31,t_1266536_b_33308_tn_0,,St. Johnsbury,1,8593,p_3452,,,,,,,,,,,,
1354,c_20227_b_33308_d_31,t_1266535_b_33308_tn_0,,St. Johnsbury,1,8593,p_3451,,,,,,,,,,,,
1354,c_20227_b_33308_d_31,t_1223547_b_33308_tn_0,,St. Johnsbury,1,133444,p_900287,,,,,,,,,,,,
1354,c_20227_b_33308_d_31,t_1223549_b_33308_tn_0,,St. Johnsbury,1,133444,p_900288,,,,,,,,,,,,
1382,c_24076_b_33585_d_31,t_2020338_b_33585_tn_0,,Lyndonville,0,8579,p_8950,,,,2.25t+5.00,1.5t+3.00,2880.00,Call 802-748-8170 two days before your trip to request pickup.,Call 802-748-8170 two days before your trip to request drop off.,"Wait in a safe, visible and low speed zone area and flag the bus from the side of the road. Pickups are at the driver’s discretion.",Please communicate with the driver about your desired drop off. It is at the driver’s discretion to determine a safe location to stop.,,
1382,c_24076_b_33585_d_31,t_2020340_b_33585_tn_0,,Lyndonville,0,8578,p_8950,,,,2.25t+5.00,1.5t+3.00,2880.00,Call 802-748-8170 two days before your trip to request pickup.,Call 802-748-8170 two days before your trip to request drop off.,"Wait in a safe, visible and low speed zone area and flag the bus from the side of the road. Pickups are at the driver’s discretion.",Please communicate with the driver about your desired drop off. It is at the driver’s discretion to determine a safe location to stop.,,
1382,c_24076_b_33585_d_31,t_2020344_b_33585_tn_0,,Lyndonville,0,8578,p_111204,,,,2.25t+5.00,1.5t+3.00,2880.00,Call 802-748-8170 two days before your trip to request pickup.,Call 802-748-8170 two days before your trip to request drop off.,"Wait in a safe, visible and low speed zone area and flag the bus from the side of the road. Pickups are at the driver’s discretion.",Please communicate with the driver about your desired drop off. It is at the driver’s discretion to determine a safe location to stop.,,
1382,c_24076_b_33585_d_31,t_2020317_b_33585_tn_0,,,0,8579,p_1304476,,,,2.25t+5.00,1.5t+3.00,2880.00,Call 802-748-8170 two days before your trip to request pickup.,Call 802-748-8170 two days before your trip to request drop off.,"Wait in a safe, visible and low speed zone area and flag the bus from the side of the road. Pickups are at the driver’s discretion.",Please communicate with the driver about your desired drop off. It is at the driver’s discretion to determine a safe location to stop.,,
1382,c_24076_b_33585_d_31,t_2020339_b_33585_tn_0,,Lyndonville,0,8578,p_8972,,,,2.25t+5.00,1.5t+3.00,2880.00,Call 802-748-8170 two days before your trip to request pickup.,Call 802-748-8170 two days before your trip to request drop off.,"Wait in a safe, visible and low speed zone area and flag the bus from the side of the road. Pickups are at the driver’s discretion.",Please communicate with the driver about your desired drop off. It is at the driver’s discretion to determine a safe location to stop.,,
1382,c_24076_b_33585_d_31,t_2020334_b_33585_tn_0,,Lyndonville,0,8578,p_8948,,,,2.25t+5.00,1.5t+3.00,2880.00,Call 802-748-8170 two days before your trip to request pickup.,Call 802-748-8170 two days before your trip to request drop off.,"Wait in a safe, visible and low speed zone area and flag the bus from the side of the road. Pickups are at the driver’s discretion.",Please communicate with the driver about your desired drop off. It is at the driver’s discretion to determine a safe location to stop.,,
1382,c_24076_b_33585_d_31,t_2020341_b_33585_tn_0,,Lyndonville,0,8578,p_8950,,,,2.25t+5.00,1.5t+3.00,2880.00,Call 802-748-8170 two days before your trip to request pickup.,Call 802-748-8170 two days before your trip to request drop off.,"Wait in a safe, visible and low speed zone area and flag the bus from the side of the road. Pickups are at the driver’s discretion.",Please communicate with the driver about your desired drop off. It is at the driver’s discretion to determine a safe location to stop.,,
1382,c_24076_b_33585_d_31,t_2020342_b_33585_tn_0,,Lyndonville,0,8579,p_111204,,,,2.25t+5.00,1.5t+3.00,2880.00,Call 802-748-8170 two days before your trip to request pickup.,Call 802-748-8170 two days before your trip to request drop off.,"Wait in a safe, visible and low speed zone area and flag the bus from the side of the road. Pickups are at the driver’s discretion.",Please communicate with the driver about your desired drop off. It is at the driver’s discretion to determine a safe location to stop.,,
1382,c_24076_b_33585_d_31,t_2020343_b_33585_tn_0,,Lyndonville,0,8579,p_8950,,,,2.25t+5.00,1.5t+3.00,2880.00,Call 802-748-8170 two days before your trip to request pickup.,Call 802-748-8170 two days before your trip to request drop off.,"Wait in a safe, visible and low speed zone area and flag the bus from the side of the road. Pickups are at the driver’s discretion.",Please communicate with the driver about your desired drop off. It is at the driver’s discretion to determine a safe location to stop.,,
1382,c_24076_b_33585_d_31,t_2020335_b_33585_tn_0,,St. Johnsbury,1,8579,p_3488,,,,2.25t+5.00,1.5t+3.00,2880.00,Call 802-748-8170 two days before your trip to request pickup.,Call 802-748-8170 two days before your trip to request drop off.,"Wait in a safe, visible and low speed zone area and flag the bus from the side of the road. Pickups are at the driver’s discretion.",Please communicate with the driver about your desired drop off. It is at the driver’s discretion to determine a safe location to stop.,,
1382,c_24076_b_33585_d_31,t_2020315_b_33585_tn_0,,St. Johnsbury,1,8579,p_111011,,,,2.25t+5.00,1.5t+3.00,2880.00,Call 802-748-8170 two days before your trip to request pickup.,Call 802-748-8170 two days before your trip to request drop off.,"Wait in a safe, visible and low speed zone area and flag the bus from the side of the road. Pickups are at the driver’s discretion.",Please communicate with the driver about your desired drop off. It is at the driver’s discretion to determine a safe location to stop.,,
1382,c_24076_b_33585_d_31,t_2020316_b_33585_tn_0,,St. Johnsbury,1,8578,p_3493,,,,2.25t+5.00,1.5t+3.00,2880.00,Call 802-748-8170 two days before your trip to request pickup.,Call 802-748-8170 two days before your trip to request drop off.,"Wait in a safe, visible and low speed zone area and flag the bus from the side of the road. Pickups are at the driver’s discretion.",Please communicate with the driver about your desired drop off. It is at the driver’s discretion to determine a safe location to stop.,,
1382,c_24076_b_33585_d_31,t_2020324_b_33585_tn_0,,St. Johnsbury,1,8578,p_3499,,,,2.25t+5.00,1.5t+3.00,2880.00,Call 802-748-8170 two days before your trip to request pickup.,Call 802-748-8170 two days before your trip to request drop off.,"Wait in a safe, visible and low speed zone area and flag the bus from the side of the road. Pickups are at the driver’s discretion.",Please communicate with the driver about your desired drop off. It is at the driver’s discretion to determine a safe location to stop.,,
1382,c_24076_b_33585_d_31,t_2020325_b_33585_tn_0,,St. Johnsbury,1,8579,p_3489,,,,2.25t+5.00,1.5t+3.00,2880.00,Call 802-748-8170 two days before your trip to request pickup.,Call 802-748-8170 two days before your trip to request drop off.,"Wait in a safe, visible and low speed zone area and flag the bus from the side of the road. Pickups are at the driver’s discretion.",Please communicate with the driver about your desired drop off. It is at the driver’s discretion to determine a safe location to stop.,,
1382,c_24076_b_33585_d_31,t_2020326_b_33585_tn_0,,St. Johnsbury,1,8578,p_3498,,,,2.25t+5.00,1.5t+3.00,2880.00,Call 802-748-8170 two days before your trip to request pickup.,Call 802-748-8170 two days before your trip to request drop off.,"Wait in a safe, visible and low speed zone area and flag the bus from the side of the road. Pickups are at the driver’s discretion.",Please communicate with the driver about your desired drop off. It is at the driver’s discretion to determine a safe location to stop.,,
1382,c_24076_b_33585_d_31,t_2020331_b_33585_tn_0,,St. Johnsbury,1,8578,p_3493,,,,2.25t+5.00,1.5t+3.00,2880.00,Call 802-748-8170 two days before your trip to request pickup.,Call 802-748-8170 two days before your trip to request drop off.,"Wait in a safe, visible and low speed zone area and flag the bus from the side of the road. Pickups are at the driver’s discretion.",Please communicate with the driver about your desired drop off. It is at the driver’s discretion to determine a safe location to stop.,,
1382,c_24076_b_33585_d_31,t_2020332_b_33585_tn_0,,St. Johnsbury,1,8578,p_3493,,,,2.25t+5.00,1.5t+3.00,2880.00,Call 802-748-8170 two days before your trip to request pickup.,Call 802-748-8170 two days before your trip to request drop off.,"Wait in a safe, visible and low speed zone area and flag the bus from the side of the road. Pickups are at the driver’s discretion.",Please communicate with the driver about your desired drop off. It is at the driver’s discretion to determine a safe location to stop.,,
1382,c_24076_b_33585_d_31,t_2020333_b_33585_tn_0,,St. Johnsbury,1,8579,p_111011,,,,2.25t+5.00,1.5t+3.00,2880.00,Call 802-748-8170 two days before your trip to request pickup.,Call 802-748-8170 two days before your trip to request drop off.,"Wait in a safe, visible and low speed zone area and flag the bus from the side of the road. Pickups are at the driver’s discretion.",Please communicate with the driver about your desired drop off. It is at the driver’s discretion to determine a safe location to stop.,,
1383,c_24076_b_33585_d_63,t_2020329_b_33585_tn_0,,Derby,0,8589,p_3497,,,,2.25t+5.00,1.5t+3.00,2880.00,Call 802-748-8170 two days before your trip to request pickup.,Call 802-748-8170 two days before your trip to request drop off.,"Wait in a safe, visible and low speed zone area and flag the bus from the side of the road. Pickups are at the driver’s discretion.",Please communicate with the driver about your desired drop off. It is at the driver’s discretion to determine a safe location to stop.,,
1383,c_24076_b_33585_d_63,t_2020336_b_33585_tn_0,,Derby,0,8588,p_3497,,,,2.25t+5.00,1.5t+3.00,2880.00,Call 802-748-8170 two days before your trip to request pickup.,Call 802-748-8170 two days before your trip to request drop off.,"Wait in a safe, visible and low speed zone area and flag the bus from the side of the road. Pickups are at the driver’s discretion.",Please communicate with the driver about your desired drop off. It is at the driver’s discretion to determine a safe location to stop.,,
1383,c_24076_b_33585_d_63,t_2020327_b_33585_tn_0,,Derby,0,8588,p_3494,,,,2.25t+5.00,1.5t+3.00,2880.00,Call 802-748-8170 two days before your trip to request pickup.,Call 802-748-8170 two days before your trip to request drop off.,"Wait in a safe, visible and low speed zone area and flag the bus from the side of the road. Pickups are at the driver’s discretion.",Please communicate with the driver about your desired drop off. It is at the driver’s discretion to determine a safe location to stop.,,
1383,c_24076_b_33585_d_63,t_2020318_b_33585_tn_0,,Derby,0,8589,p_3497,,,,2.25t+5.00,1.5t+3.00,2880.00,Call 802-748-8170 two days before your trip to request pickup.,Call 802-748-8170 two days before your trip to request drop off.,"Wait in a safe, visible and low speed zone area and flag the bus from the side of the road. Pickups are at the driver’s discretion.",Please communicate with the driver about your desired drop off. It is at the driver’s discretion to determine a safe location to stop.,,
1383,c_24076_b_33585_d_63,t_2020348_b_33585_tn_0,,Newport,1,8589,p_3495,,,,2.25t+5.00,1.5t+3.00,2880.00,Call 802-748-8170 two days before your trip to request pickup.,Call 802-748-8170 two days before your trip to request drop off.,"Wait in a safe, visible and low speed zone area and flag the bus from the side of the road. Pickups are at the driver’s discretion.",Please communicate with the driver about your desired drop off. It is at the driver’s discretion to determine a safe location to stop.,,
1383,c_24076_b_33585_d_63,t_2020328_b_33585_tn_0,,Newport,1,8588,p_3495,,,,2.25t+5.00,1.5t+3.00,2880.00,Call 802-748-8170 two days before your trip to request pickup.,Call 802-748-8170 two days before your trip to request drop off.,"Wait in a safe, visible and low speed zone area and flag the bus from the side of the road. Pickups are at the driver’s discretion.",Please communicate with the driver about your desired drop off. It is at the driver’s discretion to determine a safe location to stop.,,
1383,c_24076_b_33585_d_63,t_2020347_b_33585_tn_0,,Newport,1,8588,p_3495,,,,2.25t+5.00,1.5t+3.00,2880.00,Call 802-748-8170 two days before your trip to request pickup.,Call 802-748-8170 two days before your trip to request drop off.,"Wait in a safe, visible and low speed zone area and flag the bus from the side of the road. Pickups are at the driver’s discretion.",Please communicate with the driver about your desired drop off. It is at the driver’s discretion to determine a safe location to stop.,,
1383,c_24076_b_33585_d_63,t_2020349_b_33585_tn_0,,Newport,1,8589,p_901171,,,,2.25t+5.00,1.5t+3.00,2880.00,Call 802-748-8170 two days before your trip to request pickup.,Call 802-748-8170 two days before your trip to request drop off.,"Wait in a safe, visible and low speed zone area and flag the bus from the side of the road. Pickups are at the driver’s discretion.",Please communicate with the driver about your desired drop off. It is at the driver’s discretion to determine a safe location to stop.,,
1386,c_2676_b_77875_d_8,t_85549_b_77875_tn_0,,,0,8583,p_8973,,,,2.25t+5.00,1.5t+3.00,2880.00,Call 802-748-8170 two days before your trip to request pickup.,Call 802-748-8170 two days before your trip to request drop off.,"Wait in a safe, visible and low speed zone area and flag the bus from the side of the road. Pickups are at the driver’s discretion.",Please communicate with the driver about your desired drop off. It is at the driver’s discretion to determine a safe location to stop.,,
1386,c_2676_b_77875_d_8,t_85547_b_77875_tn_0,,,0,8582,p_8975,,,,2.25t+5.00,1.5t+3.00,2880.00,Call 802-748-8170 two days before your trip to request pickup.,Call 802-748-8170 two days before your trip to request drop off.,"Wait in a safe, visible and low speed zone area and flag the bus from the side of the road. Pickups are at the driver’s discretion.",Please communicate with the driver about your desired drop off. It is at the driver’s discretion to determine a safe location to stop.,,
1386,c_2676_b_77875_d_8,t_85550_b_77875_tn_0,,,1,8583,p_8974,,,,2.25t+5.00,1.5t+3.00,2880.00,Call 802-748-8170 two days before your trip to request pickup.,Call 802-748-8170 two days before your trip to request drop off.,"Wait in a safe, visible and low speed zone area and flag the bus from the side of the road. Pickups are at the driver’s discretion.",Please communicate with the driver about your desired drop off. It is at the driver’s discretion to determine a safe location to stop.,,
1386,c_2676_b_77875_d_8,t_146179_b_77875_tn_0,,,1,8582,p_8976,,,,2.25t+5.00,1.5t+3.00,2880.00,Call 802-748-8170 two days before your trip to request pickup.,Call 802-748-8170 two days before your trip to request drop off.,"Wait in a safe, visible and low speed zone area and flag the bus from the side of the road. Pickups are at the driver’s discretion.",Please communicate with the driver about your desired drop off. It is at the driver’s discretion to determine a safe location to stop.,,
1386,c_2676_b_77876_d_8,t_85549_b_77876_tn_0,,,0,8583,p_8973,,,,2.25t+5.00,1.5t+3.00,2880.00,Call 802-748-8170 two days before your trip to request pickup.,Call 802-748-8170 two days before your trip to request drop off.,"Wait in a safe, visible and low speed zone area and flag the bus from the side of the road. Pickups are at the driver’s discretion.",Please communicate with the driver about your desired drop off. It is at the driver’s discretion to determine a safe location to stop.,,
1386,c_2676_b_77876_d_8,t_85547_b_77876_tn_0,,,0,8582,p_8975,,,,2.25t+5.00,1.5t+3.00,2880.00,Call 802-748-8170 two days before your trip to request pickup.,Call 802-748-8170 two days before your trip to request drop off.,"Wait in a safe, visible and low speed zone area and flag the bus from the side of the road. Pickups are at the driver’s discretion.",Please communicate with the driver about your desired drop off. It is at the driver’s discretion to determine a safe location to stop.,,
1386,c_2676_b_77876_d_8,t_85550_b_77876_tn_0,,,1,8583,p_8974,,,,2.25t+5.00,1.5t+3.00,2880.00,Call 802-748-8170 two days before your trip to request pickup.,Call 802-748-8170 two days before your trip to request drop off.,"Wait in a safe, visible and low speed zone area and flag the bus from the side of the road. Pickups are at the driver’s discretion.",Please communicate with the driver about your desired drop off. It is at the driver’s discretion to determine a safe location to stop.,,
1386,c_2676_b_77876_d_8,t_146179_b_77876_tn_0,,,1,8582,p_8976,,,,2.25t+5.00,1.5t+3.00,2880.00,Call 802-748-8170 two days before your trip to request pickup.,Call 802-748-8170 two days before your trip to request drop off.,"Wait in a safe, visible and low speed zone area and flag the bus from the side of the road. Pickups are at the driver’s discretion.",Please communicate with the driver about your desired drop off. It is at the driver’s discretion to determine a safe location to stop.,,
1386,c_2676_b_77877_d_8,t_85549_b_77877_tn_0,,,0,8583,p_8973,,,,2.25t+5.00,1.5t+3.00,2880.00,Call 802-748-8170 two days before your trip to request pickup.,Call 802-748-8170 two days before your trip to request drop off.,"Wait in a safe, visible and low speed zone area and flag the bus from the side of the road. Pickups are at the driver’s discretion.",Please communicate with the driver about your desired drop off. It is at the driver’s discretion to determine a safe location to stop.,,
1386,c_2676_b_77877_d_8,t_85547_b_77877_tn_0,,,0,8582,p_8975,,,,2.25t+5.00,1.5t+3.00,2880.00,Call 802-748-8170 two days before your trip to request pickup.,Call 802-748-8170 two days before your trip to request drop off.,"Wait in a safe, visible and low speed zone area and flag the bus from the side of the road. Pickups are at the driver’s discretion.",Please communicate with the driver about your desired drop off. It is at the driver’s discretion to determine a safe location to stop.,,
1386,c_2676_b_77877_d_8,t_85550_b_77877_tn_0,,,1,8583,p_8974,,,,2.25t+5.00,1.5t+3.00,2880.00,Call 802-748-8170 two days before your trip to request pickup.,Call 802-748-8170 two days before your trip to request drop off.,"Wait in a safe, visible and low speed zone area and flag the bus from the side of the road. Pickups are at the driver’s discretion.",Please communicate with the driver about your desired drop off. It is at the driver’s discretion to determine a safe location to stop.,,
1386,c_2676_b_77877_d_8,t_146179_b_77877_tn_0,,,1,8582,p_8976,,,,2.25t+5.00,1.5t+3.00,2880.00,Call 802-748-8170 two days before your trip to request pickup.,Call 802-748-8170 two days before your trip to request drop off.,"Wait in a safe, visible and low speed zone area and flag the bus from the side of the road. Pickups are at the driver’s discretion.",Please communicate with the driver about your desired drop off. It is at the driver’s discretion to determine a safe location to stop.,,
1386,c_2676_b_77878_d_8,t_85549_b_77878_tn_0,,,0,8583,p_8973,,,,2.25t+5.00,1.5t+3.00,2880.00,Call 802-748-8170 two days before your trip to request pickup.,Call 802-748-8170 two days before your trip to request drop off.,"Wait in a safe, visible and low speed zone area and flag the bus from the side of the road. Pickups are at the driver’s discretion.",Please communicate with the driver about your desired drop off. It is at the driver’s discretion to determine a safe location to stop.,,
1386,c_2676_b_77878_d_8,t_85547_b_77878_tn_0,,,0,8582,p_8975,,,,2.25t+5.00,1.5t+3.00,2880.00,Call 802-748-8170 two days before your trip to request pickup.,Call 802-748-8170 two days before your trip to request drop off.,"Wait in a safe, visible and low speed zone area and flag the bus from the side of the road. Pickups are at the driver’s discretion.",Please communicate with the driver about your desired drop off. It is at the driver’s discretion to determine a safe location to stop.,,
1386,c_2676_b_77878_d_8,t_85550_b_77878_tn_0,,,1,8583,p_8974,,,,2.25t+5.00,1.5t+3.00,2880.00,Call 802-748-8170 two days before your trip to request pickup.,Call 802-748-8170 two days before your trip to request drop off.,"Wait in a safe, visible and low speed zone area and flag the bus from the side of the road. Pickups are at the driver’s discretion.",Please communicate with the driver about your desired drop off. It is at the driver’s discretion to determine a safe location to stop.,,
1386,c_2676_b_77878_d_8,t_146179_b_77878_tn_0,,,1,8582,p_8976,,,,2.25t+5.00,1.5t+3.00,2880.00,Call 802-748-8170 two days before your trip to request pickup.,Call 802-748-8170 two days before your trip to request drop off.,"Wait in a safe, visible and low speed zone area and flag the bus from the side of the road. Pickups are at the driver’s discretion.",Please communicate with the driver about your desired drop off. It is at the driver’s discretion to determine a safe location to stop.,,
1386,c_2676_b_77879_d_8,t_85549_b_77879_tn_0,,,0,8583,p_8973,,,,2.25t+5.00,1.5t+3.00,2880.00,Call 802-748-8170 two days before your trip to request pickup.,Call 802-748-8170 two days before your trip to request drop off.,"Wait in a safe, visible and low speed zone area and flag the bus from the side of the road. Pickups are at the driver’s discretion.",Please communicate with the driver about your desired drop off. It is at the driver’s discretion to determine a safe location to stop.,,
1386,c_2676_b_77879_d_8,t_85547_b_77879_tn_0,,,0,8582,p_8975,,,,2.25t+5.00,1.5t+3.00,2880.00,Call 802-748-8170 two days before your trip to request pickup.,Call 802-748-8170 two days before your trip to request drop off.,"Wait in a safe, visible and low speed zone area and flag the bus from the side of the road. Pickups are at the driver’s discretion.",Please communicate with the driver about your desired drop off. It is at the driver’s discretion to determine a safe location to stop.,,
1386,c_2676_b_77879_d_8,t_85550_b_77879_tn_0,,,1,8583,p_8974,,,,2.25t+5.00,1.5t+3.00,2880.00,Call 802-748-8170 two days before your trip to request pickup.,Call 802-748-8170 two days before your trip to request drop off.,"Wait in a safe, visible and low speed zone area and flag the bus from the side of the road. Pickups are at the driver’s discretion.",Please communicate with the driver about your desired drop off. It is at the driver’s discretion to determine a safe location to stop.,,
1386,c_2676_b_77879_d_8,t_146179_b_77879_tn_0,,,1,8582,p_8976,,,,2.25t+5.00,1.5t+3.00,2880.00,Call 802-748-8170 two days before your trip to request pickup.,Call 802-748-8170 two days before your trip to request drop off.,"Wait in a safe, visible and low speed zone area and flag the bus from the side of the road. Pickups are at the driver’s discretion.",Please communicate with the driver about your desired drop off. It is at the driver’s discretion to determine a safe location to stop.,,
1386,c_2676_b_77880_d_8,t_85547_b_77880_tn_0,,,0,8582,p_8975,,,,2.25t+5.00,1.5t+3.00,2880.00,Call 802-748-8170 two days before your trip to request pickup.,Call 802-748-8170 two days before your trip to request drop off.,"Wait in a safe, visible and low speed zone area and flag the bus from the side of the road. Pickups are at the driver’s discretion.",Please communicate with the driver about your desired drop off. It is at the driver’s discretion to determine a safe location to stop.,,
1386,c_2676_b_77880_d_8,t_85549_b_77880_tn_0,,,0,8583,p_8973,,,,2.25t+5.00,1.5t+3.00,2880.00,Call 802-748-8170 two days before your trip to request pickup.,Call 802-748-8170 two days before your trip to request drop off.,"Wait in a safe, visible and low speed zone area and flag the bus from the side of the road. Pickups are at the driver’s discretion.",Please communicate with the driver about your desired drop off. It is at the driver’s discretion to determine a safe location to stop.,,
1386,c_2676_b_77880_d_8,t_85550_b_77880_tn_0,,,1,8583,p_8974,,,,2.25t+5.00,1.5t+3.00,2880.00,Call 802-748-8170 two days before your trip to request pickup.,Call 802-748-8170 two days before your trip to request drop off.,"Wait in a safe, visible and low speed zone area and flag the bus from the side of the road. Pickups are at the driver’s discretion.",Please communicate with the driver about your desired drop off. It is at the driver’s discretion to determine a safe location to stop.,,
1386,c_2676_b_77880_d_8,t_146179_b_77880_tn_0,,,1,8582,p_8976,,,,2.25t+5.00,1.5t+3.00,2880.00,Call 802-748-8170 two days before your trip to request pickup.,Call 802-748-8170 two days before your trip to request drop off.,"Wait in a safe, visible and low speed zone area and flag the bus from the side of the road. Pickups are at the driver’s discretion.",Please communicate with the driver about your desired drop off. It is at the driver’s discretion to determine a safe location to stop.,,
1386,c_2676_b_77881_d_8,t_85549_b_77881_tn_0,,,0,8583,p_8973,,,,2.25t+5.00,1.5t+3.00,2880.00,Call 802-748-8170 two days before your trip to request pickup.,Call 802-748-8170 two days before your trip to request drop off.,"Wait in a safe, visible and low speed zone area and flag the bus from the side of the road. Pickups are at the driver’s discretion.",Please communicate with the driver about your desired drop off. It is at the driver’s discretion to determine a safe location to stop.,,
1386,c_2676_b_77881_d_8,t_85547_b_77881_tn_0,,,0,8582,p_8975,,,,2.25t+5.00,1.5t+3.00,2880.00,Call 802-748-8170 two days before your trip to request pickup.,Call 802-748-8170 two days before your trip to request drop off.,"Wait in a safe, visible and low speed zone area and flag the bus from the side of the road. Pickups are at the driver’s discretion.",Please communicate with the driver about your desired drop off. It is at the driver’s discretion to determine a safe location to stop.,,
1386,c_2676_b_77881_d_8,t_85550_b_77881_tn_0,,,1,8583,p_8974,,,,2.25t+5.00,1.5t+3.00,2880.00,Call 802-748-8170 two days before your trip to request pickup.,Call 802-748-8170 two days before your trip to request drop off.,"Wait in a safe, visible and low speed zone area and flag the bus from the side of the road. Pickups are at the driver’s discretion.",Please communicate with the driver about your desired drop off. It is at the driver’s discretion to determine a safe location to stop.,,
1386,c_2676_b_77881_d_8,t_146179_b_77881_tn_0,,,1,8582,p_8976,,,,2.25t+5.00,1.5t+3.00,2880.00,Call 802-748-8170 two days before your trip to request pickup.,Call 802-748-8170 two days before your trip to request drop off.,"Wait in a safe, visible and low speed zone area and flag the bus from the side of the road. Pickups are at the driver’s discretion.",Please communicate with the driver about your desired drop off. It is at the driver’s discretion to determine a safe location to stop.,,
1386,c_2676_b_77882_d_8,t_85549_b_77882_tn_0,,,0,8583,p_8973,,,,2.25t+5.00,1.5t+3.00,2880.00,Call 802-748-8170 two days before your trip to request pickup.,Call 802-748-8170 two days before your trip to request drop off.,"Wait in a safe, visible and low speed zone area and flag the bus from the side of the road. Pickups are at the driver’s discretion.",Please communicate with the driver about your desired drop off. It is at the driver’s discretion to determine a safe location to stop.,,
1386,c_2676_b_77882_d_8,t_85547_b_77882_tn_0,,,0,8582,p_8975,,,,2.25t+5.00,1.5t+3.00,2880.00,Call 802-748-8170 two days before your trip to request pickup.,Call 802-748-8170 two days before your trip to request drop off.,"Wait in a safe, visible and low speed zone area and flag the bus from the side of the road. Pickups are at the driver’s discretion.",Please communicate with the driver about your desired drop off. It is at the driver’s discretion to determine a safe location to stop.,,
1386,c_2676_b_77882_d_8,t_85550_b_77882_tn_0,,,1,8583,p_8974,,,,2.25t+5.00,1.5t+3.00,2880.00,Call 802-748-8170 two days before your trip to request pickup.,Call 802-748-8170 two days before your trip to request drop off.,"Wait in a safe, visible and low speed zone area and flag the bus from the side of the road. Pickups are at the driver’s discretion.",Please communicate with the driver about your desired drop off. It is at the driver’s discretion to determine a safe location to stop.,,
1386,c_2676_b_77882_d_8,t_146179_b_77882_tn_0,,,1,8582,p_8976,,,,2.25t+5.00,1.5t+3.00,2880.00,Call 802-748-8170 two days before your trip to request pickup.,Call 802-748-8170 two days before your trip to request drop off.,"Wait in a safe, visible and low speed zone area and flag the bus from the side of the road. Pickups are at the driver’s discretion.",Please communicate with the driver about your desired drop off. It is at the driver’s discretion to determine a safe location to stop.,,
1386,c_2676_b_77883_d_8,t_85549_b_77883_tn_0,,,0,8583,p_8973,,,,2.25t+5.00,1.5t+3.00,2880.00,Call 802-748-8170 two days before your trip to request pickup.,Call 802-748-8170 two days before your trip to request drop off.,"Wait in a safe, visible and low speed zone area and flag the bus from the side of the road. Pickups are at the driver’s discretion.",Please communicate with the driver about your desired drop off. It is at the driver’s discretion to determine a safe location to stop.,,
1386,c_2676_b_77883_d_8,t_85547_b_77883_tn_0,,,0,8582,p_8975,,,,2.25t+5.00,1.5t+3.00,2880.00,Call 802-748-8170 two days before your trip to request pickup.,Call 802-748-8170 two days before your trip to request drop off.,"Wait in a safe, visible and low speed zone area and flag the bus from the side of the road. Pickups are at the driver’s discretion.",Please communicate with the driver about your desired drop off. It is at the driver’s discretion to determine a safe location to stop.,,
