runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
100000,c_67720_b_78325_d_31,511001,511001,1,1_1,1129627,1_17,1129674
1000000,c_67720_b_78325_d_31,511011,511011,1,11_1,1243482,11_6,1202026
1100000,c_67720_b_78325_d_31,511012,511012,1,12_1,1130684,12_7A,1129627
1200000,c_67720_b_78325_d_31,511013,511013,1,13_1,1208448,13_7A,1129627
1300000,c_67720_b_78325_d_31,511014,511014,1,14_1,1231839,14_8B,1129627
1400000,c_67720_b_78325_d_31,511108,511108,1,108_1,1129627,108_8,1129627
1500000,c_67720_b_78325_d_31,511982,511982,1,982_1,1129674,982_11,6090736
1600000,c_67720_b_78325_d_31,512001,512001,1,1_2,1129674,1_15,1129674
1700000,c_67720_b_78325_d_31,521001,521001,1,1_18,1129674,1_33,1129627
1800000,c_67720_b_78325_d_31,521002,521002,1,2_8,1129674,2_14,1129674
1900000,c_67720_b_78325_d_31,521003,521003,1,3_6,1195928,2_13,1129674
200000,c_67720_b_78325_d_31,511002,511002,1,2_2,1129674,2_7,1129674
2000000,c_67720_b_78325_d_31,521004,521004,1,4_8A,1129674,4_13B,1129674
2100000,c_67720_b_78325_d_31,521005,521005,1,5_8A,1129674,5_13B,1129674
2200000,c_67720_b_78325_d_31,521006,521006,1,6_7A,1129674,6_12B,1129674
2300000,c_67720_b_78325_d_31,521007,521007,1,7_9A,1129674,7_17B,1129674
2400000,c_67720_b_78325_d_31,521008,521008,1,8_8,1204199,8_16,1204199
2500000,c_67720_b_78325_d_31,521009,521009,1,9_15,1231395,9_29,1129674
2600000,c_67720_b_78325_d_31,521011,521011,1,11_7,1202026,11_14,1243482
2700000,c_67720_b_78325_d_31,521012,521012,1,12_7B,1129627,12_14,1129627
2800000,c_67720_b_78325_d_31,521013,521013,1,13_8,1129627,13_15,1129627
2900000,c_67720_b_78325_d_31,521014,521014,1,14_9A,1129627,15_4,1129627
300000,c_67720_b_78325_d_31,511003,511003,1,2_1,1129674,3_5,1195928
3000000,c_67720_b_78325_d_31,521108,521108,1,108_9,1129627,108_17,1145546
3100000,c_67720_b_78325_d_31,521982,521982,1,982_12,6090736,982_24,1129674
3200000,c_67720_b_78325_d_31,522001,522001,1,1_20,1129674,1_34,1129674
3300000,c_67720_b_78325_d_32,611001,611001,1,1_100,1129674,1_107,1129674
3400000,c_67720_b_78325_d_32,611002,611002,1,2_100,1129674,2_104,1129627
3500000,c_67720_b_78325_d_32,611004,611004,1,4_100A,1129674,4_104B,1129674
3600000,c_67720_b_78325_d_32,611005,611005,1,5_100A,1129674,5_107B,1129674
3700000,c_67720_b_78325_d_32,611006,611006,1,6_100A,1129674,6_107B,1129674
3800000,c_67720_b_78325_d_32,611007,611007,1,7_100A,1129674,7_106B,1129674
3900000,c_67720_b_78325_d_32,611008,611008,1,9_100,1129674,8_106,1204199
400000,c_67720_b_78325_d_31,511004,511004,1,4_1A,1129674,4_7B,1129674
4000000,c_67720_b_78325_d_32,611009,611009,1,9_101,1129674,9_113,1231395
4100000,c_67720_b_78325_d_32,611011,611011,1,11_100,1243482,11_105,1202026
4200000,c_67720_b_78325_d_32,611012,611012,1,12_100A,1129627,12_103B,1129627
4300000,c_67720_b_78325_d_32,611013,611013,1,13_100,1129627,13_104A,1129627
4400000,c_67720_b_78325_d_32,611014,611014,1,14_100A,1129627,14_105B,1129627
4500000,c_67720_b_78325_d_32,611108,611108,1,108_100,1129627,108_107,1129627
4600000,c_67720_b_78325_d_32,611982,611982,1,982_100,1129674,982_110,6090736
4700000,c_67720_b_78325_d_32,612108,612108,1,108_108,1129627,108_110,6090735
4800000,c_67720_b_78325_d_32,621001,621001,1,1_108,1129674,1_116,1129627
4900000,c_67720_b_78325_d_32,621002,621002,1,2_105,1129627,2_111,1129674
500000,c_67720_b_78325_d_31,511005,511005,1,5_1A,1129674,5_7B,1129674
5000000,c_67720_b_78325_d_32,621004,621004,1,4_105A,1129674,4_111B,1129674
5100000,c_67720_b_78325_d_32,621007,621007,1,7_107A,1129674,7_116B,1129674
5200000,c_67720_b_78325_d_32,621008,621008,1,8_107,1204199,8_115,1204199
5300000,c_67720_b_78325_d_32,621009,621009,1,9_114,1231395,9_128,1129674
5400000,c_67720_b_78325_d_32,621011,621011,1,11_106,1202026,11_112,1243482
5500000,c_67720_b_78325_d_32,621012,621012,1,12_104A,1129627,12_110B,1129627
5600000,c_67720_b_78325_d_32,621013,621013,1,13_104B,1129627,13_111,1129627
5700000,c_67720_b_78325_d_32,621014,621014,1,14_106A,1129627,15_103,1129627
5800000,c_67720_b_78325_d_32,621982,621982,1,982_111,6090736,982_123,1129674
5900000,c_67720_b_78325_d_32,622108,622108,1,108_111,6090735,108_116,6090735
600000,c_67720_b_78325_d_31,511006,511006,1,6_1A,1129674,6_6B,1129674
700000,c_67720_b_78325_d_31,511007,511007,1,7_1A,1129674,7_8B,1129674
800000,c_67720_b_78325_d_31,511008,511008,1,9_1,1129674,8_7,1204199
900000,c_67720_b_78325_d_31,511009,511009,1,9_2,1129674,9_14,1231395
