stop_id,stop_city
1131687,Norwich
1143343,Groton
1138751,Norwich
1204203,Lisbon
1128064,Norwich
6091740,Norwich
1230462,Franklin
1130685,Waterford
1293188,Norwich
1204220,Griswold
1205056,Groton
1243494,Groton
1204208,Griswold
1145528,Groton
1201983,Norwich
1230449,Norwich
1129628,New London
1195924,East Lyme
1243519,Groton
1329965,Norwich
4516337,Norwich
1230971,Norwich
1243506,Groton
1230964,Norwich
1133267,Waterford
1289335,Norwich
1243498,Groton
1202026,Groton
1230995,Norwich
1195939,Waterford
1195931,East Lyme
1230446,Norwich
1128067,Norwich
1194185,Stonington
1243512,Groton
1230754,Norwich
1289342,Norwich
1231542,Mystic
1202031,Groton
1194192,Mystic
1208449,New London
1204200,Lisbon
1208429,New London
1231056,Griswold
1195922,East Lyme
1201989,Norwich
1134612,Norwich
1128085,Montville
1231401,Lisbon
1231395,Lisbon
1230753,Norwich
1210267,Waterford
1195935,East Lyme
1243486,Groton
1195937,East Lyme
1231575,Pawcatuck
1231572,Pawcatuck
1134601,Norwich
1230478,Norwich
1204207,Griswold
4056068,Franklin
1131696,Norwich
1789703,New London
1208450,New London
1202035,Groton
1128099,Waterford
1143327,North Stonington
1208440,New London
1134606,Norwich
1125695,Norwich
1131690,Norwich
1231570,Pawcatuck
1195952,Waterford
1243475,Groton
1243508,Groton
1131702,Norwich
1131692,Norwich
1230972,Norwich
1231573,Pawcatuck
1202029,Groton
1329976,Waterford
1210252,New London
1195927,East Lyme
1204213,Griswold
1129640,New London
1128066,Norwich
1235630,New London
1210258,New London
1201990,Norwich
1195956,Waterford
1129632,New London
1128107,New London
1230740,Norwich
1128075,Norwich
1230968,Norwich
1195920,East Lyme
1231850,New London
1225007,Groton
1195940,Waterford
1195929,East Lyme
1143323,North Stonington
1128112,New London
1243469,Groton
1134609,Norwich
1289341,Norwich
1230978,Norwich
1210251,New London
1232212,New London
1232218,New London
1138749,Norwich
1131701,Norwich
1195928,East Lyme
1128065,Norwich
1202023,Groton
1243491,Groton
1129652,Montville
1129650,Montville
1230755,Norwich
1195948,Waterford
1194179,Pawcatuck
1231837,Waterford
1230464,Norwich
1210268,Waterford
1143342,Groton
1232211,New London
1329979,New London
1231543,Mystic
1235629,New London
1231544,Stonington
1137988,Norwich
1289322,Montville
1231549,Pawcatuck
1243470,Groton
1202033,Groton
1231059,Griswold
1230743,Norwich
1207786,New London
1129657,Montville
1208458,New London
1208457,New London
1195945,Waterford
1204219,Griswold
1230459,Norwich
1202028,Groton
1129656,Montville
1243501,Groton
1225000,Ledyard
1212738,Ledyard
1243497,Groton
1230450,Norwich
1202022,Groton
1329939,East Lyme
1230970,Norwich
1129662,Norwich
1207784,New London
1194187,Mystic
1125693,Norwich
1231853,New London
1627253,Norwich
1195960,New London
1329978,Waterford
1137995,Norwich
1293187,Norwich
1243478,Groton
1134595,Norwich
1233788,Norwich
1145546,Ledyard
1232224,New London
1232209,New London
1212728,Groton
1130688,Waterford
1208452,New London
1231838,New London
1230470,Norwich
1194180,Stonington
1131694,Norwich
1138747,Norwich
1143333,Stonington
1230466,Norwich
1130678,New London
1137993,Norwich
1230438,Norwich
1231836,Waterford
1204217,Griswold
1243489,Groton
1212731,Groton
1195955,Waterford
1230974,Norwich
1232225,New London
1231060,Griswold
1231545,Stonington
1329940,East Lyme
1230757,Norwich
1129630,New London
1329971,Norwich
1243479,Groton
1134604,Norwich
1130687,Waterford
1212729,Groton
1129642,Waterford
1129633,New London
1230748,Norwich
1208442,New London
1202025,Groton
1231852,New London
1208434,New London
1134603,Norwich
1129639,New London
1235633,New London
1129648,Montville
1128068,Norwich
1130682,New London
1131698,Norwich
1194174,Pawcatuck
1131689,Norwich
1329927,Groton
1143324,North Stonington
1145537,North Stonington
1195965,New London
1129666,Norwich
1230448,Norwich
1145535,Stonington
1128063,Norwich
1137996,Norwich
1195957,Waterford
1232204,New London
1210265,Waterford
1129673,Norwich
1225005,Groton
1230452,Norwich
1130681,New London
1138752,Norwich
1195941,Waterford
1129664,Norwich
1289311,New London
1212742,Norwich
1145545,North Stonington
1225001,Ledyard
1128076,Norwich
1230440,Norwich
1231855,New London
1195964,New London
1145530,Groton
1329938,East Lyme
1208445,New London
1201991,Norwich
1243503,Groton
1137989,Norwich
1194176,Pawcatuck
1129645,Montville
3168128,New London
1212733,Groton
1208447,New London
1245504,Groton
1212725,Groton
1230966,Norwich
1289337,Norwich
1243481,Groton
