runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
100000,c_18121_b_34368_d_31,3842,1,1,t_1964799_b_34368_tn_1,767641,t_1964809_b_34368_tn_10,767641
1000000,c_21840_b_77725_d_31,3792,10,1,t_1522839_b_77725_tn_0,771510,t_1522840_b_77725_tn_0,767641
1100000,c_21840_b_77725_d_31,3793,11,1,t_1522841_b_77725_tn_0,767641,t_1522844_b_77725_tn_0,767664
1200000,c_21840_b_77725_d_31,3794,12,1,t_1512715_b_77725_tn_0,771506,t_1512715_b_77725_tn_0,783932
1300000,c_21841_b_77729_d_31,3800,13,1,t_1521276_b_77729_tn_0,767641,t_1521272_b_77729_tn_0,767641
1400000,c_21841_b_77729_d_31,3801,14,1,t_1521275_b_77729_tn_0,771518,t_1521271_b_77729_tn_0,771518
1500000,c_21843_b_77740_d_31,3796,15,1,t_1514541_b_77740_tn_0,767641,t_1514546_b_77740_tn_0,767641
1600000,c_21843_b_77740_d_31,3797,16,1,t_1514543_b_77740_tn_0,767641,t_1514550_b_77740_tn_0,767641
1700000,c_21850_b_77749_d_31,3800,17,1,t_1521270_b_77749_tn_0,767641,t_1521266_b_77749_tn_0,767641
1800000,c_21850_b_77749_d_31,3801,18,1,t_1521269_b_77749_tn_0,771518,t_1521265_b_77749_tn_0,771518
1900000,c_21860_b_77738_d_31,3792,19,1,t_1522865_b_77738_tn_0,771510,t_1522866_b_77738_tn_0,767641
200000,c_18121_b_34368_d_96,3842,2,1,t_1964797_b_34368_tn_1,767641,t_894666_b_34368_tn_11,767641
2000000,c_21860_b_77738_d_31,3793,20,1,t_1522867_b_77738_tn_0,767641,t_1522868_b_77738_tn_0,767664
2100000,c_24099_b_33645_d_31,110829,21,1,t_2025810_b_33645_tn_0,771569,t_2025929_b_33645_tn_0,771569
2200000,c_24099_b_33645_d_31,110830,22,1,t_2025930_b_33645_tn_0,771569,t_2025814_b_33645_tn_0,771569
2300000,c_24099_b_33645_d_31,110831,23,1,t_2025815_b_33645_tn_0,771569,t_2025935_b_33645_tn_0,771569
2400000,c_24099_b_33645_d_31,110952,24,1,t_2025870_b_33645_tn_0,2502576,t_2025906_b_33645_tn_0,2502576
2500000,c_24099_b_33645_d_31,110953,25,1,t_2025834_b_33645_tn_0,2502576,t_2025818_b_33645_tn_0,771611
2600000,c_24099_b_33645_d_31,20914,26,1,t_2025817_b_33645_tn_0,771611,t_2025825_b_33645_tn_0,2502576
2700000,c_24099_b_33645_d_31,20915,27,1,t_2025947_b_33645_tn_0,771630,t_2025946_b_33645_tn_0,2502576
2800000,c_24099_b_33645_d_31,2149,28,1,t_2025927_b_33645_tn_1,771531,t_2025927_b_33645_tn_4,771589
2900000,c_24099_b_33645_d_31,2150,29,1,t_2025881_b_33645_tn_0,771538,t_2025880_b_33645_tn_0,771547
300000,c_18121_b_34368_d_96,3845,3,1,t_894663_b_34368_tn_1,767641,t_894665_b_34368_tn_5,767641
3000000,c_24099_b_33645_d_31,2152,30,1,t_2025928_b_33645_tn_0,771531,t_2025928_b_33645_tn_0,771589
3100000,c_24099_b_33645_d_31,2154,31,1,t_2025905_b_33645_tn_0,771547,t_2025807_b_33645_tn_0,771547
3200000,c_24099_b_33645_d_31,2155,32,1,t_2025902_b_33645_tn_0,771547,t_2025884_b_33645_tn_0,771547
3300000,c_24099_b_33645_d_31,2156,33,1,t_2025920_b_33645_tn_0,771547,t_2025925_b_33645_tn_0,771546
3400000,c_24099_b_33645_d_31,2157,34,1,t_2025922_b_33645_tn_0,771547,t_2025923_b_33645_tn_0,771544
3500000,c_24099_b_33645_d_31,2291,35,1,t_2025898_b_33645_tn_0,771644,t_2025896_b_33645_tn_0,2501520
3600000,c_24099_b_33645_d_31,2292,36,1,t_5242337_b_33645_tn_0,2501520,t_2025940_b_33645_tn_0,771624
3700000,c_24099_b_33645_d_32,111025,37,1,t_2025850_b_33645_tn_0,771611,t_2025957_b_33645_tn_0,771644
3800000,c_24099_b_33645_d_32,111026,38,1,t_2025846_b_33645_tn_0,771644,t_2025934_b_33645_tn_0,771611
400000,c_20222_b_6745_d_127,3799,4,1,t_5242339_b_6745_tn_0,771510,t_49830_b_6745_tn_0,767664
500000,c_20222_b_6745_d_96,3798,5,1,t_1223225_b_6745_tn_0,767641,t_1223223_b_6745_tn_0,767641
600000,c_20222_b_6745_d_96,3799,6,1,t_1223224_b_6745_tn_0,767641,t_1223226_b_6745_tn_0,767641
700000,c_21839_b_77721_d_31,3794,7,1,t_5371134_b_77721_tn_0,783932,t_1521278_b_77721_tn_0,767641
800000,c_21839_b_77721_d_31,3796,8,1,t_1521264_b_77721_tn_0,767641,t_1521259_b_77721_tn_0,767641
900000,c_21839_b_77721_d_31,3797,9,1,t_1521256_b_77721_tn_0,767641,t_1544231_b_77721_tn_0,767641
