stop_id,stop_city
771683,Springfield
2435219,Hanover
771649,Springfield
807752,Springfield
771678,Dover
772510,Springfield
771603,Springfield
3449321,Manchester Center
771608,Westminster Station
771645,Springfield
2555700,Brattleboro
771669,Springfield
771536,Springfield
771626,Springfield
771515,Springfield
771627,Brattleboro
3463437,Guilford Center
771618,Brattleboro
771625,Brattleboro
835859,Springfield
2501523,Brattleboro
771570,Hartford
771510,Springfield
835857,Springfield
771637,Brattleboro
771584,Springfield
771615,Brattleboro
767648,Wilmington
2501522,Brattleboro
2320933,Springfield
771668,Springfield
772504,Springfield
781034,Springfield
772508,Springfield
771539,North Walpole
771687,Springfield
767650,Wilmington
771564,Hanover
771583,Springfield
771561,Hanover
835856,Springfield
849871,Springfield
767652,Wilmington
771612,Brattleboro
807746,Springfield
2392438,Springfield
771543,Rockingham
771642,Brattleboro
771604,Springfield
771542,Rockingham
2530394,Medburyville
2501520,Brattleboro
771582,Springfield
767642,Wilmington
835862,Springfield
783933,Springfield
771677,Dover
771588,Springfield
2320931,Springfield
771690,Springfield
771659,Springfield
783932,Springfield
2501545,Brattleboro
2387290,Hinsdale
771597,Springfield
771689,Springfield
772511,Springfield
771528,Springfield
771673,Dover
771638,Brattleboro
771652,Springfield
2526204,Brattleboro
771589,Springfield
771616,Springfield
835860,Springfield
771691,Springfield
2501521,Brattleboro
807741,Springfield
771619,Brattleboro
2320156,Springfield
767655,West Dover
771569,Rockingham
771548,East Putney
767653,Dover
3463436,Dummerston
767643,Wilmington
771674,Dover
3461969,Brattleboro
807740,Springfield
771639,Brattleboro
2394587,Gassetts
771671,Springfield
771592,Springfield
835852,Springfield
771629,Brattleboro
771632,Springfield
781035,Springfield
772505,Springfield
772529,Springfield
2392441,Springfield
771598,Brattleboro
835853,Springfield
807747,Springfield
771587,Springfield
771593,Lebanon
771545,Rockingham
767656,West Dover
771531,Springfield
807755,Springfield
771516,Springfield
771566,Springfield
767645,Springfield
3449920,Manchester Center
771529,Smithville
771609,Rockingham
3461722,Newfane
771552,Westminster Station
771549,Brattleboro
771607,Rockingham
771665,Springfield
767661,Medburyville
835861,Springfield
771532,Springfield
771557,Springfield
835855,Springfield
771685,Springfield
771555,Springfield
2320930,Springfield
767663,Springfield
771622,Springfield
771581,Lebanon
772507,Springfield
2320928,Springfield
771643,Brattleboro
771680,Dover
2501725,Brattleboro
2320157,Springfield
767665,Wilmington
2320154,Springfield
3449320,Stratton
771577,Windsor
2392440,Gassetts
807743,Springfield
771558,Springfield
771518,Springfield
767666,Wilmington
771620,Springfield
2501513,Brattleboro
771575,Springfield
771571,Springfield
771535,Springfield
2320161,Springfield
771611,Brattleboro
2501525,Brattleboro
2394584,Springfield
2320932,Springfield
771613,Brattleboro
767647,Wilmington
771614,Brattleboro
771594,Springfield
772512,Springfield
2501517,Brattleboro
771534,Brattleboro
2320160,Springfield
771684,Springfield
771562,Lebanon
2320929,Springfield
767651,West Dover
2555699,Westminster Station
771533,Springfield
767657,Wilmington
771590,Springfield
771579,Lebanon
771538,Springfield
771675,Dover
3449322,Manchester Center
2320946,Dover
772509,Springfield
2392439,Springfield
771606,Rockingham
771634,Springfield
2502576,Brattleboro
771651,Springfield
3449222,Dover
771628,Brattleboro
771507,Springfield
835851,Springfield
771591,Springfield
771681,Springfield
807744,Springfield
767662,Springfield
771605,Springfield
771692,Springfield
771530,North Chester
771578,Lebanon
771567,Springfield
767669,Wilmington
771506,Springfield
771670,Springfield
771544,Springfield
771693,Springfield
771624,Brattleboro
771648,Grahamville
2394585,Springfield
807745,Springfield
771599,Brattleboro
771563,Springfield
771600,Springfield
771610,Rockingham
771568,Ludlow
771617,Springfield
771650,Springfield
772503,Springfield
772506,Springfield
835854,Springfield
2320152,Springfield
3449323,Manchester Center
2502580,Hinsdale
767644,West Dover
771559,Rockingham
2320165,Springfield
767660,Wilmington
807742,Springfield
807757,Springfield
771662,Springfield
771511,Springfield
2435217,Springfield
771602,Springfield
807754,Springfield
807753,Springfield
771585,Springfield
771688,Springfield
771663,Springfield
771537,Rockingham
771550,Westminster Station
3449921,Manchester Center
771646,Springfield
807756,Springfield
771641,Brattleboro
771660,Springfield
771664,Springfield
771576,Lebanon
771621,Brattleboro
771661,Springfield
2320159,Dover
771565,Springfield
835858,Springfield
2435218,Springfield
771686,Springfield
771682,West Dover
771676,Dover
2555698,Brattleboro
771631,Dole Junction
767668,Springfield
2392437,Rockingham
771556,Springfield
771596,Springfield
2320158,Springfield
771658,Springfield
771586,Springfield
2456218,Brattleboro
2320153,Springfield
771635,Hinsdale
771601,Springfield
771630,Dole Junction
767659,Springfield
3449324,Manchester Center
771640,Brattleboro
807749,Springfield
771573,Hanover
2392442,Springfield
771560,Rockingham
2320164,Springfield
767649,Wilmington
771672,Dover
771633,Hinsdale
771644,Brattleboro
2320151,Springfield
771595,Springfield
771517,Springfield
771540,Cold River
771547,Springfield
771623,Brattleboro
807751,Springfield
2501526,Brattleboro
771541,Springfield
2752247,Marlboro
771512,Springfield
767646,West Dover
2501518,Brattleboro
767664,Springfield
771679,Dover
771580,Lebanon
771553,Springfield
771572,Hanover
767641,Wilmington
2320155,Springfield
767667,Wilmington
771636,Brattleboro
771574,Cavendish
807748,Springfield
767670,West Dover
771546,Springfield
771551,Rockingham
