trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,start_pickup_dropoff_window,end_pickup_dropoff_window,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset,tts_stop_headsign,min_arrival_time,max_departure_time
t_1223223_b_6745_tn_0,09:45:00,09:45:00,2502576,1,,0,0,0,1,,,,,3,3,,,,,,,,,,,
t_1223223_b_6745_tn_0,09:50:00,09:50:00,771516,2,,3,3,1312.77747426951,1,,,,,3,3,,,,,,,,,,,
t_1223223_b_6745_tn_0,09:58:50,09:58:50,849871,3,,0,0,8437.88488061435,0,,,,,3,3,,,,,,,,,,,
t_1223223_b_6745_tn_0,10:00:37,10:00:37,835860,4,,0,0,9873.89677411193,0,,,,,3,3,,,,,,,,,,,
t_1223223_b_6745_tn_0,10:24:32,10:24:32,835858,5,,0,0,29132.9058145153,0,,,,,3,3,,,,,,,,,,,
t_1223223_b_6745_tn_0,10:30:00,10:30:00,767641,6,,0,0,33533.27514192,1,,,,,3,3,,,,,,,,,,,
t_1223224_b_6745_tn_0,15:00:00,15:00:00,767641,1,,0,0,0,1,,,,,3,3,,,,,,,,,,,
t_1223224_b_6745_tn_0,15:06:46,15:06:46,835857,2,,0,0,4660.72076216818,0,,,,,3,3,,,,,,,,,,,
t_1223224_b_6745_tn_0,15:34:13,15:34:13,835859,3,,0,0,23538.6757962461,0,,,,,3,3,,,,,,,,,,,
t_1223224_b_6745_tn_0,15:36:31,15:36:31,835861,4,,0,0,25119.8727340064,0,,,,,3,3,,,,,,,,,,,
t_1223224_b_6745_tn_0,15:45:00,15:45:00,2502576,5,,0,0,30951.52208903,1,,,,,3,3,,,,,,,,,,,
t_1223225_b_6745_tn_0,09:00:00,09:00:00,767641,1,,0,0,0,1,,,,,3,3,,,,,,,,,,,
t_1223225_b_6745_tn_0,09:06:46,09:06:46,835857,2,,0,0,4660.72076216818,0,,,,,3,3,,,,,,,,,,,
t_1223225_b_6745_tn_0,09:34:13,09:34:13,835859,3,,0,0,23538.6757962461,0,,,,,3,3,,,,,,,,,,,
t_1223225_b_6745_tn_0,09:36:31,09:36:31,835861,4,,0,0,25119.8727340064,0,,,,,3,3,,,,,,,,,,,
t_1223225_b_6745_tn_0,09:45:00,09:45:00,2502576,5,,0,0,30951.52208903,1,,,,,3,3,,,,,,,,,,,
t_1223226_b_6745_tn_0,15:45:00,15:45:00,2502576,1,,0,0,0,1,,,,,3,3,,,,,,,,,,,
t_1223226_b_6745_tn_0,15:46:45,15:46:45,771516,2,,3,3,1312.77747426951,0,,,,,3,3,,,,,,,,,,,
t_1223226_b_6745_tn_0,15:56:19,15:56:19,849871,3,,0,0,8437.88488061435,0,,,,,3,3,,,,,,,,,,,
t_1223226_b_6745_tn_0,15:58:14,15:58:14,835860,4,,0,0,9873.89677411193,0,,,,,3,3,,,,,,,,,,,
t_1223226_b_6745_tn_0,16:24:05,16:24:05,835858,5,,0,0,29132.9058145153,0,,,,,3,3,,,,,,,,,,,
t_1223226_b_6745_tn_0,16:30:00,16:30:00,767641,6,,0,0,33533.27514192,1,,,,,3,3,,,,,,,,,,,
t_1512715_b_77725_tn_0,07:00:00,07:00:00,771506,1,,0,0,0,1,,,,,3,3,,,,,,,,,,,
t_1512715_b_77725_tn_0,07:15:00,07:15:00,771507,2,,0,0,7330.19946885422,1,,,,,3,3,,,,,,,,,,,
t_1512715_b_77725_tn_0,07:19:00,07:19:00,767645,3,,0,0,9117.35881600784,1,,,,,3,3,,,,,,,,,,,
t_1512715_b_77725_tn_0,07:26:57,07:26:57,767660,4,,0,0,16447.1182566952,0,,,,,3,3,,,,,,,,,,,
t_1512715_b_77725_tn_0,07:29:30,07:29:30,767661,5,,0,0,18791.0314814458,0,,,,,3,3,,,,,,,,,,,
t_1512715_b_77725_tn_0,07:29:44,07:29:44,767663,6,,0,0,18999.8838523947,0,,,,,3,3,,,,,,,,,,,
t_1512715_b_77725_tn_0,07:30:00,07:30:00,783932,7,,0,0,19240.60173625,1,,,,,3,3,,,,,,,,,,,
t_1514541_b_77740_tn_0,07:00:00,07:00:00,767641,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_1514541_b_77740_tn_0,07:40:00,07:40:00,2502576,2,,0,0,30936.06170081,1,,,,,1,1,,,,,,,,,,,
t_1514542_b_77740_tn_0,08:20:00,08:20:00,767641,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_1514542_b_77740_tn_0,09:00:00,09:00:00,2502576,2,,0,0,30936.06170081,1,,,,,1,1,,,,,,,,,,,
t_1514543_b_77740_tn_0,13:30:00,13:30:00,767641,1,,0,0,0,0,,,,,1,1,,,,,,,,,,,
t_1514543_b_77740_tn_0,14:20:00,14:20:00,2502576,2,,0,0,30936.06170081,0,,,,,1,1,,,,,,,,,,,
t_1514544_b_77740_tn_0,16:30:00,16:30:00,767641,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_1514544_b_77740_tn_0,17:10:00,17:10:00,2502576,2,,0,0,30936.06170081,1,,,,,1,1,,,,,,,,,,,
t_1514545_b_77740_tn_0,07:40:00,07:40:00,2502576,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_1514545_b_77740_tn_0,08:20:00,08:20:00,767641,2,,0,0,30607.81458861,1,,,,,1,1,,,,,,,,,,,
