route_id,direction_id,direction
74676,1,direction 1
74676,0,direction 0
74675,1,direction 1
74675,0,direction 0
74674,1,direction 1
74674,0,direction 0
74673,1,direction 1
74673,0,direction 0
74671,1,direction 1
74671,0,direction 0
74670,1,direction 1
74670,0,direction 0
74669,1,direction 1
74668,1,direction 1
74668,0,direction 0
74665,1,direction 1
74665,0,direction 0
74664,1,direction 1
74664,0,direction 0
74663,1,direction 1
74663,0,direction 0
74662,1,direction 1
74662,0,direction 0
74661,1,direction 1
74661,0,direction 0
74660,1,direction 1
74660,0,direction 0
74659,1,direction 1
74659,0,direction 0
74658,1,direction 1
74658,0,direction 0
74657,1,direction 1
74657,0,direction 0
74656,1,direction 1
74656,0,direction 0
74655,1,direction 1
74655,0,direction 0
74654,1,direction 1
74654,0,direction 0
74653,1,direction 1
74653,0,direction 0
74652,1,direction 1
74652,0,direction 0
74651,1,direction 1
74651,0,direction 0
