runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
100000,c_67662_b_78239_d_32,1296732,1,1,t_5387000_b_78239_tn_0,4152616,t_5384786_b_78239_tn_0,4152616
1000000,c_67662_b_78239_d_32,1296802,10,1,t_5385104_b_78239_tn_0,4152616,t_5387745_b_78239_tn_0,4152616
10000000,c_67669_b_78238_d_31,1296786,100,1,t_5386086_b_78238_tn_0,4153068,t_5386086_b_78238_tn_0,4153612
10100000,c_67669_b_78238_d_31,1296788,101,1,t_5386076_b_78238_tn_0,4153332,t_5386070_b_78238_tn_0,4153286
10200000,c_67669_b_78238_d_31,1296793,102,1,t_5386817_b_78238_tn_0,4153605,t_5385396_b_78238_tn_0,4153605
10300000,c_67669_b_78238_d_31,1296806,103,1,t_5386110_b_78238_tn_0,4153068,t_5386464_b_78238_tn_0,4153380
10400000,c_67669_b_78238_d_31,1296813,104,1,t_5385799_b_78238_tn_0,4153332,t_5385937_b_78238_tn_0,4153400
10500000,c_67669_b_78238_d_31,1296814,105,1,t_5385494_b_78238_tn_0,4152791,t_5385777_b_78238_tn_0,4153332
10600000,c_67669_b_78238_d_31,1296815,106,1,t_5385904_b_78238_tn_0,4153332,t_5385424_b_78238_tn_0,4153380
10700000,c_67669_b_78238_d_31,1296821,107,1,t_5387656_b_78238_tn_0,4153286,t_5386831_b_78238_tn_0,4153332
10800000,c_67669_b_78238_d_31,1296822,108,1,t_5384702_b_78238_tn_0,4153400,t_5386694_b_78238_tn_0,4153332
10900000,c_67669_b_78238_d_31,1296824,109,1,t_5385773_b_78238_tn_0,4153400,t_5386594_b_78238_tn_0,4153068
1100000,c_67662_b_78239_d_32,1296816,11,1,t_5386517_b_78239_tn_0,4152616,t_5387121_b_78239_tn_0,4152616
11000000,c_67669_b_78238_d_31,1296835,110,1,t_5386885_b_78238_tn_0,4153332,t_5385855_b_78238_tn_0,4153260
11100000,c_67669_b_78238_d_31,1296840,111,1,t_5385529_b_78238_tn_0,4153380,t_5386958_b_78238_tn_0,4152670
11200000,c_67669_b_78238_d_31,1296842,112,1,t_5385326_b_78238_tn_0,4153068,t_5385267_b_78238_tn_0,4153068
11300000,c_67669_b_78238_d_31,1296846,113,1,t_5387401_b_78238_tn_0,4152791,t_5386700_b_78238_tn_0,4153068
11400000,c_67669_b_78238_d_31,1296853,114,1,t_5387186_b_78238_tn_0,4153491,t_5387674_b_78238_tn_0,4153332
11500000,c_67669_b_78238_d_31,1296854,115,1,t_5386509_b_78238_tn_0,4153068,t_5385439_b_78238_tn_0,4153068
11600000,c_67669_b_78238_d_31,1296855,116,1,t_5385623_b_78238_tn_0,4153400,t_5387197_b_78238_tn_0,4153332
11700000,c_67669_b_78238_d_31,1296860,117,1,t_5387028_b_78238_tn_0,4153286,t_5384998_b_78238_tn_0,4153332
11800000,c_67669_b_78238_d_31,1296861,118,1,t_5385915_b_78238_tn_0,4153068,t_5384984_b_78238_tn_0,4153400
11900000,c_67669_b_78238_d_31,1296864,119,1,t_5387727_b_78238_tn_0,4152670,t_5385803_b_78238_tn_0,4153068
1200000,c_67662_b_78239_d_32,1296836,12,1,t_5387306_b_78239_tn_0,4152616,t_5386804_b_78239_tn_0,4152616
12000000,c_67669_b_78238_d_31,1296865,120,1,t_5386990_b_78238_tn_0,4153612,t_5386990_b_78238_tn_0,4153068
12100000,c_67669_b_78238_d_31,1296866,121,1,t_5385400_b_78238_tn_0,4153332,t_5384895_b_78238_tn_0,4152791
12200000,c_67669_b_78238_d_31,1296871,122,1,t_5385048_b_78238_tn_0,4153068,t_5386582_b_78238_tn_0,4152791
1300000,c_67662_b_78239_d_32,1296849,13,1,t_5386447_b_78239_tn_0,4152616,t_5385221_b_78239_tn_0,4152877
1400000,c_67662_b_78239_d_32,1296859,14,1,t_5384891_b_78239_tn_0,4152616,t_5386193_b_78239_tn_0,4152616
1500000,c_67665_b_78234_d_31,1296727,15,1,t_5385206_b_78234_tn_0,4152616,t_5385081_b_78234_tn_0,4152616
1600000,c_67665_b_78234_d_31,1296731,16,1,t_5384878_b_78234_tn_0,4152616,t_5384936_b_78234_tn_0,4152616
1700000,c_67665_b_78234_d_31,1296735,17,1,t_5387352_b_78234_tn_0,4152616,t_5386290_b_78234_tn_0,4152616
1800000,c_67665_b_78234_d_31,1296738,18,1,t_5385796_b_78234_tn_0,4152616,t_5386515_b_78234_tn_0,4152616
1900000,c_67665_b_78234_d_31,1296753,19,1,t_5384875_b_78234_tn_0,4152616,t_5385556_b_78234_tn_0,4152616
200000,c_67662_b_78239_d_32,1296739,2,1,t_5385052_b_78239_tn_0,4152616,t_5387584_b_78239_tn_0,4152616
2000000,c_67665_b_78234_d_31,1296755,20,1,t_5387147_b_78234_tn_0,4152616,t_5385650_b_78234_tn_0,4152692
2100000,c_67665_b_78234_d_31,1296770,21,1,t_5386422_b_78234_tn_0,4152616,t_5386273_b_78234_tn_0,4152877
2200000,c_67665_b_78234_d_31,1296773,22,1,t_5387194_b_78234_tn_0,4152661,t_5386712_b_78234_tn_0,4152616
2300000,c_67665_b_78234_d_31,1296774,23,1,t_5386149_b_78234_tn_0,4152616,t_5387035_b_78234_tn_0,4152616
2400000,c_67665_b_78234_d_31,1296776,24,1,t_5387002_b_78234_tn_0,4152582,t_5387002_b_78234_tn_0,4153034
2500000,c_67665_b_78234_d_31,1296783,25,1,t_5386094_b_78234_tn_0,4153191,t_5386094_b_78234_tn_0,4152616
2600000,c_67665_b_78234_d_31,1296799,26,1,t_5387182_b_78234_tn_0,4152616,t_5386071_b_78234_tn_0,4152616
2700000,c_67665_b_78234_d_31,1296803,27,1,t_5387178_b_78234_tn_0,4152616,t_5387330_b_78234_tn_0,4152692
2800000,c_67665_b_78234_d_31,1296804,28,1,t_5385905_b_78234_tn_0,4152616,t_5385791_b_78234_tn_0,4152616
2900000,c_67665_b_78234_d_31,1296805,29,1,t_5385712_b_78234_tn_0,4152616,t_5385182_b_78234_tn_0,4152616
300000,c_67662_b_78239_d_32,1296746,3,1,t_5386533_b_78239_tn_0,4152616,t_5385425_b_78239_tn_0,4152616
3000000,c_67665_b_78234_d_31,1296809,30,1,t_5385502_b_78234_tn_0,4152616,t_5384821_b_78234_tn_0,4152616
3100000,c_67665_b_78234_d_31,1296810,31,1,t_5386269_b_78234_tn_0,4152616,t_5384678_b_78234_tn_0,4152616
3200000,c_67665_b_78234_d_31,1296829,32,1,t_5385618_b_78234_tn_0,4152709,t_5387041_b_78234_tn_0,4152709
3300000,c_67665_b_78234_d_31,1296844,33,1,t_5386226_b_78234_tn_0,4152616,t_5387323_b_78234_tn_0,4152616
3400000,c_67665_b_78234_d_31,1296845,34,1,t_5385622_b_78234_tn_0,4152616,t_5384990_b_78234_tn_0,4153173
3500000,c_67665_b_78234_d_31,1296856,35,1,t_5386472_b_78234_tn_0,4153191,t_5386472_b_78234_tn_0,4153190
3600000,c_67665_b_78234_d_31,1296857,36,1,t_5385659_b_78234_tn_0,4152616,t_5386117_b_78234_tn_0,4152877
3700000,c_67665_b_78234_d_31,1296867,37,1,t_5386121_b_78234_tn_0,4152616,t_5386835_b_78234_tn_0,4153191
3800000,c_67665_b_78234_d_31,1296868,38,1,t_5386156_b_78234_tn_0,4152616,t_5386853_b_78234_tn_0,4152616
3900000,c_67665_b_78234_d_31,1296869,39,1,t_5385093_b_78234_tn_0,4152616,t_5385062_b_78234_tn_0,4153191
400000,c_67662_b_78239_d_32,1296760,4,1,t_5385462_b_78239_tn_0,4152616,t_5385065_b_78239_tn_0,4152709
4000000,c_67666_b_none_d_0,1296729,40,1,t_5387281_b_none_tn_0,4153605,t_5386798_b_none_tn_0,4153605
4100000,c_67666_b_none_d_0,1296749,41,1,t_5385012_b_none_tn_0,4153068,t_5385166_b_none_tn_0,4153400
4200000,c_67666_b_none_d_0,1296765,42,1,t_5387255_b_none_tn_0,4152791,t_5385638_b_none_tn_0,4153068
4300000,c_67666_b_none_d_0,1296787,43,1,t_5385310_b_none_tn_0,4153068,t_5386044_b_none_tn_0,4153380
4400000,c_67666_b_none_d_0,1296789,44,1,t_5386957_b_none_tn_0,4153380,t_5384564_b_none_tn_0,4152670
