service_id,date,exception_type
8,20221106,1
8,20221113,1
8,20221120,1
8,20221127,1
8,20221204,1
8,20221211,1
8,20221218,1
8,20221225,1
8,20230101,1
2,20221107,1
2,20221114,1
2,20221121,1
2,20221128,1
2,20221205,1
2,20221212,1
2,20221219,1
2,20221226,1
2,20230102,1
3,20221108,1
3,20221115,1
3,20221122,1
3,20221129,1
3,20221206,1
3,20221213,1
3,20221220,1
3,20221227,1
3,20230103,1
4,20221109,1
4,20221116,1
4,20221123,1
4,20221130,1
4,20221207,1
4,20221214,1
4,20221221,1
4,20221228,1
4,20230104,1
10,20221103,1
10,20221110,1
10,20221117,1
10,20221124,1
10,20221201,1
10,20221208,1
10,20221215,1
10,20221222,1
10,20221229,1
10,20230105,1
6,20221104,1
6,20221111,1
6,20221118,1
6,20221125,1
6,20221202,1
6,20221209,1
6,20221216,1
6,20221223,1
6,20221230,1
6,20230106,1
7,20221105,1
7,20221112,1
7,20221119,1
7,20221126,1
7,20221203,1
7,20221210,1
7,20221217,1
7,20221224,1
7,20221231,1
7,20230107,1
