service_id,date,exception_type
F,20210531,2
F,20201127,2
F,20201126,2
F,20211126,2
F,20201225,2
F,20211125,2
F,20211225,2
F,20210118,2
F,20210215,2
F,20210212,2
F,20201111,2
F,20211011,2
F,20211111,2
F,20210906,2
F,20210704,2
F,20201103,2
F,20211102,2
F,20210101,2
T,20210531,2
T,20201127,2
T,20201126,2
T,20211126,2
T,20201225,2
T,20211125,2
T,20211225,2
T,20210118,2
T,20210215,2
T,20210212,2
T,20201111,2
T,20211011,2
T,20211111,2
T,20210906,2
T,20210704,2
T,20201103,2
T,20211102,2
T,20210101,2
WD,20210531,2
WD,20201127,2
WD,20201126,2
WD,20211126,2
WD,20201225,2
WD,20211125,2
WD,20211225,2
WD,20210118,2
WD,20210215,2
WD,20210212,2
WD,20201111,2
WD,20211011,2
WD,20211111,2
WD,20210906,2
WD,20210704,2
WD,20201103,2
WD,20211102,2
WD,20210101,2
