trip_id,stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
Highland AM,0,6qcx,08:20:00,08:20:00,,0,0,,,0,
Highland AM,1,nby8,09:00:00,09:05:00,,0,0,,,31789.831415205994,
Highland AM,2,o9st,09:10:00,09:15:00,,0,0,,,35915.62914236541,
Highland AM,3,wjly,09:30:00,09:35:00,,0,0,,,44443.93681115902,
Highland AM,4,1a50,09:45:00,09:50:00,,0,0,,,55439.51705063612,
Highland AM,5,qkbk,09:55:00,10:00:00,,0,0,,,60872.36812357106,
Highland AM,6,u482,10:05:00,10:10:00,,0,0,,,61434.5790724508,
Highland AM,7,xw08,10:15:00,10:20:00,,0,0,,,65966.6881692777,
Highland AM,8,dmmw,10:25:00,10:30:00,,0,0,,,67533.42714632492,
Highland AM,9,vlhb,10:40:00,10:45:00,,0,0,,,82408.1278082564,
Highland AM,10,euci,11:00:00,11:05:00,,0,0,,,86400.81588118343,
Highland AM,11,v7zr,11:20:00,11:25:00,,0,0,,,97562.36767842782,
Highland AM,12,4rny,11:30:00,11:35:00,,0,0,,,100960.13720311505,
Highland AM,13,4h9d,11:40:00,11:40:00,,0,0,,,102343.41399510502,
Highland PM,0,4h9d,13:45:00,13:45:00,,0,0,,,0,
Highland PM,1,4rny,13:50:00,13:55:00,,0,0,,,1179.092631745783,
Highland PM,2,v7zr,14:00:00,14:05:00,,0,0,,,4714.903097706254,
Highland PM,3,euci,14:20:00,14:25:00,,0,0,,,15939.693544822909,
Highland PM,4,vlhb,14:40:00,14:45:00,,0,0,,,19932.38161774995,
Highland PM,5,dmmw,14:55:00,15:00:00,,0,0,,,34807.08227968143,
Highland PM,6,xw08,15:05:00,15:10:00,,0,0,,,36373.82125672868,
Highland PM,7,u482,15:15:00,15:20:00,,0,0,,,40905.93035355559,
Highland PM,8,qkbk,15:25:00,15:30:00,,0,0,,,41468.141302435324,
Highland PM,9,1a50,15:35:00,15:40:00,,0,0,,,46900.99237537027,
Highland PM,10,wjly,15:50:00,15:55:00,,0,0,,,57896.60207490287,
Highland PM,11,o9st,16:10:00,16:15:00,,0,0,,,66424.85896539077,
Highland PM,12,nby8,16:20:00,16:25:00,,0,0,,,70550.65669255014,
Highland PM,13,6qcx,16:45:00,16:45:00,,0,0,,,102340.4881077561,
Delaware AM,0,6qcx,08:05:00,08:05:00,,0,0,,,0,
Delaware AM,1,2oy4,08:45:00,08:50:00,,0,0,,,37505.70825347286,
Delaware AM,2,kkcb,09:05:00,09:10:00,,0,0,,,53580.485453713554,
