trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
Highland AM,7r91,T,,,,,ywf0,,
Highland PM,7r91,T,,,,,32z5,,
Delaware AM,0w3v,F,,,,,t34o,,
Delware PM,0w3v,F,,,,,p44r,,
bbdc06b3-3ebe-4cbd-ba27-5d7792b33050,zaai,WD,,,,,eu1k,,
3aae461f-b022-44ad-bbe3-5e5bb34c88a0,zaai,WD,,,,,eu1k,,
183c503e-60c1-4db8-9db2-d95413545273,zaai,WD,,,,,eu1k,,
aaeb7840-767d-43bc-9b97-d5fa3d06c6c7,zaai,WD,,,,,eu1k,,
0c23b1a2-5072-4e94-a796-6612d59fb2b4,zaai,WD,,,,,eu1k,,
77b2473d-24c1-463d-aadb-741831f207d6,zaai,WD,,,,,eu1k,,
A1,A,WD,,,,,7ph4,,
A2,A,WD,,,,,7ph4,,
A3,A,WD,,,,,7ph4,,
A5,A,WD,,,,,7ph4,,
A6,A,WD,,,,,7ph4,,
A4,A,WD,,,,,7ph4,,
6ba57e7f-9c10-4573-8822-53eebe4206f6,ddxl,WD,,,,,y5da,,
967f1160-f365-4d8a-b008-6d8da0ddaf8e,ddxl,WD,,,,,y5da,,
86291de4-c2ff-4663-a79f-3faa14188843,ddxl,WD,,,,,qne4,,
1f2b228e-fd44-443a-85e3-fe184e756abf,ddxl,WD,,,,,qne4,,
addd3571-c56c-4adf-aa2f-054b69b0c6a8,ddxl,WD,,,,,qne4,,
be4a16b6-1849-415a-a5f6-7615654c6f80,ddxl,WD,,,,,qne4,,
B1,B,WD,,,,,l2pc,,
B2,B,WD,,,,,l2pc,,
B4,B,WD,,,,,l2pc,,
B3,B,WD,,,,,l2pc,,
B6,B,WD,,,,,l2pc,,
B5,B,WD,,,,,l2pc,,
