runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
100000,c_21800_b_78042_d_31,160248,1,1,t_1488419_b_78042_tn_0,2394625,t_5368525_b_78042_tn_0,771329
1000000,c_21974_b_78044_d_31,3122,10,1,t_5368531_b_78044_tn_0,2394625,t_5368529_b_78044_tn_0,771329
1100000,c_21975_b_78045_d_96,1296486,11,1,t_1543350_b_78045_tn_0,2394625,t_1543352_b_78045_tn_0,771329
1200000,c_21975_b_78045_d_96,160248,12,1,t_1543358_b_78045_tn_0,2394625,t_1543360_b_78045_tn_0,771329
1300000,c_21975_b_78045_d_96,160253,13,1,t_1543349_b_78045_tn_0,2394625,t_1543353_b_78045_tn_0,771329
1400000,c_21975_b_78045_d_96,3122,14,1,t_1543346_b_78045_tn_0,2394625,t_1543354_b_78045_tn_0,771329
1500000,c_3239_b_78019_d_4,103265,15,1,t_165960_b_78019_tn_0,770766,t_165961_b_78019_tn_0,770766
1600000,c_3239_b_78020_d_4,103265,16,1,t_165960_b_78020_tn_0,770766,t_165961_b_78020_tn_0,770766
1700000,c_3239_b_78021_d_4,103265,17,1,t_165960_b_78021_tn_0,770766,t_165961_b_78021_tn_0,770766
1800000,c_3239_b_78022_d_4,103265,18,1,t_165960_b_78022_tn_0,770766,t_165961_b_78022_tn_0,770766
1900000,c_3239_b_78023_d_4,103265,19,1,t_165960_b_78023_tn_0,770766,t_165961_b_78023_tn_0,770766
200000,c_21800_b_78042_d_31,3122,2,1,t_1488421_b_78042_tn_0,2394625,t_5368526_b_78042_tn_0,771329
2000000,c_3239_b_78024_d_4,103265,20,1,t_165960_b_78024_tn_0,770766,t_165961_b_78024_tn_0,770766
2100000,c_3239_b_78025_d_4,103265,21,1,t_165960_b_78025_tn_0,770766,t_165961_b_78025_tn_0,770766
2200000,c_3239_b_78026_d_4,103265,22,1,t_165960_b_78026_tn_0,770766,t_165961_b_78026_tn_0,770766
2300000,c_3239_b_78027_d_4,103265,23,1,t_165960_b_78027_tn_0,770766,t_165961_b_78027_tn_0,770766
2400000,c_3239_b_78028_d_4,103265,24,1,t_165960_b_78028_tn_0,770766,t_165961_b_78028_tn_0,770766
2500000,c_3239_b_78029_d_4,103265,25,1,t_165960_b_78029_tn_0,770766,t_165961_b_78029_tn_0,770766
2600000,c_3239_b_78030_d_4,103265,26,1,t_165960_b_78030_tn_0,770766,t_165961_b_78030_tn_0,770766
2700000,c_3239_b_78031_d_4,103265,27,1,t_165960_b_78031_tn_0,770766,t_165961_b_78031_tn_0,770766
2800000,c_3239_b_78032_d_4,103265,28,1,t_165960_b_78032_tn_0,770766,t_165961_b_78032_tn_0,770766
2900000,c_3239_b_78033_d_4,103265,29,1,t_165960_b_78033_tn_0,770766,t_165961_b_78033_tn_0,770766
300000,c_21800_b_78043_d_31,160248,3,1,t_1488419_b_78043_tn_0,2394625,t_5368525_b_78043_tn_0,771329
3000000,c_3239_b_78034_d_4,103265,30,1,t_165960_b_78034_tn_0,770766,t_165961_b_78034_tn_0,770766
3100000,c_3239_b_78035_d_4,103265,31,1,t_165960_b_78035_tn_0,770766,t_165961_b_78035_tn_0,770766
3200000,c_3239_b_78036_d_4,103265,32,1,t_165960_b_78036_tn_0,770766,t_165961_b_78036_tn_0,770766
3300000,c_3239_b_78037_d_4,103265,33,1,t_165960_b_78037_tn_0,770766,t_165961_b_78037_tn_0,770766
3400000,c_3239_b_78038_d_4,103265,34,1,t_165960_b_78038_tn_0,770766,t_165961_b_78038_tn_0,770766
3500000,c_67554_b_78041_d_31,103244,35,1,t_5368425_b_78041_tn_0,771328,t_5368436_b_78041_tn_4,2394625
3600000,c_67554_b_78041_d_31,103245,36,1,t_5368378_b_78041_tn_0,2394625,t_5368417_b_78041_tn_0,2394625
3700000,c_67554_b_78041_d_31,116594,37,1,t_5368481_b_78041_tn_0,2394625,t_5368469_b_78041_tn_0,2394625
3800000,c_67554_b_78041_d_31,116595,38,1,t_5368447_b_78041_tn_0,771349,t_5368448_b_78041_tn_0,771349
3900000,c_67554_b_78041_d_31,1296485,39,1,t_5368471_b_78041_tn_0,2394625,t_5368506_b_78041_tn_0,2394625
400000,c_21800_b_78043_d_31,3122,4,1,t_1488421_b_78043_tn_0,2394625,t_5368526_b_78043_tn_0,771329
4000000,c_67554_b_78041_d_31,3119,40,1,t_5368419_b_78041_tn_0,2394625,t_5368358_b_78041_tn_0,2394625
4100000,c_67554_b_78041_d_31,3120,41,1,t_5368470_b_78041_tn_0,771349,t_5368483_b_78041_tn_0,771349
4200000,c_67554_b_78041_d_31,3121,42,1,t_5368464_b_78041_tn_0,2394625,t_5368524_b_78041_tn_0,2394625
4300000,c_67554_b_78041_d_31,3123,43,1,t_5368455_b_78041_tn_0,2394625,t_5368463_b_78041_tn_0,2394625
4400000,c_67554_b_78041_d_31,3124,44,1,t_5368507_b_78041_tn_0,2394625,t_5368490_b_78041_tn_0,2394625
4500000,c_67554_b_78041_d_31,3125,45,1,t_5368480_b_78041_tn_0,771349,t_5368482_b_78041_tn_0,771349
