route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order
3851,72,UPL-EB,UPL: New Paltz - Train Station - Grand Central,Ulster-Poughkeepsie Link,3,https://r.peaktransit.com/res/72/2022_UPLOutUCAT.png,974806,FFFFFF,8
4071,72,W-NB,W: Plattekill - Wallkill - New Paltz,,3,https://r.peaktransit.com/res/72/2021_Aug_W_W-N.png,4f6128,FFFFFF,9
3854,72,Z-WB,Z: Kingston - Woodstock - Pine Hill,,3,https://r.peaktransit.com/res/72/2022_ZOutboundUCAT.png,595959,FFFFFF,11
4073,72,Z-NB,Z: Pine Hill - Woodstock - Kingston ,,3,https://r.peaktransit.com/res/72/2022_ZInboundUCAT.png,595959,FFFFFF,11
3847,72,KS-NB,KS: Kingston - Mall - Saugerties,,3,https://r.peaktransit.com/res/72/2022_KSOutboundUCAT.png,4bacc6,FFFFFF,4
3849,72,NPL,New Paltz Loop,,3,https://r.peaktransit.com/res/72/2022_NPLUCAT.png,9bbb59,FFFFFF,6
11937,72,Yellow,Yellow: DSS to Port Ewen,DSS to Port Ewen,3,https://r.peaktransit.com/res/72/2022_YellowUCAT.png,ffff00,000000,14
11935,72,Red,Red: Kingston Plaza to Law Enforcement Center,Kingston Plaza to Riverfront and back,3,https://r.peaktransit.com/res/72/2022_RedUCAT.png,ff0000,FFFFFF,12
4066,72,KS-SB,KS: Saugerties - Mall - Kingston,,3,https://r.peaktransit.com/res/72/2022_KSInboundUCAT.png,4bacc6,FFFFFF,4
4072,72,X-NB,X: Newburgh - New Paltz,,3,https://r.peaktransit.com/res/72/2022_XInboundUCAT.png,e5b8b7,000000,10
3850,72,R-SB,R: Kingston - New Paltz,,3,https://r.peaktransit.com/res/72/2022_ROutboundUCAT.png,7f7f7f,FFFFFF,7
4067,72,UPL-WB,UPL: Grand Central - Train Station - New Paltz,Ulster-Poughkeepsie Link,3,https://r.peaktransit.com/res/72/2022_UPLInboundUCAT.png,974806,FFFFFF,8
3844,72,CL-NB,CL: SUNY New Paltz - SUNY Ulster,College Link,3,https://r.peaktransit.com/res/72/2021_Aug_CL_NP-U.png,f79646,FFFFFF,1
3846,72,KPL-SB,KPL: Kingston - Poughkeepsie,,3,https://r.peaktransit.com/res/72/2022_KPLOutboundUCAT.png,8064a2,FFFFFF,3
3852,72,W-SB,W: New Paltz - Wallkill - Plattekill,,3,https://r.peaktransit.com/res/72/2021_Aug_W_N-W.png,4f6128,FFFFFF,9
3845,72,EU-SB,EU: Kingston - SUNY Ulster - Ellenville,,3,https://r.peaktransit.com/res/72/2022_EUOutboundUCAT.png,000000,FFFFFF,2
4069,72,KPL-NB,KPL: Poughkeepsie - Kingston ,,3,https://r.peaktransit.com/res/72/2022_KPLInboundUCAT.png,8064a2,FFFFFF,3
4065,72,EU-NB,EU: Ellenville - SUNY Ulster - Kingston,,3,https://r.peaktransit.com/res/72/2022_EUInboundUCAT.png,000000,FFFFFF,2
4070,72,R-NB,R: New Paltz - Kingston,,3,https://r.peaktransit.com/res/72/2022_RInboundUCAT.png,7f7f7f,FFFFFF,7
11936,72,Blue,Blue: Kingston Plaza to Riverfront,Kingston Plaza to Riverfront and back,3,https://r.peaktransit.com/res/72/2022_BlueUCAT.png,0070c0,FFFFFF,13
4068,72,CL-SB,CL: SUNY Ulster - SUNY New Paltz,College Link,3,https://r.peaktransit.com/res/72/2021_Aug_CL_U-NP.png,f79646,FFFFFF,1
3848,72,M,Mall Loop,,3,https://r.peaktransit.com/res/72/2022_MallUCAT.png,09ff00,FFFFFF,5
3853,72,X-SB,X: New Paltz - Newburgh,,3,https://r.peaktransit.com/res/72/2022_XOutboundUCAT.png,e5b8b7,000000,10
