route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
3853,747,209396,X Covid 2022,,0,,5401,0,0
3847,765,209353,KS Covid Saturday 2022,,0,,9850,0,0
3854,748,209274,Z Covid 2022,,0,,5600,0,0
3853,747,209393,X Covid 2022,,0,,5401,0,0
3849,764,209233,NPL Covid Weekend 2022,,0,,9862,0,0
4066,765,209359,KS Covid Saturday 2022,,0,,9851,0,0
3850,747,209252,R Covid 2022,,0,,8069,0,0
4065,748,209163,EU Covid 2022,,0,,5592,0,0
11936,753,209190,Blue Covid 2022,,0,,9658,0,0
11935,756,209179,Red Covid Saturday 2022,,0,,9878,0,0
3847,765,209354,KS Covid Saturday 2022,,0,,9850,0,0
4073,765,209288,Z Covid Saturday 2022,,0,,5598,0,0
3851,700,204334,UPL  Regular Sunday 2021,,0,,9774,0,0
11937,753,209201,Yellow Covid 2022,,0,,9879,0,0
3853,747,209397,X Covid 2022,,0,,5401,0,0
3849,747,209409,NPL Covid 2022,,0,,9862,0,0
4073,765,209290,Z Covid Saturday 2022,,0,,5598,0,0
4066,748,209344,KS Covid 2022,,0,,5594,0,0
11935,753,209172,Red Covid 2022,,0,,9872,0,0
3850,747,209253,R Covid 2022,,0,,8069,0,0
3850,747,209249,R Covid 2022,,0,,8069,0,0
11937,756,209217,Yellow Covid Saturday 2022,,0,,9879,0,0
4067,765,209391,UPL  Covid Saturday 2022,,0,,9776,0,0
3849,764,209240,NPL Covid Weekend 2022,,0,,9861,0,0
3848,748,209124,Mall Covid 2022,,0,,9869,0,0
4070,747,209264,R Covid 2022,,0,,5587,0,0
11937,753,209200,Yellow Covid 2022,,0,,9879,0,0
11935,753,209174,Red Covid 2022,,0,,9872,0,0
11936,756,209407,Blue Covid Saturday 2022,,0,,9658,0,0
3847,765,209355,KS Covid Saturday 2022,,0,,9850,0,0
3854,748,209270,Z Covid 2022,,0,,5600,0,0
4069,765,209320,KPL Covid Saturday 2022,,0,,9782,0,0
4073,748,209275,Z Covid 2022,,0,,5596,0,0
4066,748,209345,KS Covid 2022,,0,,9857,0,0
3849,747,209144,NPL Covid 2022,,0,,9862,0,0
4066,765,209358,KS Covid Saturday 2022,,0,,9851,0,0
11937,753,209202,Yellow Covid 2022,,0,,9879,0,0
11936,753,209187,Blue Covid 2022,,0,,9658,0,0
3854,765,209285,Z Covid Saturday 2022,,0,,5600,0,0
4069,748,209303,KPL Covid 2022,,0,,9783,0,0
4071,747,209150,W Covid 2022,,0,,9695,0,0
3845,748,209153,EU Covid 2022,,0,,5412,0,0
4070,747,209259,R Covid 2022,,0,,5587,0,0
3845,748,209159,EU Covid 2022,,0,,9793,0,0
3851,765,209386,UPL  Covid Saturday 2022,,0,,9774,0,0
3847,748,209324,KS Covid 2022,,0,,5595,0,0
4073,748,209280,Z Covid 2022,,0,,5598,0,0
11935,753,209176,Red Covid 2022,,0,,9659,0,0
4067,700,204340,UPL  Regular Sunday 2021,,0,,9777,0,0
4069,748,209302,KPL Covid 2022,,0,,9783,0,0
3854,765,209283,Z Covid Saturday 2022,,0,,5396,0,0
4066,765,209360,KS Covid Saturday 2022,,0,,9851,0,0
4067,747,209377,UPL  Covid 2022,,0,,8074,0,0
3847,765,209356,KS Covid Saturday 2022,,0,,9850,0,0
3849,764,209236,NPL Covid Weekend 2022,,0,,9862,0,0
3848,748,209120,Mall Covid 2022,,0,,9869,0,0
3844,747,209224,CL Covid 2022,,0,,5400,0,0
4067,700,204341,UPL  Regular Sunday 2021,,0,,9777,0,0
3850,747,209246,R Covid 2022,,0,,5399,0,0
3845,748,209154,EU Covid 2022,,0,,5412,0,0
11937,756,209212,Yellow Covid Saturday 2022,,0,,9879,0,0
3846,765,209313,KPL Covid Saturday 2022,,0,,9785,0,0
4067,747,209379,UPL  Covid 2022,,0,,8074,0,0
3854,748,209267,Z Covid 2022,,0,,5396,0,0
3851,765,209383,UPL  Covid Saturday 2022,,0,,9774,0,0
3847,748,209325,KS Covid 2022,,0,,5595,0,0
3845,748,209151,EU Covid 2022,,0,,5412,0,0
3846,765,209312,KPL Covid Saturday 2022,,0,,9785,0,0
4067,747,209376,UPL  Covid 2022,,0,,8074,0,0
3846,765,209315,KPL Covid Saturday 2022,,0,,9785,0,0
4072,747,209400,X Covid 2022,,0,,5590,0,0
4067,765,209388,UPL  Covid Saturday 2022,,0,,9778,0,0
4073,765,209289,Z Covid Saturday 2022,,0,,5598,0,0
4066,748,209338,KS Covid 2022,,0,,5594,0,0
4065,748,209164,EU Covid 2022,,0,,5579,0,0
11937,756,209214,Yellow Covid Saturday 2022,,0,,9879,0,0
11936,753,209186,Blue Covid 2022,,0,,9658,0,0
4066,748,209352,KS Covid 2022,,0,,9792,0,0
4069,765,209317,KPL Covid Saturday 2022,,0,,9782,0,0
11936,753,209185,Blue Covid 2022,,0,,9658,0,0
3849,764,209241,NPL Covid Weekend 2022,,0,,9861,0,0
3847,748,209336,KS Covid 2022,,0,,9786,0,0
4071,747,209148,W Covid 2022,,0,,9695,0,0
3849,747,209128,NPL Covid 2022,,0,,9861,0,0
3850,747,209254,R Covid 2022,,0,,5399,0,0
4072,747,209399,X Covid 2022,,0,,5590,0,0
3846,765,209314,KPL Covid Saturday 2022,,0,,9785,0,0
3845,748,209157,EU Covid 2022,,0,,5593,0,0
3847,748,209323,KS Covid 2022,,0,,5595,0,0
3849,764,209243,NPL Covid Weekend 2022,,0,,9861,0,0
3850,765,209364,R Covid 2022,,1,,5399,0,0
4070,747,209262,R Covid 2022,,0,,8070,0,0
3849,747,209138,NPL Covid 2022,,0,,9862,0,0
11937,753,209205,Yellow Covid 2022,,0,,9879,0,0
3854,765,209286,Z Covid Saturday 2022,,0,,5600,0,0
11935,756,209180,Red Covid Saturday 2022,,0,,9878,0,0
3851,765,209384,UPL  Covid Saturday 2022,,0,,9774,0,0
4066,765,209361,KS Covid Saturday 2022,,0,,9851,0,0
