route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color,route_url
"1",1,"1","Mainline",3,FF0000,000000,"http://itransitnw.com/RTT/Public/Schedule.aspx?RouteNo=1"
"2",1,"2","College Place Circulator",3,E6B800,000000,"http://itransitnw.com/RTT/Public/Schedule.aspx?RouteNo=2"
"3",1,"3","2nd Avenue / Wa-Hi",3,009933,FFFFFF,"http://itransitnw.com/RTT/Public/Schedule.aspx?RouteNo=3"
"4",1,"4","Melrose / Alder",3,23A39C,FFFFFF,"http://itransitnw.com/RTT/Public/Schedule.aspx?RouteNo=4"
"5",1,"5","Fairgrounds",3,996633,FFFFFF,"http://itransitnw.com/RTT/Public/Schedule.aspx?RouteNo=5"
"6",1,"6","V.A. - Medical Loop",3,0099FF,000000,"http://itransitnw.com/RTT/Public/Schedule.aspx?RouteNo=6"
"7",1,"7","Pleasant Street Loop",3,DB8CFF,000000,"http://itransitnw.com/RTT/Public/Schedule.aspx?RouteNo=7"
"9",1,"9","Pine Street Loop",3,FF6600,000000,"http://itransitnw.com/RTT/Public/Schedule.aspx?RouteNo=9"
"300",1,"300","East Loop",3,FF8E8E,000000,"http://itransitnw.com/RTT/Public/Schedule.aspx?RouteNo=300"
"310",1,"310","West Loop",3,FF8E8E,000000,"http://itransitnw.com/RTT/Public/Schedule.aspx?RouteNo=310"
