shape_id,shape_pt_lon,shape_pt_lat,shape_pt_sequence
7,-118.383222,46.034568,1
7,-118.383249,46.033974,2
7,-118.383180,46.033970,3
7,-118.382395,46.033962,4
7,-118.382400,46.033787,5
7,-118.382259,46.033785,6
7,-118.381913,46.033737,7
7,-118.381759,46.033736,8
7,-118.381778,46.033267,9
7,-118.381666,46.032893,10
7,-118.381562,46.032784,11
7,-118.380619,46.031901,12
7,-118.383086,46.030545,13
7,-118.384395,46.029830,14
7,-118.385484,46.029233,15
7,-118.386199,46.028823,16
7,-118.386490,46.028640,17
7,-118.386813,46.028427,18
7,-118.387144,46.028183,19
7,-118.387267,46.028074,20
7,-118.387876,46.027502,21
7,-118.388026,46.027570,22
7,-118.388452,46.027762,23
7,-118.388574,46.027847,24
7,-118.388667,46.027940,25
7,-118.388736,46.028031,26
7,-118.388765,46.028154,27
7,-118.388700,46.033669,28
7,-118.388652,46.034865,29
7,-118.388648,46.035218,30
7,-118.388633,46.035859,31
7,-118.388596,46.037509,32
7,-118.388587,46.038425,33
7,-118.387247,46.038428,34
7,-118.386080,46.038423,35
7,-118.384550,46.038419,36
7,-118.383498,46.038420,37
7,-118.383483,46.039035,38
7,-118.383483,46.040253,39
7,-118.383483,46.042056,40
7,-118.383460,46.043879,41
7,-118.383449,46.045686,42
7,-118.385758,46.045695,43
7,-118.386660,46.045700,44
7,-118.388547,46.045711,45
7,-118.391255,46.045705,46
7,-118.391736,46.045697,47
7,-118.393771,46.045696,48
7,-118.393996,46.045699,49
7,-118.398849,46.045680,50
7,-118.399034,46.045753,51
7,-118.399081,46.045863,52
7,-118.399062,46.047566,53
7,-118.399058,46.048454,54
7,-118.399047,46.049315,55
7,-118.395219,46.049327,56
7,-118.393959,46.049330,57
7,-118.393080,46.049332,58
7,-118.391254,46.049336,59
7,-118.389871,46.049342,60
7,-118.388514,46.049343,61
7,-118.387105,46.049343,62
7,-118.385748,46.049343,63
7,-118.383373,46.049336,64
7,-118.382270,46.049338,65
7,-118.381723,46.049338,66
7,-118.381390,46.049353,67
7,-118.381235,46.049382,68
7,-118.380283,46.049528,69
7,-118.379150,46.049702,70
7,-118.378128,46.049853,71
7,-118.378187,46.048258,72
7,-118.378233,46.046956,73
7,-118.378263,46.045683,74
7,-118.378260,46.044866,75
7,-118.378263,46.043892,76
7,-118.378273,46.042055,77
7,-118.378288,46.039568,78
7,-118.378285,46.038422,79
7,-118.378210,46.037600,80
7,-118.378138,46.036708,81
7,-118.378251,46.036038,82
7,-118.378241,46.034926,83
7,-118.381725,46.034911,84
7,-118.383243,46.034906,85
7,-118.383227,46.034290,86
8,-118.342642,46.066504,1
8,-118.342306,46.066146,2
8,-118.341980,46.065680,3
8,-118.343316,46.065169,4
8,-118.344550,46.064620,5
8,-118.345840,46.064110,6
8,-118.347110,46.063600,7
8,-118.348460,46.063070,8
8,-118.348881,46.063610,9
8,-118.349140,46.063910,10
8,-118.350390,46.063430,11
8,-118.353030,46.062370,12
8,-118.353840,46.062050,13
8,-118.354090,46.062000,14
8,-118.354492,46.061964,15
8,-118.354640,46.061940,16
8,-118.354780,46.061930,17
8,-118.357200,46.061250,18
8,-118.359030,46.060730,19
8,-118.360200,46.060400,20
8,-118.361770,46.059950,21
8,-118.364710,46.059110,22
8,-118.367310,46.058350,23
8,-118.369040,46.057850,24
8,-118.370670,46.057420,25
8,-118.372570,46.057040,26
8,-118.373420,46.056890,27
8,-118.374220,46.056750,28
8,-118.378450,46.056000,29
8,-118.383320,46.055070,30
8,-118.384675,46.054819,31
8,-118.387470,46.054260,32
8,-118.388000,46.054070,33
8,-118.388260,46.053870,34
8,-118.388360,46.053730,35
8,-118.388450,46.053520,36
8,-118.388478,46.053069,37
8,-118.388491,46.051775,38
8,-118.388519,46.049353,39
8,-118.388560,46.046610,40
8,-118.388541,46.045073,41
8,-118.388553,46.043273,42
8,-118.388554,46.041916,43
8,-118.388562,46.040236,44
8,-118.388570,46.039750,45
8,-118.388583,46.037393,46
