trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
R1e_T01,06:10:00,06:15:00,148,1,Transfer Center,,,8.19
R1e_T01,,,227,2,WWCC (Walla Walla Community College),,,8.611
R1e_T01,,,246,3,WWCC (Walla Walla Community College),,,8.796
R1e_T01,,,229,4,WWCC (Walla Walla Community College),,,9.178
R1e_T01,,,180,5,WWCC (Walla Walla Community College),,,9.601
R1e_T01,,,153,6,WWCC (Walla Walla Community College),,,9.808
R1e_T01,,,174,7,WWCC (Walla Walla Community College),,,9.994
R1e_T01,06:21:00,06:21:00,173,8,WWCC (Walla Walla Community College),,,10.343
R1e_T01,,,172,9,WWCC (Walla Walla Community College),,,10.618
R1e_T01,,,171,10,WWCC (Walla Walla Community College),,,10.981
R1e_T01,,,234,11,WWCC (Walla Walla Community College),,,11.164
R1e_T01,,,235,12,WWCC (Walla Walla Community College),,,11.243
R1e_T01,,,236,13,WWCC (Walla Walla Community College),,,11.389
R1e_T01,06:23:00,06:28:00,138,14,WWCC (Walla Walla Community College),,,12.02
R1e_T01,,,237,15,WWCC (Walla Walla Community College),,,12.522
R1e_T01,,,1107,16,WWCC (Walla Walla Community College),,,12.615
R1e_T01,06:35:00,06:35:00,239,17,WWCC (Walla Walla Community College),,,14.645
R1e_T02,06:21:00,06:21:00,195,1,Shopko,,,0
R1e_T02,,,404,2,Shopko,,,1.639
R1e_T02,,,193,3,Shopko,,,2.276
R1e_T02,,,1153,4,Shopko,,,2.417
R1e_T02,,,1154,5,Shopko,,,2.617
R1e_T02,,,1155,6,Shopko,,,2.897
R1e_T02,06:27:00,06:27:00,202,7,Shopko,,,3.217
R1e_T02,,,258,8,Shopko,,,3.77
R1e_T02,,,259,9,Shopko,,,3.978
R1e_T02,,,260,10,Shopko,,,4.491
R1e_T02,,,261,11,Shopko,,,5.207
R1e_T02,06:32:00,06:32:00,262,12,Shopko,,,5.459
R1e_T02,,,263,13,Transfer Center,,,5.784
R1e_T02,,,264,14,Transfer Center,,,6.231
R1e_T02,,,1173,15,Transfer Center,,,6.47
R1e_T02,,,1174,16,Transfer Center,,,6.741
R1e_T02,,,1167,17,Transfer Center,,,7.273
R1e_T02,,,1156,18,Transfer Center,,,7.369
R1e_T02,,,351,19,Transfer Center,,,7.819
R1e_T02,06:40:00,06:45:00,148,20,Transfer Center,,,8.19
R1e_T02,,,227,21,WWCC (Walla Walla Community College),,,8.611
R1e_T02,,,246,22,WWCC (Walla Walla Community College),,,8.796
R1e_T02,,,229,23,WWCC (Walla Walla Community College),,,9.178
R1e_T02,,,180,24,WWCC (Walla Walla Community College),,,9.601
R1e_T02,,,153,25,WWCC (Walla Walla Community College),,,9.808
R1e_T02,,,174,26,WWCC (Walla Walla Community College),,,9.994
R1e_T02,06:51:00,06:51:00,173,27,WWCC (Walla Walla Community College),,,10.343
R1e_T02,,,172,28,WWCC (Walla Walla Community College),,,10.618
R1e_T02,,,171,29,WWCC (Walla Walla Community College),,,10.981
R1e_T02,,,234,30,WWCC (Walla Walla Community College),,,11.164
R1e_T02,,,235,31,WWCC (Walla Walla Community College),,,11.243
R1e_T02,,,236,32,WWCC (Walla Walla Community College),,,11.389
R1e_T02,06:53:00,06:58:00,138,33,WWCC (Walla Walla Community College),,,12.02
R1e_T02,,,237,34,WWCC (Walla Walla Community College),,,12.522
R1e_T02,,,1107,35,WWCC (Walla Walla Community College),,,12.615
R1e_T02,07:05:00,07:05:00,239,36,WWCC (Walla Walla Community College),,,14.645
R1e_T03,06:51:00,06:51:00,195,1,Shopko,,,0
R1e_T03,,,404,2,Shopko,,,1.639
R1e_T03,,,193,3,Shopko,,,2.276
R1e_T03,,,1153,4,Shopko,,,2.417
R1e_T03,,,1154,5,Shopko,,,2.617
R1e_T03,,,1155,6,Shopko,,,2.897
R1e_T03,06:57:00,06:57:00,202,7,Shopko,,,3.217
R1e_T03,,,258,8,Shopko,,,3.77
R1e_T03,,,259,9,Shopko,,,3.978
R1e_T03,,,260,10,Shopko,,,4.491
R1e_T03,,,261,11,Shopko,,,5.207
R1e_T03,07:02:00,07:02:00,262,12,Shopko,,,5.459
R1e_T03,,,263,13,Transfer Center,,,5.784
R1e_T03,,,264,14,Transfer Center,,,6.231
R1e_T03,,,1173,15,Transfer Center,,,6.47
R1e_T03,,,1174,16,Transfer Center,,,6.741
R1e_T03,,,1167,17,Transfer Center,,,7.273
R1e_T03,,,1156,18,Transfer Center,,,7.369
R1e_T03,,,351,19,Transfer Center,,,7.819
R1e_T03,07:10:00,07:15:00,148,20,Transfer Center,,,8.19
R1e_T03,,,227,21,WWCC (Walla Walla Community College),,,8.611
R1e_T03,,,246,22,WWCC (Walla Walla Community College),,,8.796
R1e_T03,,,229,23,WWCC (Walla Walla Community College),,,9.178
R1e_T03,,,180,24,WWCC (Walla Walla Community College),,,9.601
