stop_id,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,position,direction,wheelchair_boarding,tts_stop_name
6595380,7680,,Tualatin Park & Ride South,,45.394565,-122.748773,,,0,,America/Los_Angeles,,,0,
6595381,2351,,Argyle Square NE at Elligsen Rd,,45.335411,-122.763624,,,0,,America/Los_Angeles,,,0,
6595382,2322,,Parkway Center Dr at Jack Burns Blvd - Costco,,45.333532,-122.762295,,,0,,America/Los_Angeles,,,0,
6595383,2366,,Burns Way at Parkway Center Dr,,45.331972,-122.761423,,,0,,America/Los_Angeles,,,0,
6595384,2350,,Burns Way at Canyon Creek Rd,,45.331869,-122.758795,,,0,,America/Los_Angeles,,,0,
6595385,2359,,Canyon Creek Rd at Canyon Creek Apts,,45.329209,-122.757281,,,0,,America/Los_Angeles,,,0,
6595386,2319,,Canyon Creek Rd at Carriage Oaks Ln,,45.327526,-122.75752,,,0,,America/Los_Angeles,,,0,
6595387,2352,,Printer Pkwy at Canyon Creek,,45.324213,-122.75826,,,0,,America/Los_Angeles,,,0,
6595388,2342,,E Printer Pkwy - Xerox,,45.324226,-122.759894,,,0,,America/Los_Angeles,,,0,
6595389,2394,,Printer Pkwy at ESS,,45.326319,-122.763099,,,0,,America/Los_Angeles,,,0,
6595390,2340,,Parkway Woods West,,45.325336,-122.767546,,,0,,America/Los_Angeles,,,0,
6595391,2332,,Parkway Ave - Pioneer Pacific College,,45.322806,-122.768395,,,0,,America/Los_Angeles,,,0,
6595392,2369,,Parkway Ave at Boeckman Rd,,45.318037,-122.766287,,,0,,America/Los_Angeles,,,0,
6595393,2382,,Parkway Ave at  South Boeckman Rd,,45.317066,-122.76588,,,0,,America/Los_Angeles,,,0,
6595394,2372,,Parkway Ave at Ash Meadows Ln - Terrene Apts,,45.315336,-122.765008,,,0,,America/Los_Angeles,,,0,
6595395,2388,,Parkway Ave at Ash Meadows Rd - Jory Trail Apts,,45.312121,-122.764452,,,0,,America/Los_Angeles,,,0,
6595396,2357,,Parkway Ave at Town Center Lp,,45.310399,-122.764503,,,0,,America/Los_Angeles,,,0,
6595397,2398,,Parkway Ct at Town Center Loop - Regal Cinema,,45.308645,-122.764477,,,0,,America/Los_Angeles,,,0,
6595398,2380,,Parkway Ct at Courtside Dr,,45.305876,-122.764289,,,0,,America/Los_Angeles,,,0,
6595399,2641,,Goodwill at Courtside Dr,,45.305629,-122.763376,,,0,,America/Los_Angeles,,,0,
6595400,2684,,City Hall at Courtside Dr,,45.304997,-122.760768,,,0,,America/Los_Angeles,,,0,
6595401,2612,,City Hall / Civic Center,,45.304705,-122.759577,,,0,,America/Los_Angeles,,,0,
6595402,2613,,Community Center / Civic Center,,45.304126,-122.759599,,,0,,America/Los_Angeles,,,0,
6595909,2616,,City Hall at Courtside Dr,,45.305254,-122.761004,,,0,,America/Los_Angeles,,,0,
6595910,2256,,Town Center Park at Parkway Ct,,45.306658,-122.764229,,,0,,America/Los_Angeles,,,0,
6595911,2225,,Parkway Ct at Town Center Loop,,45.308865,-122.764263,,,0,,America/Los_Angeles,,,0,
6595912,2204,,Parkway Ave at Town Center Lp - Wood Leaf Apts,,45.310336,-122.764209,,,0,,America/Los_Angeles,,,0,
6595913,2207,,Parkway Ave at Ash Meadows Rd - Jory Trail Apts,,45.313373,-122.764253,,,0,,America/Los_Angeles,,,0,
6595914,2213,,Parkway Ave at Ash Meadows Ln - Terrene Apts,,45.315449,-122.764838,,,0,,America/Los_Angeles,,,0,
6595915,2231,,Parkway Ave at Boeckman Rd,,45.318065,-122.766036,,,0,,America/Los_Angeles,,,0,
6595916,2263,,Parkway Ave - Pioneer Pacific College,,45.322457,-122.767964,,,0,,America/Los_Angeles,,,0,
6595917,2235,,Printer Pkwy at ESS,,45.326253,-122.763209,,,0,,America/Los_Angeles,,,0,
6595918,2226,,E Printer Pkwy - Xerox,,45.324137,-122.759664,,,0,,America/Los_Angeles,,,0,
6595919,2273,,Canyon Creek Rd at Murray St,,45.324514,-122.757592,,,0,,America/Los_Angeles,,,0,
6595920,2283,,Canyon Creek Rd at Carriage Oaks Ln,,45.327478,-122.757274,,,0,,America/Los_Angeles,,,0,
6595921,2227,,Canyon Creek Rd at Canyon Creek Apts,,45.329615,-122.756988,,,0,,America/Los_Angeles,,,0,
6595922,2215,,Burns Way at Canyon Creek Rd,,45.331996,-122.758957,,,0,,America/Los_Angeles,,,0,
6595923,2243,,Burns Way at Parkway Center Dr,,45.332275,-122.761724,,,0,,America/Los_Angeles,,,0,
6595924,2200,,Parkway Center Dr at Jack Burns Blvd - Costco,,45.333897,-122.762043,,,0,,America/Los_Angeles,,,0,
6595925,2295,,Argyle Square NE at Elligsen Rd,,45.33566,-122.763843,,,0,,America/Los_Angeles,,,0,
6596318,2040,,Wilsonville Rd at Graham Oaks Nature Park,,45.297056,-122.798218,,,0,,America/Los_Angeles,,,0,
6596319,2458,,Wilsonville Rd at Willamette Way E - Valley Christian,,45.299011,-122.792035,,,0,,America/Los_Angeles,,,0,
6596320,2438,,Wood Middle School / Autumn Park Apts,,45.299885,-122.79038,,,0,,America/Los_Angeles,,,0,
6596321,2410,,Wilsonville Rd at Orchard Dr,,45.301098,-122.788125,,,0,,America/Los_Angeles,,,0,
6596322,2409,,Wilsonville Rd at Brown Rd,,45.302126,-122.78609,,,0,,America/Los_Angeles,,,0,
6596323,2433,,Wilsonville Rd at Montebello Dr,,45.302807,-122.780928,,,0,,America/Los_Angeles,,,0,
