trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
0_0900,5315,2,Eastbound,"",0,322224,16662,
0_0938A,5315,2,Westbound,"",1,322224,16691,
0_1100,5315,2,Eastbound,"",0,322224,16662,
0_1138A,5315,2,Westbound,"",1,322224,16691,
0_1200,5312,2,Northbound,"",0,322220,16657,
0_1201,5312,2,Northbound,"",0,322221,16657,
0_1202,5312,2,Northbound,"",0,322220,16657,
0_1203,5312,2,Northbound,"",0,322221,16657,
0_1204,5312,2,Northbound,"",0,322220,16657,
0_1205,5312,2,Northbound,"",0,322221,16657,
0_1206,5312,2,Northbound,"",0,322220,16657,
0_1207,5312,2,Northbound,"",0,322221,16657,
0_1208,5312,2,Northbound,"",0,322221,16657,
0_1209,5312,2,Northbound,"",0,322220,16657,
0_1210,5312,2,Northbound,"",0,322220,16657,
0_1211,5312,2,Northbound,"",0,322221,16657,
0_1212,5312,2,Northbound,"",0,322220,16657,
0_1213,5312,2,Northbound,"",0,322221,16657,
0_1214,5312,2,Northbound,"",0,322220,16657,
0_1215,5312,2,Northbound,"",0,322221,16657,
0_1216,5312,2,Northbound,"",0,322220,16657,
0_1217,5312,2,Northbound,"",0,322221,16657,
0_1250,5312,2,,"",1,322220,16656,
0_1251,5312,2,,"",1,322221,16656,
0_1252,5312,2,,"",1,322220,16656,
0_1253,5312,2,,"",1,322221,16656,
0_1254,5312,2,,"",1,322220,16656,
0_1255,5312,2,,"",1,322221,16656,
0_1256,5312,2,,"",1,322220,16656,
0_1257,5312,2,,"",1,322221,16656,
0_1258,5312,2,,"",1,322221,16656,
0_1259,5312,2,,"",1,322220,16656,
0_1260,5312,2,,"",1,322220,16656,
0_1261,5312,2,,"",1,322221,16656,
0_1262,5312,2,,"",1,322220,16656,
0_1263,5312,2,,"",1,322221,16656,
0_1264,5312,2,,"",1,322220,16656,
0_1265,5312,2,,"",1,322221,16656,
0_1266,5312,2,,"",1,322220,16656,
0_1267,5312,2,,"",1,322221,16656,
0_1300,5315,2,Eastbound,"",0,322224,16662,
0_1338A,5315,2,Westbound,"",1,322224,16691,
0_1400,5313,2,Eastbound,"",0,322222,16658,
0_1401,5313,2,Eastbound,"",0,322223,16658,
0_1402,5313,2,Eastbound,"",0,322222,16658,
0_1403,5313,2,Eastbound,"",0,322223,16658,
0_1404,5313,2,Eastbound,"",0,322222,16658,
0_1405,5313,2,Eastbound,"",0,322223,16658,
0_1406,5313,2,Eastbound,"",0,322222,16658,
0_1407,5313,2,Eastbound,"",0,322223,16658,
0_1408,5313,2,Eastbound,"",0,322223,16658,
0_1409,5313,2,Eastbound,"",0,322222,16658,
0_1410,5313,2,Eastbound,"",0,322222,16658,
0_1411,5313,2,Eastbound,"",0,322223,16658,
0_1412,5313,2,Eastbound,"",0,322222,16658,
0_1413,5313,2,Eastbound,"",0,322223,16658,
0_1414,5313,2,Eastbound,"",0,322222,16658,
0_1415,5313,2,Eastbound,"",0,322223,16658,
0_1416,5313,2,Eastbound,"",0,322222,16658,
0_1417,5313,2,Eastbound,"",0,322223,16658,
0_1450,5313,2,Westbound,"",1,322222,16659,
0_1451,5313,2,Westbound,"",1,322223,16659,
0_1452,5313,2,Westbound,"",1,322222,16659,
0_1453,5313,2,Westbound,"",1,322223,16659,
0_1454,5313,2,Westbound,"",1,322222,16659,
0_1455,5313,2,Westbound,"",1,322223,16659,
0_1456,5313,2,Westbound,"",1,322222,16659,
0_1457,5313,2,Westbound,"",1,322223,16659,
0_1458,5313,2,Westbound,"",1,322223,16659,
0_1459,5313,2,Westbound,"",1,322222,16659,
0_1460,5313,2,Westbound,"",1,322222,16659,
0_1461,5313,2,Westbound,"",1,322223,16659,
0_1462,5313,2,Westbound,"",1,322222,16659,
0_1463,5313,2,Westbound,"",1,322223,16659,
0_1464,5313,2,Westbound,"",1,322222,16659,
0_1465,5313,2,Westbound,"",1,322223,16659,
0_1466,5313,2,Westbound,"",1,322222,16659,
0_1467,5313,2,Westbound,"",1,322223,16659,
0_1500,5315,2,Eastbound,"",0,322224,16662,
0_1538A,5315,2,Westbound,"",1,322224,16691,
1_100,5316,1,Southbound,"",0,322203,16664,
1_101,5316,1,Southbound,"",0,322205,16664,
1_102,5316,1,Southbound,"",0,322207,16664,
1_103,5316,1,Southbound,"",0,322203,16664,
1_104,5316,1,Southbound,"",0,322207,16664,
1_105,5316,1,Southbound,"",0,322203,16664,
1_106,5316,1,Southbound,"",0,322207,16665,
1_107,5316,1,Southbound,"",0,322203,16665,
1_108,5316,1,Southbound,"",0,322207,16665,
1_109,5316,1,Southbound,"",0,322203,16665,
1_150,5316,1,Northbound,"",1,322203,16666,
1_151,5316,1,Northbound,"",1,322205,16666,
1_152,5316,1,Northbound,"",1,322207,16666,
1_153,5316,1,Northbound,"",1,322203,16666,
1_154,5316,1,Northbound,"",1,322207,16667,
1_155,5316,1,Northbound,"",1,322203,16667,
1_156,5316,1,Northbound,"",1,322207,16667,
1_157,5316,1,Northbound,"",1,322203,16667,
1_158,5316,1,Northbound,"",1,322207,16667,
1_159,5316,1,Northbound,"",1,322203,16667,
1_200,5312,1,Northbound,"",0,322210,16671,
1_201,5312,1,Northbound,"",0,322213,16671,
1_202,5312,1,Northbound,"",0,322210,16671,
1_203,5312,1,Northbound,"",0,322212,16671,
1_204,5312,1,Northbound,"",0,322213,16671,
1_205,5312,1,Northbound,"",0,322209,16671,
1_206,5312,1,Northbound,"",0,322212,16671,
1_207,5312,1,Northbound,"",0,322213,16671,
1_208,5312,1,Northbound,"",0,322209,16671,
1_209,5312,1,Northbound,"",0,322213,16671,
1_210,5312,1,Northbound,"",0,322209,16671,
1_211,5312,1,Northbound,"",0,322206,16671,
1_212,5312,1,Northbound,"",0,322213,16671,
1_213,5312,1,Northbound,"",0,322214,16671,
1_214,5312,1,Northbound,"",0,322206,16671,
1_215,5312,1,Northbound,"",0,322214,16671,
1_216,5312,1,Northbound,"",0,322215,16671,
1_217,5312,1,Northbound,"",0,322213,16671,
1_218,5312,1,Northbound,"",0,322210,16671,
1_219,5312,1,Northbound,"",0,322206,16671,
1_220,5312,1,Northbound,"",0,322215,16671,
1_221,5312,1,Northbound,"",0,322210,16671,
1_222,5312,1,Northbound,"",0,322206,16671,
1_223,5312,1,Northbound,"",0,322216,16671,
1_224,5312,1,Northbound,"",0,322215,16671,
1_225,5312,1,Northbound,"",0,322216,19043,
1_250,5312,1,Southbound,"",1,322209,16670,
1_251,5312,1,Southbound,"",1,322210,16670,
1_252,5312,1,Southbound,"",1,322211,16669,
1_253,5312,1,Southbound,"",1,322210,16669,
1_254,5312,1,Southbound,"",1,322212,16669,
1_255,5312,1,Southbound,"",1,322213,16669,
1_256,5312,1,Southbound,"",1,322210,16669,
1_257,5312,1,Southbound,"",1,322212,16669,
1_258,5312,1,Southbound,"",1,322213,16669,
1_259,5312,1,Southbound,"",1,322209,16669,
1_260,5312,1,Southbound,"",1,322212,16669,
1_261,5312,1,Southbound,"",1,322213,16669,
1_262,5312,1,Southbound,"",1,322209,16669,
1_263,5312,1,Southbound,"",1,322213,16669,
1_264,5312,1,Southbound,"",1,322209,16669,
1_265,5312,1,Southbound,"",1,322206,16669,
1_266,5312,1,Southbound,"",1,322213,16669,
1_267,5312,1,Southbound,"",1,322214,16669,
1_268,5312,1,Southbound,"",1,322206,16669,
1_269,5312,1,Southbound,"",1,322214,16669,
1_270,5312,1,Southbound,"",1,322215,16669,
1_271,5312,1,Southbound,"",1,322213,16669,
1_272,5312,1,Southbound,"",1,322210,16669,
1_273,5312,1,Southbound,"",1,322206,16669,
1_274,5312,1,Southbound,"",1,322215,16669,
1_275,5312,1,Southbound,"",1,322210,16669,
1_276,5312,1,Southbound,"",1,322206,16669,
1_277,5312,1,Southbound,"",1,322216,16669,
1_278,5312,1,Southbound,"",1,322215,16669,
1_300,5317,1,Southbound,"",0,322209,16672,
1_301,5317,1,Southbound,"",0,322209,16672,
1_302,5317,1,Southbound,"",0,322209,16672,
1_303,5317,1,Southbound,"",0,322210,16672,
1_304,5317,1,Southbound,"",0,322210,16672,
1_305,5317,1,Southbound,"",0,322210,16672,
1_306,5317,1,Southbound,"",0,322214,16672,
1_307,5317,1,Southbound,"",0,322210,16672,
1_308,5317,1,Southbound,"",0,322210,16672,
1_309,5317,1,Southbound,"",0,322204,16672,
1_310,5317,1,Southbound,"",0,322204,16672,
1_311,5317,1,Southbound,"",0,322204,16672,
1_350,5317,1,Northbound,"",1,322209,16673,
1_351,5317,1,Northbound,"",1,322209,16673,
1_352,5317,1,Northbound,"",1,322209,16673,
1_353,5317,1,Northbound,"",1,322210,16673,
1_354,5317,1,Northbound,"",1,322210,16673,
1_355,5317,1,Northbound,"",1,322210,16673,
1_356,5317,1,Northbound,"",1,322214,16673,
1_357,5317,1,Northbound,"",1,322210,16673,
1_358,5317,1,Northbound,"",1,322210,16673,
1_359,5317,1,Northbound,"",1,322204,16673,
1_360,5317,1,Northbound,"",1,322204,16673,
1_361,5317,1,Northbound,"",1,322204,16673,
1_400,5313,1,Eastbound,"",0,322204,16674,
1_401,5313,1,Eastbound,"",0,322217,16674,
1_402,5313,1,Eastbound,"",0,322208,16674,
1_403,5313,1,Eastbound,"",0,322218,16674,
1_404,5313,1,Eastbound,"",0,322217,16674,
1_405,5313,1,Eastbound,"",0,322208,16674,
1_406,5313,1,Eastbound,"",0,322218,16674,
1_407,5313,1,Eastbound,"",0,322217,16674,
1_408,5313,1,Eastbound,"",0,322208,16674,
1_409,5313,1,Eastbound,"",0,322218,16674,
1_410,5313,1,Eastbound,"",0,322217,16658,
1_411,5313,1,Eastbound,"",0,322208,16658,
1_412,5313,1,Eastbound,"",0,322212,16658,
1_413,5313,1,Eastbound,"",0,322208,16658,
1_414,5313,1,Eastbound,"",0,322212,16658,
1_415,5313,1,Eastbound,"",0,322215,16658,
1_416,5313,1,Eastbound,"",0,322212,16658,
1_417,5313,1,Eastbound,"",0,322215,16658,
1_418,5313,1,Eastbound,"",0,322212,16658,
1_419,5313,1,Eastbound,"",0,322215,16658,
1_420,5313,1,Eastbound,"",0,322218,16674,
1_421,5313,1,Eastbound,"",0,322212,16674,
1_422,5313,1,Eastbound,"",0,322208,16674,
1_423,5313,1,Eastbound,"",0,322218,16674,
1_424,5313,1,Eastbound,"",0,322208,16674,
1_425,5313,1,Eastbound,"",0,322217,16674,
1_426,5313,1,Eastbound,"",0,322218,16674,
1_427,5313,1,Eastbound,"",0,322208,16674,
1_428,5313,1,Eastbound,"",0,322217,16674,
1_429,5313,1,Eastbound,"",0,322218,16674,
1_430,5313,1,Eastbound,"",0,322208,16674,
1_450,5313,1,Westbound,"",1,322204,16676,
1_451,5313,1,Westbound,"",1,322217,16676,
1_452,5313,1,Westbound,"",1,322208,16676,
1_453,5313,1,Westbound,"",1,322218,16676,
1_454,5313,1,Westbound,"",1,322217,16676,
1_455,5313,1,Westbound,"",1,322208,16676,
1_456,5313,1,Westbound,"",1,322218,16676,
1_457,5313,1,Westbound,"",1,322217,16676,
1_458,5313,1,Westbound,"",1,322208,16676,
1_459,5313,1,Westbound,"",1,322218,16659,
1_460,5313,1,Westbound,"",1,322217,16659,
1_461,5313,1,Westbound,"",1,322208,16659,
