service_id,date,holiday_name,exception_type
c_67817_b_none_d_0,20230226,Peak service,1
c_67817_b_none_d_0,20230225,Peak service,1
c_67817_b_none_d_0,20230219,Peak service,1
c_67817_b_none_d_0,20230218,Peak service,1
c_67817_b_none_d_0,20230213,Peak service,1
c_67817_b_none_d_0,20230212,Peak service,1
c_67817_b_none_d_0,20230211,Peak service,1
c_67817_b_none_d_0,20230205,Peak service,1
c_67817_b_none_d_0,20230204,Peak service,1
c_67817_b_none_d_0,20230129,Peak service,1
c_67817_b_none_d_0,20230128,Peak service,1
c_67817_b_none_d_0,20230122,Peak service,1
c_67817_b_none_d_0,20230121,Peak service,1
c_67817_b_none_d_0,20230116,Peak service,1
c_67817_b_none_d_0,20230115,Peak service,1
c_67817_b_none_d_0,20230114,Peak service,1
c_67817_b_none_d_0,20230108,Peak service,1
c_67817_b_none_d_0,20230107,Peak service,1
c_6302_b_78524_d_127,20230226,Peak service,2
c_6302_b_78524_d_127,20230225,Peak service,2
c_6302_b_78524_d_127,20230219,Peak service,2
c_6302_b_78524_d_127,20230218,Peak service,2
c_6302_b_78524_d_127,20230213,Peak service,2
c_6302_b_78524_d_127,20230212,Peak service,2
c_6302_b_78524_d_127,20230211,Peak service,2
c_6302_b_78524_d_127,20230205,Peak service,2
c_6302_b_78524_d_127,20230204,Peak service,2
c_6302_b_78524_d_127,20230129,Peak service,2
c_6302_b_78524_d_127,20230128,Peak service,2
c_6302_b_78524_d_127,20230122,Peak service,2
c_6302_b_78524_d_127,20230121,Peak service,2
c_6302_b_78524_d_127,20230116,Peak service,2
c_6302_b_78524_d_127,20230115,Peak service,2
c_6302_b_78524_d_127,20230114,Peak service,2
c_6302_b_78524_d_127,20230108,Peak service,2
c_6302_b_78524_d_127,20230107,Peak service,2
c_6302_b_78523_d_127,20230226,Peak service,2
c_6302_b_78523_d_127,20230225,Peak service,2
c_6302_b_78523_d_127,20230219,Peak service,2
c_6302_b_78523_d_127,20230218,Peak service,2
c_6302_b_78523_d_127,20230213,Peak service,2
c_6302_b_78523_d_127,20230212,Peak service,2
c_6302_b_78523_d_127,20230211,Peak service,2
c_6302_b_78523_d_127,20230205,Peak service,2
c_6302_b_78523_d_127,20230204,Peak service,2
c_6302_b_78523_d_127,20230129,Peak service,2
c_6302_b_78523_d_127,20230128,Peak service,2
c_6302_b_78523_d_127,20230122,Peak service,2
c_6302_b_78523_d_127,20230121,Peak service,2
c_6302_b_78523_d_127,20230116,Peak service,2
c_6302_b_78523_d_127,20230115,Peak service,2
c_6302_b_78523_d_127,20230114,Peak service,2
c_6302_b_78523_d_127,20230108,Peak service,2
c_6302_b_78523_d_127,20230107,Peak service,2
c_6302_b_78499_d_127,20230226,Peak service,2
c_6302_b_78499_d_127,20230225,Peak service,2
c_6302_b_78499_d_127,20230219,Peak service,2
c_6302_b_78499_d_127,20230218,Peak service,2
c_6302_b_78499_d_127,20230213,Peak service,2
c_6302_b_78499_d_127,20230212,Peak service,2
c_6302_b_78499_d_127,20230211,Peak service,2
c_6302_b_78499_d_127,20230205,Peak service,2
c_6302_b_78499_d_127,20230204,Peak service,2
c_6302_b_78499_d_127,20230129,Peak service,2
c_6302_b_78499_d_127,20230128,Peak service,2
c_6302_b_78499_d_127,20230122,Peak service,2
c_6302_b_78499_d_127,20230121,Peak service,2
c_6302_b_78499_d_127,20230116,Peak service,2
c_6302_b_78499_d_127,20230115,Peak service,2
c_6302_b_78499_d_127,20230114,Peak service,2
c_6302_b_78499_d_127,20230108,Peak service,2
c_6302_b_78499_d_127,20230107,Peak service,2
