stop_id,stop_city
2436225,Fraser
2436234,Winter Park
2502260,Granby
2436199,Winter Park
2436265,Winter Park
2436218,Maryvale
2436255,Winter Park
2436240,Fraser
2436217,Maryvale
2436272,Fraser
2436194,Winter Park
2436195,Winter Park
2561420,Fraser
2436212,Maryvale
2436260,Winter Park
2436220,Maryvale
2618983,Winter Park
2436236,Winter Park
2436248,Winter Park
2436253,Winter Park
2436208,Maryvale
2436198,Winter Park
2436205,Fraser
2448636,Fraser
2436273,Fraser
2436245,Winter Park
2436221,Maryvale
2436312,Granby
2436281,Granby
2436215,Maryvale
2436286,Elkdale
2436287,Granby
2584680,Fraser
2436259,Winter Park
2436298,Elkdale
2436262,Winter Park
2436202,Winter Park
2436204,Fraser
2436219,Maryvale
2436213,Maryvale
2436277,Winter Park
2436192,Winter Park
2436193,Winter Park
2517688,Elkdale
2484516,Fraser
2436282,Granby
2436276,Fraser
2436211,Maryvale
2436261,Winter Park
2561417,Fraser
2436270,Winter Park
2436251,Winter Park
2436271,Winter Park
2436275,Winter Park
2436216,Maryvale
2584679,Fraser
2436285,Granby
2436196,Winter Park
2561416,Maryvale
2436244,Winter Park
2436269,Winter Park
2436233,Winter Park
2436235,Winter Park
2436209,Maryvale
2502543,Fraser
2436266,Winter Park
2436226,Fraser
2436280,Granby
2436201,Winter Park
2436263,Winter Park
2436249,Winter Park
2436223,Fraser
2448635,Fraser
2436243,Winter Park
2448633,Fraser
2436231,Maryvale
2436206,Fraser
2584682,Fraser
2487161,Winter Park
2436197,Winter Park
2577961,Fraser
2436314,Winter Park
2436203,Winter Park
2436230,Winter Park
2436247,Fraser
2618982,Winter Park
2436258,Winter Park
2561418,Fraser
2436238,Fraser
2436278,Winter Park
2436264,Winter Park
2436224,Fraser
2436284,Granby
2436241,Winter Park
2436242,Fraser
2436237,Fraser
2619288,Winter Park
2436279,Winter Park
2436257,Winter Park
2436254,Winter Park
2502259,Granby
2436256,Winter Park
2436207,Fraser
2584681,Fraser
2436268,Winter Park
2436200,Winter Park
2436267,Winter Park
2436300,Elkdale
2436222,Maryvale
2436227,Fraser
2436299,Elkdale
2436274,Fraser
2436239,Winter Park
2436210,Maryvale
2436229,Fraser
2436232,Winter Park
2501906,Fraser
2436250,Winter Park
2436214,Maryvale
2436252,Winter Park
2436228,Maryvale
2436246,Fraser
