stop_id,stop_city
20416,Woodburn
772474,Springfield
21046,Gervais
20424,Woodburn
20428,Woodburn
20426,Woodburn
20456,Springfield
20447,Woodburn
755018,Woodburn
20457,Woodburn
755024,Woodburn
758773,Woodburn
20452,Woodburn
20460,Woodburn
20422,Woodburn
20454,Woodburn
20470,Woodburn
20461,Woodburn
20414,Woodburn
20417,Springfield
20423,Woodburn
20443,Woodburn
20440,Woodburn
20459,Springfield
20436,Woodburn
21047,Bethel Gospel Park
20458,Woodburn
20465,Springfield
20418,Woodburn
20421,Springfield
20467,Springfield
755015,Woodburn
20437,Woodburn
20444,Woodburn
755017,Woodburn
20433,Woodburn
20451,Springfield
755023,Woodburn
20448,Springfield
20450,Woodburn
20449,Woodburn
20445,Springfield
20425,Woodburn
755021,Woodburn
755014,Springfield
20427,Woodburn
20462,Springfield
2576671,Woodburn
20429,Springfield
21048,Middle Grove
20438,Woodburn
755022,Woodburn
20464,Woodburn
20432,Springfield
20419,Springfield
20455,Woodburn
20441,Woodburn
20463,Springfield
20420,Springfield
20415,Woodburn
20434,Springfield
20430,Woodburn
755016,Springfield
755020,Woodburn
20466,Springfield
758772,Woodburn
20431,Woodburn
20442,Woodburn
20435,Woodburn
20446,Woodburn
783756,Springfield
20439,Woodburn
783757,Springfield
20453,Woodburn
