trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,start_pickup_dropoff_window,end_pickup_dropoff_window,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset,tts_stop_headsign,min_arrival_time,max_departure_time
t_1077831_b_26219_tn_1,09:08:00,09:08:00,20467,1,,0,0,0,0,,,,,1,1,,,,,,,,,,,
t_1077831_b_26219_tn_1,09:15:00,09:15:00,755016,2,,0,0,2101.81506907938,0,,,,,1,1,,,,,,,,,,,
t_1077831_b_26219_tn_1,09:18:00,09:18:00,783756,3,,0,0,2876.9782277069,0,,,,,1,1,,,,,,,,,,,
t_1077831_b_26219_tn_1,09:23:00,09:23:00,755020,4,,0,0,4867.19173363021,0,,,,,1,1,,,,,,,,,,,
t_1077831_b_26219_tn_1,09:33:00,09:33:00,20448,5,,0,0,9653.76351934661,0,,,,,1,1,,,,,,,,,,,
t_1077831_b_26219_tn_1,09:46:00,09:46:00,20467,6,,0,0,12691.388668408,0,,,,,1,1,,,,,,,,,,,
t_1077831_b_26219_tn_1,09:50:17,09:50:17,20459,7,,0,0,14388.3601696815,0,,,,,1,1,,,,,,,,,,,
t_1077831_b_26219_tn_1,09:53:00,09:53:00,2576671,8,,0,0,15465.4202715911,0,,,,,1,1,,,,,,,,,,,
t_1077831_b_26219_tn_1,09:56:00,09:56:00,20462,9,,0,0,15803.3979865607,0,,,,,1,1,,,,,,,,,,,
t_1077831_b_26219_tn_1,10:01:00,10:01:00,783756,10,,0,0,19689.4832814628,0,,,,,1,1,,,,,,,,,,,
t_1077831_b_26219_tn_1,10:06:00,10:06:00,755016,11,,0,0,20464.6458718161,0,,,,,1,1,,,,,,,,,,,
t_1077831_b_26219_tn_1,10:16:00,10:16:00,20467,12,,0,0,22566.46094094,0,,,,,1,1,,,,,,,,,,,
t_1077831_b_26219_tn_2,10:16:00,10:16:00,20467,1,,0,0,0,0,,,,,1,1,,,,,,,,,,,
t_1077831_b_26219_tn_2,10:23:00,10:23:00,755016,2,,0,0,2101.81506907938,0,,,,,1,1,,,,,,,,,,,
t_1077831_b_26219_tn_2,10:26:00,10:26:00,783756,3,,0,0,2876.9782277069,0,,,,,1,1,,,,,,,,,,,
t_1077831_b_26219_tn_2,10:31:00,10:31:00,755020,4,,0,0,4867.19173363021,0,,,,,1,1,,,,,,,,,,,
t_1077831_b_26219_tn_2,10:41:00,10:41:00,20448,5,,0,0,9653.76351934661,0,,,,,1,1,,,,,,,,,,,
t_1077831_b_26219_tn_2,10:54:00,10:54:00,20467,6,,0,0,12691.388668408,0,,,,,1,1,,,,,,,,,,,
t_1077831_b_26219_tn_2,10:58:17,10:58:17,20459,7,,0,0,14388.3601696815,0,,,,,1,1,,,,,,,,,,,
t_1077831_b_26219_tn_2,11:01:00,11:01:00,2576671,8,,0,0,15465.4202715911,0,,,,,1,1,,,,,,,,,,,
t_1077831_b_26219_tn_2,11:04:00,11:04:00,20462,9,,0,0,15803.3979865607,0,,,,,1,1,,,,,,,,,,,
t_1077831_b_26219_tn_2,11:09:00,11:09:00,783756,10,,0,0,19689.4832814628,0,,,,,1,1,,,,,,,,,,,
t_1077831_b_26219_tn_2,11:14:00,11:14:00,755016,11,,0,0,20464.6458718161,0,,,,,1,1,,,,,,,,,,,
t_1077831_b_26219_tn_2,11:24:00,11:24:00,20467,12,,0,0,22566.46094094,0,,,,,1,1,,,,,,,,,,,
t_1077831_b_26219_tn_3,11:24:00,11:24:00,20467,1,,0,0,0,0,,,,,1,1,,,,,,,,,,,
t_1077831_b_26219_tn_3,11:31:00,11:31:00,755016,2,,0,0,2101.81506907938,0,,,,,1,1,,,,,,,,,,,
t_1077831_b_26219_tn_3,11:34:00,11:34:00,783756,3,,0,0,2876.9782277069,0,,,,,1,1,,,,,,,,,,,
t_1077831_b_26219_tn_3,11:39:00,11:39:00,755020,4,,0,0,4867.19173363021,0,,,,,1,1,,,,,,,,,,,
t_1077831_b_26219_tn_3,11:49:00,11:49:00,20448,5,,0,0,9653.76351934661,0,,,,,1,1,,,,,,,,,,,
t_1077831_b_26219_tn_3,12:02:00,12:02:00,20467,6,,0,0,12691.388668408,0,,,,,1,1,,,,,,,,,,,
t_1077831_b_26219_tn_3,12:06:17,12:06:17,20459,7,,0,0,14388.3601696815,0,,,,,1,1,,,,,,,,,,,
t_1077831_b_26219_tn_3,12:09:00,12:09:00,2576671,8,,0,0,15465.4202715911,0,,,,,1,1,,,,,,,,,,,
t_1077831_b_26219_tn_3,12:12:00,12:12:00,20462,9,,0,0,15803.3979865607,0,,,,,1,1,,,,,,,,,,,
t_1077831_b_26219_tn_3,12:17:00,12:17:00,783756,10,,0,0,19689.4832814628,0,,,,,1,1,,,,,,,,,,,
t_1077831_b_26219_tn_3,12:22:00,12:22:00,755016,11,,0,0,20464.6458718161,0,,,,,1,1,,,,,,,,,,,
t_1077831_b_26219_tn_3,12:32:00,12:32:00,20467,12,,0,0,22566.46094094,0,,,,,1,1,,,,,,,,,,,
t_1077831_b_26219_tn_4,12:32:00,12:32:00,20467,1,,0,0,0,0,,,,,1,1,,,,,,,,,,,
t_1077831_b_26219_tn_4,12:39:00,12:39:00,755016,2,,0,0,2101.81506907938,0,,,,,1,1,,,,,,,,,,,
t_1077831_b_26219_tn_4,12:42:00,12:42:00,783756,3,,0,0,2876.9782277069,0,,,,,1,1,,,,,,,,,,,
t_1077831_b_26219_tn_4,12:47:00,12:47:00,755020,4,,0,0,4867.19173363021,0,,,,,1,1,,,,,,,,,,,
t_1077831_b_26219_tn_4,12:57:00,12:57:00,20448,5,,0,0,9653.76351934661,0,,,,,1,1,,,,,,,,,,,
t_1077831_b_26219_tn_4,13:10:00,13:10:00,20467,6,,0,0,12691.388668408,0,,,,,1,1,,,,,,,,,,,
t_1077831_b_26219_tn_4,13:14:17,13:14:17,20459,7,,0,0,14388.3601696815,0,,,,,1,1,,,,,,,,,,,
t_1077831_b_26219_tn_4,13:17:00,13:17:00,2576671,8,,0,0,15465.4202715911,0,,,,,1,1,,,,,,,,,,,
