route_id,direction_id,direction
12,0,direction 0
12,1,direction 1
14,0,direction 0
14,1,direction 1
15,0,direction 0
15,1,direction 1
16,0,direction 0
16,1,direction 1
19,0,direction 0
19,1,direction 1
23,0,direction 0
23,1,direction 1
24,0,direction 0
24,1,direction 1
26,0,direction 0
26,1,direction 1
27,0,direction 0
27,1,direction 1
2,0,direction 0
2,1,direction 1
29,0,direction 0
29,1,direction 1
30,0,direction 0
30,1,direction 1
31,0,direction 0
31,1,direction 1
33,0,direction 0
33,1,direction 1
42,0,direction 0
42,1,direction 1
West,0,direction 0
1,1,direction 1
1,0,direction 0
11,1,direction 1
11,0,direction 0
8,1,direction 1
8,0,direction 0
7,1,direction 1
7,0,direction 0
6,1,direction 1
6,0,direction 0
5,1,direction 1
5,0,direction 0
4,1,direction 1
4,0,direction 0
3,1,direction 1
3,0,direction 0
WDSS,1,direction 1
WDSS,0,direction 0
B,1,direction 1
B,0,direction 0
A,1,direction 1
A,0,direction 0
West,1,direction 1
