agency_id,route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,min_headway_minutes,eligibility_restricted,continuous_pickup,continuous_drop_off,tts_route_short_name,tts_route_long_name
4903,1,1,Mount St. Ann via Providence St.,,3,http://www.therta.com/routes/1/,6c64c4,ffffff,1,,0,1,1,,
4903,12,12,Grafton St/South Plaza/Southwest Commons,,3,,ff8704,000000,10,,0,1,1,,
4903,14,14,Showcase Cinemas/Holden via Burncoat St.,,3,http://www.therta.com/routes/14/,ff99cc,000000,11,,0,1,1,,
4903,15,15,Shrewsbury Center via Shrewsbury St.,,3,http://www.therta.com/routes/15/,663366,ffffff,12,,0,1,1,,
4903,16,16,Lincoln Plaza via Hamilton St. and Lake Ave.,,3,http://www.therta.com/routes/16/,ff66ff,000000,13,,0,1,1,,
4903,19,19,Webster Square – Clark University via Main St.,,3,http://www.therta.com/routes/19/,9933ff,000000,14,,0,1,1,,
4903,23,23,East Mountain Street via Lincoln St.,,3,http://www.therta.com/routes/23/,e7008b,000000,15,,0,1,1,,
4903,24,24,UMass Medical Center via Belmont St.,,3,http://www.therta.com/routes/24/,0033ff,ffffff,16,,0,1,1,,
4903,25,25,Auburn Industrial Park via Canterbury & Southbridge St. ,,3,,0099ff,000000,17,,0,1,1,,
4903,26,26,Great Brook Valley via Lincoln St.,,3,http://www.therta.com/routes/26/,66ccff,000000,18,,0,1,1,,
4903,27,27,Auburn Mall via Main St.,,3,http://www.therta.com/routes/27/,6666cc,000000,19,,0,1,1,,
4903,2,2,Tatnuck Square via Pleasant St.,,3,http://www.therta.com/routes/2/,da05fb,000000,2,,0,1,1,,
4903,29,29,Southbridge – Charlton,,3,http://www.therta.com/routes/29/,b70044,ffffff,20,,0,1,1,,
4903,30,30,W. Boylston Wal-Mart via Grove St. & W. Boylston St.,,3,http://www.therta.com/routes/30/,cc00ff,000000,21,,0,1,1,,
4903,31,31,Lincoln Plaza via Grove St. & West Boylston St.,,3,http://www.therta.com/routes/31/,ff6633,000000,22,,0,1,1,,
4903,33,33,Spencer – Brookfield via Main St. & Rt. 9 ,,3,http://www.therta.com/routes/33/,ff3333,000000,23,,0,1,1,,
4903,42,42,Oxford – Webster via Southbridge St.,,3,http://www.therta.com/routes/42/,009900,000000,24,,0,1,1,,
4903,West,West,Westborough Shuttle,,3,http://www.therta.com/routes/west/,ffffff,000000,25,,0,1,1,,
4903,A,A,Northbridge Walmart - Blackstone Valley Shoppes,,3,http://www.therta.com/routes/a/,ff66ff,000000,26,,0,1,1,,
4903,B,B,Rockdale - Stop and Shop - Grafton MBTA Station,,3,http://www.therta.com/routes/b/,66ccff,000000,27,,0,1,1,,
4903,WDSS,,Webster-Dudley-Southbridge Shuttle,,3,,d71c1c,ffffff,28,,0,1,1,,
4903,3,3,Worcester State University via Highland St.,,3,http://www.therta.com/routes/3/,ff8704,000000,3,,0,1,1,,
4903,4,4,The Shoppes at Blackstone Valley via Millbury St. ,,3,http://www.therta.com/routes/4/,f5270b,000000,4,,0,1,1,,
4903,5,5,Southwest Commons via Grafton St. ,,3,http://www.therta.com/routes/5/,00da42,000000,5,,0,1,1,,
4903,6,6,West Tatnuck via Chandler St. ,,3,http://www.therta.com/routes/6/,3100ff,ffffff,6,,0,1,1,,
4903,7,7,Washington Heights Apts.,,3,http://www.therta.com/routes/7/,00a100,ffffff,7,,0,1,1,,
4903,8,8,Park Avenue Connector,,3,,00ffc0,000000,8,,0,1,1,,
4903,11,11,The Fair Plaza via Vernon Hill and Greenwood St.,,3,http://www.therta.com/routes/11/,ff1f87,000000,9,,0,1,1,,
