runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
100000,c_67639_b_78200_d_31,1296537,1,1,t_5379703_b_78200_tn_0,4150619,t_5378841_b_78200_tn_0,4150635
1000000,c_67639_b_78200_d_31,1296551,10,1,t_5380588_b_78200_tn_0,4150635,t_5380395_b_78200_tn_0,4150635
10000000,c_67640_b_none_d_0,1296608,100,1,t_5379225_b_none_tn_0,4150635,t_5380113_b_none_tn_0,4150635
10100000,c_67640_b_none_d_0,1296612,101,1,t_5380046_b_none_tn_0,4150635,t_5379273_b_none_tn_0,4150635
10200000,c_67640_b_none_d_0,1296614,102,1,t_5379074_b_none_tn_0,4150635,t_5379036_b_none_tn_0,4150635
10300000,c_67640_b_none_d_0,1296615,103,1,t_5379449_b_none_tn_0,4150635,t_5379403_b_none_tn_0,4150016
10400000,c_67640_b_none_d_0,1296628,104,1,t_5379742_b_none_tn_0,4150635,t_5378642_b_none_tn_0,4150635
10500000,c_67640_b_none_d_0,1296629,105,1,t_5380270_b_none_tn_0,4150635,t_5378914_b_none_tn_0,4150635
10600000,c_67640_b_none_d_0,1296630,106,1,t_5378679_b_none_tn_0,4150635,t_5379045_b_none_tn_0,4150635
10700000,c_67640_b_none_d_0,1296632,107,1,t_5379419_b_none_tn_0,4150983,t_5379535_b_none_tn_0,4150635
10800000,c_67640_b_none_d_0,1296633,108,1,t_5380198_b_none_tn_0,4150635,t_5379630_b_none_tn_0,4150635
10900000,c_67640_b_none_d_0,1296635,109,1,t_5379369_b_none_tn_0,4150635,t_5379571_b_none_tn_0,4150635
1100000,c_67639_b_78200_d_31,1296552,11,1,t_5379686_b_78200_tn_0,4150694,t_5378850_b_78200_tn_0,4150635
11000000,c_67640_b_none_d_0,1296638,110,1,t_5378392_b_none_tn_0,4150694,t_5379699_b_none_tn_0,4150688
11100000,c_67640_b_none_d_0,1296640,111,1,t_5380040_b_none_tn_0,4150635,t_5378498_b_none_tn_0,4150983
1200000,c_67639_b_78200_d_31,1296553,12,1,t_5378720_b_78200_tn_0,4150635,t_5379290_b_78200_tn_0,4150635
1300000,c_67639_b_78200_d_31,1296556,13,1,t_5378441_b_78200_tn_0,4150635,t_5379733_b_78200_tn_0,4150635
1400000,c_67639_b_78200_d_31,1296557,14,1,t_5379553_b_78200_tn_0,4150635,t_5379307_b_78200_tn_0,4150635
1500000,c_67639_b_78200_d_31,1296558,15,1,t_5379381_b_78200_tn_0,4150635,t_5378561_b_78200_tn_0,4150876
1600000,c_67639_b_78200_d_31,1296559,16,1,t_5380140_b_78200_tn_0,4150635,t_5380581_b_78200_tn_0,4150803
1700000,c_67639_b_78200_d_31,1296561,17,1,t_5378715_b_78200_tn_0,4150619,t_5380038_b_78200_tn_0,4150803
1800000,c_67639_b_78200_d_31,1296562,18,1,t_5380487_b_78200_tn_0,4150635,t_5380126_b_78200_tn_0,4150635
1900000,c_67639_b_78200_d_31,1296563,19,1,t_5378878_b_78200_tn_0,4150635,t_5380332_b_78200_tn_0,4150635
200000,c_67639_b_78200_d_31,1296539,2,1,t_5379796_b_78200_tn_0,4150635,t_5379904_b_78200_tn_0,4150635
2000000,c_67639_b_78200_d_31,1296564,20,1,t_5378401_b_78200_tn_0,4150635,t_5378502_b_78200_tn_0,4150635
2100000,c_67639_b_78200_d_31,1296565,21,1,t_5378997_b_78200_tn_0,4150635,t_5380265_b_78200_tn_0,4150635
