stop_id,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,position,direction,wheelchair_boarding,tts_stop_name
4149984,906,,QUEEN ST + CHANDLER ST,,42.260255,-71.813587,,,0,,America/New_York,,,0,
4149985,229,,FIRST ST + 7 FIRST ST,,42.254858,-71.847267,,,0,,America/New_York,,,0,
4149986,1185,,COES POND VILLAGE,,42.252435,-71.849882,,,0,,America/New_York,,,0,
4149987,909,,QUEEN ST + CHANDLER ST,,42.260468,-71.81353,,,0,,America/New_York,,,0,
4149988,908,,QUEEN ST + JAQUES AVE,,42.258863,-71.81469,,,0,,America/New_York,,,0,
4149989,1143,,WOODLAND ST + KING ST,,42.2583,-71.816257,,,0,,America/New_York,,,0,
4149990,1142,,WOODLAND ST + OLD FIRE STATION,,42.257195,-71.817155,,,0,,America/New_York,,,0,
4149991,1141,,WOODLAND ST + MAY ST,,42.256248,-71.817902,,,0,,America/New_York,,,0,
4149992,704,,MAY ST + HOLLYWOOD ST,,42.256058,-71.819173,,,0,,America/New_York,,,0,
4149993,703,,MAY ST + MASON ST,,42.256417,-71.820683,,,0,,America/New_York,,,0,
4149994,705,,MAY ST + DEWEY ST,,42.256773,-71.822233,,,0,,America/New_York,,,0,
4149995,798,,PARK AVE + MAY ST,,42.2569,-71.823092,,,0,,America/New_York,,,0,
4149996,797,,PARK AVE + OBERLIN ST,,42.25582,-71.82433,,,0,,America/New_York,,,0,
4149997,796,,PARK AVE + DOWNING ST,,42.254795,-71.825523,,,0,,America/New_York,,,0,
4149998,795,,PARK AVE + SHIRLEY ST,,42.253483,-71.827048,,,0,,America/New_York,,,0,
4149999,717,,MAYWOOD ST + BEAVER BROOK PKWY,,42.25388,-71.830212,,,0,,America/New_York,,,0,
4150000,565,,LOVELL ST + MAYWOOD ST,,42.254175,-71.832548,,,0,,America/New_York,,,0,
4150001,563,,LOVELL ST + SPAULDING ST,,42.252482,-71.832437,,,0,,America/New_York,,,0,
4150002,562,,LOVELL ST + LAKESIDE AVE,,42.250242,-71.831848,,,0,,America/New_York,,,0,
4150003,1260,,PARK AVE + COES ST,,42.248827,-71.83231,,,0,,America/New_York,,,0,
4150004,731,,MILL ST + SOUTH BUFFUM ST,,42.248278,-71.834702,,,0,,America/New_York,,,0,
4150005,730,,MILL ST + 103 MILL ST,,42.248913,-71.835735,,,0,,America/New_York,,,0,
4150006,732,,MILL ST + BALL ST,,42.249383,-71.83781,,,0,,America/New_York,,,0,
4150007,729,,MILL ST + GATES LN,,42.249232,-71.839597,,,0,,America/New_York,,,0,
4150008,728,,MILL ST + PLAZA ENTRANCE,,42.250162,-71.841545,,,0,,America/New_York,,,0,
4150009,727,,MILL ST + POND BATH HOUSE,,42.251218,-71.842578,,,0,,America/New_York,,,0,
4150010,726,,MILL ST + OCOINS,,42.253222,-71.844557,,,0,,America/New_York,,,0,
4150011,725,,MILL ST + BAY STATE SAVINGS,,42.254842,-71.84609,,,0,,America/New_York,,,0,
4150012,723,,MILL ST + FOURTH ST,,42.256718,-71.847895,,,0,,America/New_York,,,0,
4150013,1138,,WILLIAMSBURG DR + MILL ST,,42.257807,-71.849182,,,0,,America/New_York,,,0,
4150014,1184,,OUTLOOK DR + 23 OUTLOOKM DR,,42.257243,-71.850938,,,0,,America/New_York,,,0,
4150015,1137,,WILLIAMSBURG DR + 69 OUTLOOK DR,,42.257632,-71.853187,,,0,,America/New_York,,,0,
4150016,1259,,WASHINGTON HEIGHTS 2,,42.257855,-71.85461,,,0,,America/New_York,,,0,
4150017,1020,,SUNNY VIEW HEIGHTS + PLEASANT ST,,42.283032,-71.8802,,,0,,America/New_York,,,0,
4150018,843,,PLEASANT ST + 1341 PLEASANT ST,,42.281028,-71.874797,,,0,,America/New_York,,,0,
4150019,842,,PLEASANT ST + EDWIDGE ST,,42.280623,-71.8723,,,0,,America/New_York,,,0,
4150020,840,,PLEASANT ST + BAXTER ST,,42.280202,-71.868915,,,0,,America/New_York,,,0,
4150021,130,,CHANDLER ST + PLEASANT ST,,42.27808,-71.853752,,,0,,America/New_York,,,0,
4150022,129,,CHANDLER ST + MILL ST,,42.276992,-71.852925,,,0,,America/New_York,,,0,
4150023,128,,CHANDLER ST + ATWATER ST,,42.274982,-71.850922,,,0,,America/New_York,,,0,
4150024,127,,CHANDLER ST + MANHATTEN RD 1,,42.27371,-71.849618,,,0,,America/New_York,,,0,
4150025,152,,CHANDLER ST + HUNTHURST CIRCLE,,42.272008,-71.847362,,,0,,America/New_York,,,0,
4150026,150,,CHANDLER ST + WORCESTER STATE UNIVERSITY,,42.269012,-71.841155,,,0,,America/New_York,,,0,
4150027,144,,CHANDLER ST + JUNE ST,,42.264013,-71.833525,,,0,,America/New_York,,,0,
4150028,143,,CHANDLER ST + GENEVA ST,,42.263315,-71.831388,,,0,,America/New_York,,,0,
4150029,142,,CHANDLER ST + LOVELL ST,,42.262925,-71.829195,,,0,,America/New_York,,,0,
4150030,141,,CHANDLER ST + COOLIDGE RD,,42.262503,-71.826755,,,0,,America/New_York,,,0,
4150031,140,,CHANDLER ST + FOLEY STADIUM,,42.262305,-71.823583,,,0,,America/New_York,,,0,
4150032,139,,CHANDLER ST + ABBOTT ST,,42.261772,-71.82147,,,0,,America/New_York,,,0,
4150033,138,,CHANDLER ST + DEWEY ST,,42.26136,-71.819705,,,0,,America/New_York,,,0,
4150034,137,,CHANDLER ST + BANCROFT ST,,42.260812,-71.817632,,,0,,America/New_York,,,0,
4150035,136,,CHANDLER ST + BELLEVUE ST,,42.260612,-71.815565,,,0,,America/New_York,,,0,
4150036,135,,CHANDLER ST + QUEEN ST,,42.260675,-71.813252,,,0,,America/New_York,,,0,
4150037,134,,CHANDLER ST + PIEDMONT ST,,42.260692,-71.812028,,,0,,America/New_York,,,0,
4150038,133,,CHANDLER ST + WELLINGTON ST,,42.260637,-71.809373,,,0,,America/New_York,,,0,
4150039,132,,CHANDLER ST + IRVING ST,,42.260295,-71.80691,,,0,,America/New_York,,,0,
4150040,131,,CHANDLER ST + MAIN ST,,42.259888,-71.805368,,,0,,America/New_York,,,0,
4150041,177,,CHANDLER ST + IRVING ST,,42.260207,-71.807085,,,0,,America/New_York,,,0,
4150042,176,,CHANDLER ST + WELLINGTON ST,,42.260588,-71.809643,,,0,,America/New_York,,,0,
4150043,175,,CHANDLER ST + PIEDMONT ST,,42.260588,-71.811893,,,0,,America/New_York,,,0,
4150044,174,,CHANDLER ST + QUEEN ST,,42.260572,-71.81376,,,0,,America/New_York,,,0,
4150045,173,,CHANDLER ST + KING ST,,42.260548,-71.816002,,,0,,America/New_York,,,0,
4150046,160,,CHANDLER ST + DEWEY ST,,42.261352,-71.820213,,,0,,America/New_York,,,0,
4150047,159,,CHANDLER ST + ABBOTT ST,,42.261772,-71.82182,,,0,,America/New_York,,,0,
4150048,171,,CHANDLER ST + MAYFIELD ST,,42.262257,-71.823853,,,0,,America/New_York,,,0,
4150049,170,,CHANDLER ST + COOLIDGE RD,,42.262377,-71.825745,,,0,,America/New_York,,,0,
4150050,157,,CHANDLER ST + GENEVA ST,,42.263203,-71.831245,,,0,,America/New_York,,,0,
4150051,156,,CHANDLER ST + JUNE ST,,42.263847,-71.833422,,,0,,America/New_York,,,0,
4150052,155,,CHANDLER ST + FISKE ST,,42.264753,-71.83502,,,0,,America/New_York,,,0,
4150053,154,,CHANDLER ST + UNDERWOOD ST,,42.265707,-71.836713,,,0,,America/New_York,,,0,
4150054,169,,CHANDLER ST + HAMILL RD,,42.266987,-71.839097,,,0,,America/New_York,,,0,
4150055,168,,CHANDLER ST + WORCESTER STATE UNIVERSITY,,42.2684,-71.841107,,,0,,America/New_York,,,0,
4150056,166,,CHANDLER ST + HUNTHURST CIRCLE,,42.271962,-71.847497,,,0,,America/New_York,,,0,
4150057,164,,CHANDLER ST + MANHATTEN RD,,42.273582,-71.84965,,,0,,America/New_York,,,0,
4150058,1253,,CHANDLER ST + ANNISQUAM ST,,42.275553,-71.85167,,,0,,America/New_York,,,0,
4150059,162,,CHANDLER ST + MILL ST,,42.276768,-71.852942,,,0,,America/New_York,,,0,
4150060,161,,CHANDLER ST + PLEASANT ST,,42.278175,-71.853958,,,0,,America/New_York,,,0,
4150061,850,,PLEASANT ST + JOPPA RD,,42.27967,-71.867612,,,0,,America/New_York,,,0,
4150062,849,,PLEASANT ST + PROUTY LN,,42.28025,-71.86936,,,0,,America/New_York,,,0,
4150063,881,,PLEASANT ST + EDWIDGE ST,,42.28048,-71.872532,,,0,,America/New_York,,,0,
4150064,2,,BAILEY ST + AIRPORT DR,,42.280147,-71.874137,,,0,,America/New_York,,,0,
4150065,1,,BAILEY ST + ASABET LN,,42.279702,-71.876552,,,0,,America/New_York,,,0,
4150066,1019,,SUNNY HILL DR + BAILEY RD,,42.279392,-71.878515,,,0,,America/New_York,,,0,
4150067,286,,GRAFTON ST + CLARISSA ST,,42.237898,-71.752693,,,0,,America/New_York,,,0,
4150068,285,,GRAFTON ST + MONTEFORTE ST,,42.239155,-71.753258,,,0,,America/New_York,,,0,
4150069,283,,GRAFTON ST + SUNDERLAND RD,,42.241317,-71.754197,,,0,,America/New_York,,,0,
4150070,282,,GRAFTON ST + PINE HILL RD,,42.243588,-71.756413,,,0,,America/New_York,,,0,
4150071,281,,GRAFTON ST + 1003 GRAFTON ST,,42.244162,-71.757318,,,0,,America/New_York,,,0,
4150072,280,,GRAFTON ST + DALTON ST,,42.246172,-71.759887,,,0,,America/New_York,,,0,
4150073,279,,GRAFTON ST + ARCADIA ST,,42.247738,-71.761365,,,0,,America/New_York,,,0,
4150074,278,,GRAFTON ST + JENNINGS ST,,42.248723,-71.762373,,,0,,America/New_York,,,0,
4150075,271,,GRAFTON ST + PROGRESSIVE ST,,42.250567,-71.76502,,,0,,America/New_York,,,0,
4150076,277,,GRAFTON ST + VALMOR ST,,42.250733,-71.767047,,,0,,America/New_York,,,0,
4150077,269,,GRAFTON ST + CORRINE ST,,42.250567,-71.768898,,,0,,America/New_York,,,0,
4150078,268,,GRAFTON ST + INVERNESS AVE,,42.250742,-71.771998,,,0,,America/New_York,,,0,
4150079,267,,GRAFTON ST + DANA AVE,,42.25044,-71.773523,,,0,,America/New_York,,,0,
4150080,266,,GRAFTON ST + LAMAR AVE,,42.250185,-71.775407,,,0,,America/New_York,,,0,
4150081,265,,GRAFTON ST + PURITAN AVE,,42.250908,-71.777418,,,0,,America/New_York,,,0,
4150082,264,,GRAFTON ST + FAIRMONT AVE,,42.250853,-71.779603,,,0,,America/New_York,,,0,
4150083,275,,GRAFTON ST + FLOWER ST,,42.25276,-71.782727,,,0,,America/New_York,,,0,
4150084,274,,GRAFTON ST + PALM ST,,42.254293,-71.783617,,,0,,America/New_York,,,0,
4150085,273,,GRAFTON ST + ARTHUR ST,,42.255375,-71.784943,,,0,,America/New_York,,,0,
4150086,296,,GRAFTON ST + CAROLINE ST,,42.255232,-71.784633,,,0,,America/New_York,,,0,
4150087,295,,GRAFTON ST + HALE ST,,42.254397,-71.78364,,,0,,America/New_York,,,0,
4150088,316,,GRAFTON ST + FLOWER ST,,42.252688,-71.782607,,,0,,America/New_York,,,0,
4150089,303,,GRAFTON ST + RUGBY ST,,42.250957,-71.779833,,,0,,America/New_York,,,0,
4150090,302,,GRAFTON ST + FAIRMONT AVE,,42.251052,-71.778562,,,0,,America/New_York,,,0,
4150091,318,,GRAFTON ST + PURITAN AVE,,42.250972,-71.777187,,,0,,America/New_York,,,0,
4150092,301,,GRAFTON ST + DELMONT AVE,,42.250225,-71.775312,,,0,,America/New_York,,,0,
4150093,300,,GRAFTON ST + DANA AVE,,42.250527,-71.773555,,,0,,America/New_York,,,0,
4150094,317,,GRAFTON ST + WARNER AVE,,42.250893,-71.772395,,,0,,America/New_York,,,0,
4150095,299,,GRAFTON ST + CORRINE ST,,42.250687,-71.76854,,,0,,America/New_York,,,0,
4150096,315,,GRAFTON ST + BANGOR ST,,42.250622,-71.764965,,,0,,America/New_York,,,0,
4150097,293,,GRAFTON ST + JENNINGS ST,,42.24854,-71.762023,,,0,,America/New_York,,,0,
4150098,314,,GRAFTON ST + ARCADIA ST,,42.247532,-71.761078,,,0,,America/New_York,,,0,
4150099,1180,,GRAFTON ST + JOLMA RD,,42.245282,-71.75894,,,0,,America/New_York,,,0,
4150100,311,,GRAFTON ST + PINE HILL RD,,42.243605,-71.756302,,,0,,America/New_York,,,0,
4150101,292,,GRAFTON ST + SUNDERLAND RD,,42.24153,-71.754267,,,0,,America/New_York,,,0,
